org	genus	family	order	class	phylum
Clostridium_asparagiforme_DSM_15981	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_bartlettii_DSM_16795	Sporacetigenium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_bolteae_ATCC_BAA_613	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_botulinum_A2_str_Kyoto	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_butyricum_E4_str_BoNT_E_BL5262	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_celatum_DSM_1785	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_citroniae_WAL_17108	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_clostridioforme_2_1_49FAA	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_difficile_630	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_hathewayi_DSM_13479	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_hathewayi_WAL_18680	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_hiranonis_DSM_13275	Peptostreptococcus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_hylemonae_DSM_15053	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_leptum_DSM_753	Ruminococcaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_methylpentosum_DSM_5476	Ruminococcaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_nexile_DSM_1787	Lachnospiraceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_perfringens_ATCC_13124	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_saccharolyticum_like_K10	Lachnospiraceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_scindens_ATCC_35704	Dorea	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_sp_7_2_43FAA	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_sp_D5	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_sp_HGF2	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_sp_L2_50	Coprococcus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_sp_SS2_1	Anaerostipes	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_spiroforme_DSM_1552	Coprobacillus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_symbiosum_WAL_14163	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Clostridium_thermocellum_ATCC_27405	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes
Collinsella_aerofaciens_ATCC_25986	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria_(class)	Actinobacteria
Collinsella_intestinalis_DSM_13280	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria_(class)	Actinobacteria
Collinsella_stercoris_DSM_13279	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria_(class)	Actinobacteria
Collinsella_tanakaei_YIT_12063	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria_(class)	Actinobacteria
Coprobacillus_sp_8_2_54BFAA	Coprobacillus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes
Coprobacillus_sp_D6_cont11	Coprobacillus	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes
Coprococcus_catus_GD_7	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Coprococcus_comes_ATCC_27758	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Coprococcus_eutactus_ATCC_27759	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Coprococcus_sp_ART55_1	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Corynebacterium_ammoniagenes_DSM_20306	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria_(class)	Actinobacteria
Desulfitobacterium_hafniense_Y51	Desulfitobacterium	Peptococcaceae	Clostridiales	Clostridia	Firmicutes
Desulfovibrio_alaskensis_G20	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria
Desulfovibrio_piger_ATCC_29098	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria
Desulfovibrio_sp_6_1_46AFAA	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria
Dialister_invisus_DSM_15470	Dialister	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
Dialister_microaerophilus_UPII_345_E	Dialister	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
Dialister_succinatiphilus_YIT_11850	Dialister	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
Dorea_longicatena_DSM_13814	Dorea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Dysgonomonas_gadei_ATCC_BAA_286	Dysgonomonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Dysgonomonas_mossii_DSM_22836	Dysgonomonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Edwardsiella_tarda_ATCC_23685	Edwardsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Edwardsiella_tarda_EIB202	Edwardsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Eggerthella_lenta_DSM_2243	Eggerthella	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
Enterobacter_asburiae_LF7a	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterobacter_cancerogenus_ATCC_35316	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterobacter_cloacae_SCF1	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterobacter_cloacae_subsp_cloacae_ATCC_13047	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterobacter_cloacae_subsp_cloacae_NCTC_9394	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterobacter_sp_638	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Enterococcus_casseliflavus_EC10	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes
Enterococcus_faecalis_V583	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes
Enterococcus_faecium_1230933	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes
Enterococcus_saccharolyticus_30_1	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes
Enterocytozoon_bieneusi_H348	Enterocytozoon		Microsporidia	Microsporea	
Erysipelotrichaceae_bacterium_3_1_53	Eubacterium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichi	Firmicutes
Erysipelotrichaceae_bacterium_5_2_54FAA	Eubacterium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichi	Firmicutes
Escherichia_albertii_TW07627	Escherichia/Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Escherichia_coli_str_K12_substr_MG1655	Escherichia/Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Escherichia_fergusonii_ATCC_35469	Escherichia/Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Escherichia_hermannii_NBRC_105704	Escherichia/Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Escherichia_sp_1_1_43	Escherichia/Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Eubacterium_biforme_DSM_3989	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_cylindroides_T2_87	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_dolichum_DSM_3991	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_eligens_ATCC_27750	Lachnospiraceae	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_hallii_DSM_3353	Lachnospiraceae	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_limosum_KIST612	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_siraeum_70_3	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Eubacterium_ventriosum_ATCC_27560	Lachnospiraceae	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Faecalibacterium_cf_prausnitzii_KLE1255	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Faecalibacterium_prausnitzii_A2_165	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Faecalibacterium_prausnitzii_L2_6	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Faecalibacterium_prausnitzii_SL3_3	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Finegoldia_magna_ATCC_29328	Finegoldia	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Flavonifractor_plautii_ATCC_29863	Flavonifractor	Clostridiales	Clostridiales	Clostridia	Firmicutes
Fusobacterium_gonidiaformans_ATCC_25563	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_mortiferum_ATCC_9817	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_necrophorum_subsp_funduliforme_1_1_36S	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_23726	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_sp_2_1_31	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_ulcerans_ATCC_49185	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Fusobacterium_varium_ATCC_27725	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria_(class)	Fusobacteria
Gardnerella_vaginalis_ATCC_14019	Gardnerella	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria
Gemella_moribillum_M424	Gemella	Bacillales_Family_XI._Incertae_Sedis	Bacillales	Bacilli	Firmicutes
Gordonibacter_pamelaeae_7_10_1_b	Gordonibacter	Coriobacteriaceae	Coriobacterineae	Actinobacteria_(class)	Actinobacteria
Granulicatella_adiacens_ATCC_49175	Granulicatella	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes
Granulicatella_elegans_ATCC_700633	Granulicatella	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes
Haemophilus_parainfluenzae_ATCC_33392	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
Hafnia_alvei_ATCC_51873	Hafnia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Halorubrum_lipolyticum_DSM_21995	Halorubrum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota
Helicobacter_bilis_ATCC_43879	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Helicobacter_canadensis_MIT_98_5491	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Helicobacter_cinaedi_CCUG_18818	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Helicobacter_pullorum_MIT_98_5489	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Helicobacter_pylori_J99	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Helicobacter_winghamensis_ATCC_BAA_430	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Holdemania_filiformis_DSM_12042	Holdemania	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes
Klebsiella_pneumoniae_342	Klebsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
Lachnospiraceae_bacterium_1_4_56FAA	Lachnospiraceae	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Lachnospiraceae_bacterium_2_1_46FAA	Lachnospiraceae	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Lachnospiraceae_bacterium_9_1_43BFAA	Lachnospiraceae	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Lactobacillus_acidophilus_NCFM	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_amylolyticus_DSM_11664	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_antri_DSM_16041	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_brevis_ATCC_367	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_casei_ATCC_334	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_crispatus_ST1	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_fermentum_28_3_CHN	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_fermentum_IFO_3956	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_gasseri_ATCC_33323	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_helveticus_DPC_4571	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_iners_AB_1_NZ_ADHG01000001	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_jensenii_115321	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_johnsonii_NCC_533	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_oris_PB013_T2_3	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_plantarum_str_13	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_reuteri_SD2112	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_rhamnosus_GG	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_ruminis_ATCC_25644	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_sakei_strain_23K	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_salivarius_UCC118	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_ultunensis_DSM_16047_	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactobacillus_vaginalis_ATCC_49540	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Lactococcus_lactis_subsp_cremoris_NZ9000	Lactococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Leminorella_grimontii_ATCC_33999	Leminorella	Enterobacteriaceae	Enterobacteriales 	Gammaproteobacteria	Firmicutes
Leuconostoc_mesenteroides_ATCC_8293	Leuconostoc	Leuconostocaceae	Lactobacillales	Bacilli	Firmicutes
Listeria_grayi_DSM_20601	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes
Listeria_innocua_Clip11262	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes
Listeria_monocytogenes_Finland_1998	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes
Mannheimia_succiniciproducens_MBEL55E	Basfia	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
Marvinbryantia_formatexigens_DSM_14469	Marvinbryantia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Megamonas_hypermegale	Megamonas	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
Methanobrevibacter_smithii_ATCC_35061	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota
Methanomassiliicoccus_luminyensis_B10	Methanomassiliicoccus	Methanomassiliicoccus	unclassified_Methanomicrobia	Methanomicrobia	Euryarchaeota
Methanomassiliicoccus_sp_Mx1_Issoire	Methanomassiliicoccus	Methanomassiliicoccus	unclassified_Methanomicrobia	Methanomicrobia	Euryarchaeota
Methanosphaera_stadtmanae_DSM_3091	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota
Mitsuokella_multacida_DSM_20544	Mitsuokella	Veillonellaceae	Clostridiales	Clostridia	Firmicutes
Mycoplasma_hominis_ATCC_23114	Mycoplasma	Mycoplasmataceae	Mollicutes	Tenericutes	Firmicutes
Neisseria_macacae_ATCC_33926	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria
Odoribacter_laneus_YIT_12061	Odoribacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Odoribacter_splanchnicus_DSM_20712	Odoribacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Oxalobacter_formigenes_HOxBLS	Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Oxalobacter_formigenes_OXCC13	Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Paenibacillus_sp_HGF5	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes
Paenibacillus_sp_HGF7	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes
Parabacteroides_distasonis_ATCC_8503	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Parabacteroides_johnsonii_DSM_18315	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Parabacteroides_merdae_ATCC_43184	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Paraprevotella_xylaniphila_YIT_11841	Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Parasutterella_excrementihominis_YIT_11859	Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Parvimonas_micra_ATCC_33270	Parvimonas	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Pediococcus_acidilactici_DSM_20284	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes
Peptoniphilus_lacrimalis_315_B	Peptoniphilus	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Peptostreptococcus_anaerobius_653_L	Peptostreptococcus	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes
Peptostreptococcus_stomatis_DSM_17678	Peptostreptococcus	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes
Phascolarctobacterium_sp_YIT_12067	Phascolarctobacterium	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes
Porphyromonas_gingivalis_ATCC_33277	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Porphyromonas_uenonis_60_3	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_bryantii_B14	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_buccae_ATCC_33574	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_copri_DSM_18205	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_disiens_FB035_09AN	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_melaninogenica_ATCC_25845	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_salivae_DSM_15606	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Prevotella_stercorea_DSM_18206	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Propionibacterium_sp_5_U_42AFAA	Propionibacterium	Propionibacteriaceae	Actinomycetales	Actinobacteria_(class)	Actinobacteria
