K18698(TEM)
K18699(SHV)
K18796(LEN)
K18767(CTX-M)
K18797(PER)
K19097(VEB)
K19317(BEL)
K18768(KPC)
K18970(GES)
K19316(IMI)
K22346(SME)
K18795(CARB-1)
K19218(CARB-5)
K19217(CARB-17)
K18790(OXA-1)
K18791(OXA-2)
K19098(OXA-9)
K18792(OXA-10)
K19213(OXA-12)
K21276(OXA-22)
K18793(OXA-23)
K18971(OXA-24)
K19209(OXA-42)
K18976(OXA-48)
K18973(OXA-50)
K18794(OXA-51)
K18972(OXA-58)
K21277(OXA-60)
K19210(OXA-61)
K19211(OXA-62)
K19212(OXA-63)
K19319(OXA-134)
K19320(OXA-211)
K19318(OXA-213)
K19321(OXA-214)
K19322(OXA-229)
K21266(OXA-286)
K17838(OXA)
K19095(CMY-1)
K19101(FOX)
K20320(PDC)
K19214(ACC)
K19100(DHA)
K19096(CMY-2)
K19215(ACT_MIR)
K20319(ADC)
K01467(ampC)
K18782(IMP)
K18781(VIM)
K18780(NDM)
K19099(GIM)
K19216(IND)
K17837(bla2)
