Group.1	1HP	2HP	5HP	6HP	8HP	11HP	15HP	16HP	9HP	21HP	22HP	23HP	24HP	26HP	27HP	31HP	32HP	33HP	34HP	39HP	40HP	41HP	42HP	50HP	53HP	55HP	56HP	57HP	59HP	35HP	48HP	49HP	60HP	61HP	62HP	64HP	51HP	58HP	63HP	84HP	97HP	101HP	102HP	105HP	73HP	74HP	77HP	78HP	79HP	80HP	83HP	85HP	86HP	89HP	90HP	95HP	96HP	98HP	67HP	68HP	69HP	70HP	71HP	106HP	107HP	108HP	72HP	109HP	137HP	134HP	135HP	136HP	130HP	131HP	159HP	163HP	160HP	164HP	167HP	168HP
Transcription| Basal transcription factors	0	0	17.7558209133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Transcription| RNA polymerase	155.9114062343	251.2523446472	209.9387095192	684.8443084096	189.3048825872	472.8484601217	194.0707289368	188.6568856922	96.4721246894	169.0483346693	344.2337428872	252.467128903	443.1252809878	199.331623381	373.1849304512	441.4988877	371.4489797743	258.4072101928	344.0784758944	135.0120610011	198.4951894183	562.2222845749	240.7050809475	76.2291387466	219.395450629	82.494052089	81.7077062925	100.0339672706	165.9719159114	159.7437599322	39.9719391024	92.5080480538	32.1810299299	77.1540838995	84.3832147447	37.7014509539	152.4930339392	337.532629191	198.9287658195	279.7008151511	277.8408994839	142.0261941604	132.8019681067	398.4785515971	172.0351426223	274.0780881274	129.2899978577	159.3941707171	109.1242058378	538.8323066812	136.4351918656	260.2090614779	204.4965323425	140.3381721207	189.5736228699	302.6032472804	405.7852902969	292.9553986311	81.6926545738	145.969326102	170.3215425854	259.309529388	56.2634127898	74.9988888962	48.9397333717	114.0409937408	43.5453847047	105.628056574	48.2937271224	65.2791916486	84.6212954286	132.4731190144	345.1355894727	361.5241481394	197.5901665751	159.5933460053	8.0650949634	149.0589020791	310.3878812914	378.4572873811
Translation	687.9670460978	1114.8770179549	920.4603266929	1763.1329641655	914.3066104957	1537.3159805935	850.1912266251	925.9536445401	535.3799862087	914.7829019016	1716.4501159297	922.8320017514	1289.9475593617	887.8291483428	1374.5342981747	1495.5094687029	1686.7751068953	1359.1974271863	1333.225741596	549.3011657397	768.1075284178	2220.6765761943	1112.4721593426	408.5454102968	580.4515932123	312.9082409003	279.8833420609	645.1335402543	554.8244092199	558.6366122062	168.2473561037	329.0847842077	128.6349327697	294.6137505022	304.2506934785	262.7864850204	752.0093988051	1661.654292623	1130.6758265895	1169.0092451933	1005.4948958027	603.9072758783	511.2030948463	1024.0096292453	757.7453344029	966.0859392042	614.2474552266	966.5883715126	536.11148187	1328.449594925	475.9165899233	1130.3434949754	949.4408110751	581.759598996	950.8269893244	996.3236442992	1187.4931512284	710.6816439978	374.6260569509	695.0938984037	619.0547671693	741.8095014661	346.9947472141	462.1278202029	246.1143570024	349.7992611148	272.9153877124	490.5679440167	219.2157879647	288.3284890545	226.6751333052	398.5148674054	1295.3268318649	1025.5139946966	850.9355558746	694.6879858989	49.5542671616	817.9506695077	1225.7247095167	1247.402221958
Translation| Aminoacyl-tRNA biosynthesis	322.672404992	484.9039958334	429.3946664676	823.5313820792	386.4275099712	736.5136303925	398.9219655839	434.2501039639	240.3800799197	392.8622202454	790.4677019131	433.9527006563	506.7127521812	419.2853581779	652.218765075	658.912669177	797.0017373721	645.6122763212	658.8349373982	256.5443927721	370.7254815363	1113.166107088	501.3527256505	215.8090115499	270.4053299842	147.3759328632	123.8404717252	290.970860083	266.046723009	279.1649086377	74.9694615057	166.1393952226	61.3063814582	136.1070689546	151.5613390473	113.2265709382	353.5050717496	828.3452675505	496.3582296794	549.3044858545	448.8291464534	284.8044296823	244.1035892035	486.2968421332	365.9947693737	451.0718590246	285.2583271442	443.680773936	249.879683298	590.8344300289	213.1227791702	511.8060569459	428.4306219511	277.9865269954	437.0851606628	439.0668510885	570.3104862659	333.6260581219	174.1039242131	321.6199581648	272.3489772075	339.9482082968	157.3600944028	207.6497231364	88.0316207717	164.9577446753	124.9440360159	228.732115312	106.7952412502	138.4118312451	113.2674260462	111.8215864562	419.3463364223	461.7703756735	374.3239494663	311.3277154819	22.957686033	365.8505076176	576.1910033601	607.2186458324
Translation| mRNA surveillance pathway	0	0	7.6884055563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Translation| Ribosome	354.7154603705	612.6234674236	434.3704381752	888.7773005248	517.7615076232	759.6646743914	443.0591804965	479.0817419913	290.1942435913	511.9459676528	907.8249240471	467.6848991447	747.5071201103	451.6717417695	692.887606242	802.7991518819	858.913302626	693.0950461741	650.7262437379	286.5497964499	385.5326288374	1043.1422466091	596.6655796877	179.1525752815	294.3944965442	159.5002081567	150.9097995782	348.0322634562	270.2294811888	264.452297287	91.7696505316	158.0430497082	65.1885887952	152.6383791595	145.5496010086	148.7040781064	393.2726974604	775.2439782989	619.910739287	600.4387176263	533.6659878124	309.3844137582	257.4809507011	503.1809264296	379.7164671649	491.7214340553	322.3811200904	513.3899240529	282.7086918229	694.0582658679	252.4743458941	605.2914716098	514.7287899985	298.2921360087	505.9795916065	535.3627527079	582.0938906243	354.6575679053	195.6884510728	363.4090724421	334.3059174874	383.319463206	186.7897855694	253.8437567305	156.5243510407	178.2171070506	145.7956229471	255.901973936	109.8129999057	145.997692526	107.9969304676	281.5703287872	857.6085117141	538.4957677819	461.0877645358	374.482644622	24.5928795945	440.7209455664	629.9172567658	621.4186484198
Translation| Ribosome biogenesis in eukaryotes	5.0128039326	6.7398471186	25.5128739294	24.3718876427	4.9459876495	18.1032629849	4.0152722881	8.1099755769	2.5666014462	5.5425949473	7.6711242341	8.750326308	16.3877159496	7.6242677027	15.6519441253	17.8484059447	19.6465148953	12.8855386068	11.0854844909	2.7236233347	5.1226446978	27.7836734097	6.2119122985	6.718227096	8.2046732787	3.174909451	2.2187088175	4.4840351556	6.8986664373	6.7987060648	0.6342925893	1.8260076818	0.9103726111	2.7488447414	2.9320080239	0	2.7347173799	29.6178952248	8.7148809905	10.514626392	11.8708034163	4.9564193268	3.9840996701	15.3944807374	5.1206899664	11.6717988929	4.0717289633	6.7936771582	1.3611899002	21.4904582523	4.4669939991	5.5216869072	2.2160394307	2.6257292535	4.7480522792	11.4267970883	16.4525263597	10.9327143628	2.1011606358	5.3639354698	5.5183516978	8.3520556276	2.194161747	0	0.9501248326	2.850214165	1.1347445954	2.1250062709	1.1357422025	1.8611524613	2.1634150589	4.1087980329	10.2903882778	12.3264570045	7.9265948574	4.1323421142	0.7792016179	7.2276520079	9.7755661643	9.3574563726
Translation| RNA transport	5.5663768027	10.6097075793	23.4939425644	26.4523939188	5.1716052518	23.0344128247	4.1948082566	4.511823008	2.2390612515	4.4321190561	10.4863657354	12.4440756424	19.3399711206	9.2477806927	13.7759827324	15.9492416993	11.2135520019	7.6045660842	12.579075969	3.483353183	6.7267733463	36.5845490875	8.2419417059	6.8655963694	7.4470934052	2.8571904294	2.91436194	1.6463815595	11.6495385848	8.2207002167	0.8739514771	3.0763315951	1.2295899052	3.1194576467	4.2077453987	0.8558359758	2.4969122152	28.4471515488	5.6919766326	8.7514153205	11.1289581206	4.762013111	5.6344552716	19.1373799451	6.9134078979	11.6208472314	2.5362790287	2.7239963655	2.1619168489	22.0664407759	5.8524708599	7.7242795125	4.0653596948	2.8552067384	3.0141847759	10.4672434145	18.6362479785	11.4653036078	2.7325210292	4.700932327	6.8815207766	10.1897743357	0.6507054949	0.634340336	0.6082603574	3.7741952239	1.040984154	3.8088484978	1.4718046063	2.0578128221	3.2473617325	1.0141541291	8.0815954507	12.9213942367	7.5972470151	4.7452836808	1.2244999162	4.1515643158	9.8408832265	9.4074713332
Transport and catabolism	19.9588431188	34.3775352409	0	179.9939494996	33.8235036334	86.8875589325	28.4507991129	35.7533485598	19.3378256844	24.8094051865	51.2380585259	68.1292414788	0	38.2720450575	91.0117284642	129.261610469	84.3110838296	53.0554398004	61.8278688905	0	29.63508004	0	0	0	62.6712632985	14.5180128216	15.1188910611	18.0044558886	0	29.5891329324	5.0792641031	19.5664156712	5.1682462304	14.2186426116	0	0	0	0	30.9381221644	51.1365887172	63.2898898951	0	23.9034580194	107.7189329566	33.4878643482	70.4416696861	18.1817831207	25.9788023303	14.1585465163	127.4535827448	25.4285695207	35.2764868579	22.9807491546	0	0	0	106.7553873816	0	0	30.2211388797	37.5192132603	75.4846198966	0	0	0	20.9386645201	0	18.2206366299	8.5990120123	0	18.7796156088	0	47.5371828693	88.8176612859	40.3225085231	0	0	32.9321842379	69.4262232352	78.2382150676
Transport and catabolism| Peroxisome	19.9588431188	34.3775352409	0	179.9939494996	33.8235036334	86.8875589325	28.4507991129	35.7533485598	19.3378256844	24.8094051865	51.2380585259	68.1292414788	0	38.2720450575	91.0117284642	129.261610469	84.3110838296	53.0554398004	61.8278688905	0	29.63508004	0	0	0	62.6712632985	14.5180128216	15.1188910611	18.0044558886	0	29.5891329324	5.0792641031	19.5664156712	5.1682462304	14.2186426116	0	0	0	0	30.9381221644	51.1365887172	63.2898898951	0	23.9034580194	107.7189329566	33.4878643482	70.4416696861	18.1817831207	25.9788023303	14.1585465163	127.4535827448	25.4285695207	35.2764868579	22.9807491546	0	0	0	106.7553873816	0	0	30.2211388797	37.5192132603	75.4846198966	0	0	0	20.9386645201	0	18.2206366299	8.5990120123	0	18.7796156088	0	47.5371828693	88.8176612859	40.3225085231	0	0	32.9321842379	69.4262232352	78.2382150676
Xenobiotics biodegradation and metabolism	58.2745253035	67.2103355914	68.4686512284	1277.3307840589	63.4936946825	159.3864602145	83.0247304377	62.0759588058	40.0109883727	80.5759564522	248.4346199554	138.1149038034	778.5080813491	57.7911478634	130.2570347716	159.0433524219	147.7750957794	92.1394036008	621.7619323478	60.297503944	70.1793040886	1279.2237989842	172.6395014498	191.2451794699	84.9501691807	27.0987369633	29.1438948077	33.1302395179	180.8299718787	33.9387730391	14.4701620952	39.576734486	4.7446393359	24.4867141766	11.4578497392	3.5098244237	54.4638468792	2119.4025953877	33.1161890256	107.5676270773	106.4193627803	76.1829955969	49.2609516344	151.0790623395	98.1512677686	141.3120440873	42.3999776037	52.1281520946	41.6778199764	158.0740799382	51.6340108916	114.7195378747	89.508120423	30.1144815465	30.6655279667	116.6629850765	771.4564839813	457.2431409695	13.8375575676	64.0485296247	62.187796621	500.3679038095	4.9122196586	5.1613840592	8.1650245072	34.3692568718	4.7764006417	72.9737398309	20.3280918179	15.2513916729	34.2905007859	9.0765931159	124.9421027158	144.3628296669	71.5306822374	169.3242515434	36.6212356569	173.9281897885	631.4002478146	624.6861698872
Xenobiotics biodegradation and metabolism| Aminobenzoate degradation	7.4481659379	0	0	63.4482250602	0	0	0	0	0	10.3303953758	5.4427564358	22.1161822957	0	0	0	0	0	0	0	0	0	80.2836037383	15.4179368328	45.095696535	0	0	0	0	31.7382007444	0	0	0	0	0	0	0	3.8878315064	188.8485166634	3.4995391092	0	0	0	0	0	10.4422871955	0	0	0	0	0	0	16.3493114542	0	0	0	0	0	34.2320373192	0	0	0	0	0	0	0	0	0	7.9772414193	0	0	0	0	24.7784554968	0	0	21.0036822919	0	0	0	0
Xenobiotics biodegradation and metabolism| Atrazine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9043789277	0	16.8883093438	0	0	0	0	7.626852475	0	0	0	0	0	0	0	0	159.5403323216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenobiotics biodegradation and metabolism| Benzoate degradation	30.7893934679	43.277166848	39.8212936455	43.2199099955	32.4265496694	57.0094718487	33.5822546633	12.7851357362	13.7157962352	34.9597887979	81.1843656277	24.0040004907	18.1158278324	31.9005059554	23.5239150946	29.9736598167	25.186384783	18.8421803557	59.221128954	22.8269598139	39.1455126027	131.5765870653	46.2781715357	39.905619123	6.6932205475	9.2164215698	6.7751872211	7.0492687168	29.7438732923	18.1893387117	6.5455173879	11.7927601415	4.7446393359	10.4436999842	11.4578497392	3.5098244237	35.1189405183	182.5659294912	29.6166499164	31.997407719	22.1239991573	22.7467633331	18.5990182241	18.4594781016	35.4565275711	25.3278352619	18.5145069637	8.8319525426	25.586900466	21.2771427726	17.2106734928	58.109588587	55.8958107421	30.1144815465	30.6655279667	39.9744805162	23.5830646094	17.1088330328	13.8375575676	18.1408361381	16.4676874084	14.780346366	4.9122196586	5.1613840592	5.7208434025	15.975432608	4.7764006417	25.8276921454	10.7450449448	0	10.7936665836	9.0765931159	39.6715088385	19.2290445817	27.3763601119	43.1383671287	6.4141711897	13.6101834166	50.5674156862	62.0031873813
Xenobiotics biodegradation and metabolism| Bisphenol degradation	0	0	0	0	0	0	0	0	0	0	0	0	100.9961207909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4662708115	0	0	0
Xenobiotics biodegradation and metabolism| Chloroalkane and chloroalkene degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.0679572483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.7769453238	0	0	0	0
Xenobiotics biodegradation and metabolism| Chlorocyclohexane and chlorobenzene degradation	0	0	0	0	0	0	0	0	0	0	0	0	3.7415223029	0	0	0	0	0	5.2942755293	2.3019576529	0	0	3.0650351678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8426455135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4588185896	0	0	0
Xenobiotics biodegradation and metabolism| Drug metabolism - other enzymes	0	0	0	959.6322642435	0	0	0	0	0	0	0	0	537.210139287	0	0	0	0	0	439.4528335911	0	0	734.2150598716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772.5782133058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626.1059046893	0	0	0	0	376.9858629667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427.2124146927	439.7646026055
Xenobiotics biodegradation and metabolism| Fluorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	2.1849006785	1.4197027965	0	0	0	0	0	0	0	0	0	42.2902313375	0	38.8800346641	0	0	0	0	24.9935452081	0	0	0	0	0	0	0	0	235.1200342567	0	0	0	0	3.0312444599	2.8797355186	0	1.7236198191	0	0	0	0	0	4.3855921157	0	0	0	3.1306447273	0	11.2344937332	0	0	0	7.7923733262	0	0	1.1014887333	0	0	0	5.1641856384	0	0	0	0	0	0	14.5713807237	0	7.8184519423	0	0
Xenobiotics biodegradation and metabolism| Naphthalene degradation	20.0369658977	23.9331687434	28.6473575829	193.505762824	31.0671450131	102.3769883658	31.7855695843	49.2908230696	26.2951921375	35.2857722785	67.9266530393	90.5750182205	113.1472301297	25.890641908	106.733119677	129.0696926052	122.5887109964	73.2972232451	70.5829382193	25.0217890016	31.0337914859	114.6595455195	90.9225293273	0	78.2569486332	17.8823153935	22.3687075866	26.0809708011	36.7178077293	15.7494343274	7.9246447073	27.7839743445	0	14.0430141924	0	0	0	375.3927880523	0	75.5702193583	84.295363623	35.1173290657	27.6306889504	129.7398487193	52.252453002	95.8362281273	23.88547064	43.296199552	16.0909195104	136.7969371656	34.4233373988	35.8750457178	33.6123096809	0	0	73.557859833	121.7675146826	183.8217512771	0	45.9076934866	45.7201092126	81.1667590914	0	0	0	18.3938242638	0	39.1688062662	0	15.2513916729	23.4968342023	0	60.4921383805	125.1337850852	44.1543221255	0	0	116.4210958759	79.1914570341	63.9557476526
Xenobiotics biodegradation and metabolism| Nitrotoluene degradation	0	0	0	17.5246219357	0	0	17.6569061901	0	0	0	91.6959441741	0	5.2972410062	0	0	0	0	0	47.2107560541	10.1467974756	0	149.2943925243	16.9558285862	50.475519804	0	0	0	0	50.0096924296	0	0	0	0	0	0	0	15.4570748545	205.3567812967	0	0	0	15.4762576846	0	0	0	18.424360879	0	0	0	0	0	0	0	0	0	0	0	14.7780683589	0	0	0	19.6425620592	0	0	1.3426923714	0	0	0	4.4188612347	0	0	0	0	0	0	30.8338760753	13.2819750661	12.5513062684	74.4289604016	58.9626322478
Xenobiotics biodegradation and metabolism| Polycyclic aromatic hydrocarbon degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5271522853	0	0
