Group.1	1HP	2HP	5HP	6HP	8HP	11HP	15HP	16HP	9HP	21HP	22HP	23HP	24HP	26HP	27HP	31HP	32HP	33HP	34HP	39HP	40HP	41HP	42HP	50HP	53HP	55HP	56HP	57HP	59HP	35HP	48HP	49HP	60HP	61HP	62HP	64HP	51HP	58HP	63HP	84HP	97HP	101HP	102HP	105HP	73HP	74HP	77HP	78HP	79HP	80HP	83HP	85HP	86HP	89HP	90HP	95HP	96HP	98HP	67HP	68HP	69HP	70HP	71HP	106HP	107HP	108HP	72HP	109HP	137HP	134HP	135HP	136HP	130HP	131HP	159HP	163HP	160HP	164HP	167HP	168HP
Nucleotide metabolism| Pyrimidine metabolism	160.294908506	238.1617268928	217.3386732287	610.468426287	182.6674417521	442.400938555	183.2651377403	228.8885580621	122.2593266754	192.7921197707	325.7906985891	276.4276617512	374.5720729736	219.1547336636	394.8744887398	434.5512242716	438.1122429619	322.3081922576	338.1195923446	118.0167321604	169.6829954531	607.5315270814	254.0908143765	148.1068138199	203.6820706626	77.8282451804	72.6183082915	141.2384854681	169.1607910836	150.5953827881	33.112536967	84.5110366584	28.9553167881	74.0763367826	83.4955270934	51.74528184	135.4124508576	599.7508737215	245.8610790478	292.5647727862	269.4177984543	144.1335091844	123.3086229115	358.2788187756	184.4642366503	280.6603763501	130.07925461	219.2954356964	107.4655306596	430.8820338603	125.7775948091	251.4297148072	177.8816630381	115.2890762103	194.6394445187	246.5568876262	396.6361225474	251.4225727422	80.0613934013	176.9086924858	163.0017993695	244.7697749111	73.7781647369	92.0969699863	43.7359722969	94.8039413459	54.1149049126	116.1010766468	48.8434652284	64.0923581882	73.099911139	74.656173343	231.7678151469	322.1181169116	190.5730721685	146.0483801326	15.9351077411	198.9351484632	306.3442204073	315.3860478517
Replication and repair	619.3880747723	947.0220468677	816.5408567817	2825.3295889577	680.7135525747	2121.1597654003	709.440558837	750.3834383187	439.394987283	669.9879516077	1316.314845416	1268.6352140668	1835.613219999	914.3621236567	1668.6632689033	1841.161052756	1672.4279524083	1143.5448328553	1390.1403146412	422.1090326021	695.1252568302	2887.5318264153	935.2658895862	712.3669582812	901.1941941285	332.8770968378	309.3785323722	436.8310753713	784.2754546547	775.0857791604	128.3091263893	328.6608502411	116.2829280724	310.781809512	405.4288269012	155.5221559927	462.5922147745	3213.3798430098	850.4578721766	1096.6262985289	1180.7948635726	591.8148690994	519.0178360811	1729.7105033756	736.5105216263	1259.7074625805	441.9150528807	708.4881800436	384.1536941524	2051.1478076776	527.5875276831	924.4191987702	575.4271969402	395.6471399973	619.5254425451	1105.7332974433	1827.7103402281	1208.1113083691	310.0869221067	687.5451777944	702.915633745	1135.2019976469	224.3855239765	255.4478403576	139.2473676978	393.1299966015	153.3345574654	444.4971816779	186.9390334228	254.2458047805	352.0102430257	255.7607117783	1036.7600919214	1429.7246127307	731.9325329437	516.3044260458	88.1281477407	716.9599913015	1209.9522530587	1263.4176630488
Replication and repair| Base excision repair	97.8577009067	148.9255399113	150.8716881137	436.6946756743	102.3292844095	342.0562865727	110.4711592015	112.4687658872	73.6610047991	97.0298390165	190.0807741779	187.6156310283	263.7064713441	149.0289580156	286.9163394151	315.4920664417	274.443834693	177.3632769647	223.0056310035	67.5980185401	106.3470677773	467.2427424766	136.9202111095	125.0469411767	154.8337195702	56.5089352765	53.0502715331	65.549221012	143.7362958416	122.7339770955	24.1591693291	50.286390371	17.3878369265	51.6729547733	64.8600735837	21.3058696004	77.8137828879	438.6973595263	127.5756947357	176.1071065386	196.2984428428	89.0503010207	74.2439794528	297.0670699317	115.7397294224	195.7980383202	72.1801722788	111.6853583513	56.7104845898	337.5906975437	77.2543460619	149.2764952269	99.1330684903	57.9795163529	92.2773921431	168.033464004	294.3891623891	205.4461519946	48.8805153012	99.3196493848	112.0602930652	185.8960567476	31.4107689069	39.8696532485	25.295774126	61.7998662045	24.7110382389	70.1154964231	29.7317463169	38.7977210808	57.8177868078	33.8263206781	149.1992209056	250.6474121265	107.548434713	87.0125762969	15.4967081906	114.7810540355	193.0221003874	210.3653746696
Replication and repair| DNA replication	114.1688067144	172.245596985	152.1473975413	570.8669384324	118.1045361156	406.4049214957	127.5346964135	132.0684678071	82.4293131764	118.1923111179	263.7326068325	247.920077617	386.9447997448	167.3298742717	303.0242935589	368.7411726487	300.6393846148	197.3576771511	251.0448226043	74.7314336478	122.8482834124	554.7336539576	182.377260828	153.2653428138	179.8975877602	59.2983790103	59.0963536967	72.019762004	153.5789321886	146.74177846	21.9148139088	58.7543223792	22.298007577	57.1636913708	77.5659775453	28.1003512063	80.2378123443	1016.9066304811	153.5304935764	194.9854646451	220.4197318997	110.966003728	93.9508755569	330.5922876951	138.4476219253	242.8337574862	74.599111522	120.6639565496	67.4007878477	400.1333372432	98.9985789361	170.0745297974	94.1497855688	69.010031511	108.7161465162	215.4024078906	353.070234307	234.0308650972	55.7935877317	124.8964727249	131.5882018402	221.2880967276	35.5974138916	40.1810436715	22.0808399025	72.4688818083	21.9521185437	80.5474236932	34.1426593209	43.951911088	62.7847366361	49.2691038968	212.3985007791	269.2605765211	138.7303723347	93.1657971791	20.4944124742	129.5259632969	243.1494847536	240.7288775922
Replication and repair| Homologous recombination	148.2350954586	223.0106235754	174.7877201619	702.2603077527	168.1944521723	497.9453602465	172.6446934198	197.6302712811	108.3690912447	165.3068056792	332.7869237758	329.171930836	502.7539746193	216.1294774162	413.3189460824	444.5287100704	427.3913827072	296.2703245902	338.4210260377	102.7326360608	167.2036746136	657.4179296457	225.68741064	162.0310019214	206.6143451269	79.4787881131	74.0245114194	117.0198356438	171.3487272962	178.2849408741	30.7812291228	87.9827327154	29.9043508593	76.1804067268	97.82999888	43.1770487487	114.2569247013	697.1561717513	225.7632016192	278.8404975863	303.2175353102	157.302918625	134.2769809071	399.8405847594	183.2125066779	318.758760199	113.7881070405	188.1604305719	103.1924500013	486.3113927121	136.4921758797	221.8579924256	143.4004659994	93.5718993116	157.8468763559	267.3160141082	468.4086910723	293.2770035349	79.1726654157	173.0074765841	178.8659324637	279.7622136173	64.6995587788	71.4887655413	34.7475519933	99.5850411794	45.7096020528	118.1763421917	48.9064242624	63.8323727346	89.0842683907	61.3107844135	246.3133233352	341.6009387855	182.3375541585	122.9988396168	17.9122047748	192.8526341494	306.52054412	327.5944310052
Replication and repair| Mismatch repair	157.3496694551	246.6815755278	191.9756660428	749.6878758842	179.3573473864	563.8441098591	167.379011389	180.7718409267	103.0158992758	167.3363617024	311.3390027218	317.6126350728	464.4760806391	230.5720896178	401.1054046633	440.1629508384	385.9297054281	274.1297487024	348.9337366242	98.5050325966	177.7766737776	781.0382055853	227.1575443309	193.2806974186	228.3025062119	82.7068476863	75.9311147517	99.2915538368	201.0209684914	211.0901972057	28.0067888414	75.622346052	26.897290728	75.5582840608	107.3620679185	34.8538759618	103.1686688919	772.6536239785	197.4782045919	260.5046331973	283.2660990855	145.6225868126	135.6489444321	458.2398010844	176.7680707229	313.3795444744	100.534985491	163.1677835686	86.5038537989	539.7139843	134.7024912347	219.5438072504	119.5916906882	100.1960891194	145.4836161097	287.9356159845	458.0108369646	309.0077399398	74.905601101	175.4130229733	173.0246006228	295.6283315662	48.6926530907	54.1518667282	30.7972948124	99.4637419638	30.5739941199	103.1194353365	43.9387151938	63.464550875	91.5357579097	62.0905844864	283.6480739985	357.3254707763	180.8701632066	119.6978020192	23.3986341497	171.2660916389	300.1084323464	298.1141916707
Replication and repair| Nucleotide excision repair	101.7768022375	156.1587108682	146.758384922	365.8197912141	112.7279324909	310.9090872263	131.4109984132	127.4440924166	71.919678787	122.1226340917	218.375537908	186.3149395127	217.7318936517	151.3017243354	264.2982851836	272.2361527568	284.0236449652	198.4238054469	228.7350983715	78.5419117568	120.9495572493	427.0992947501	163.1234626778	78.7429749507	131.5460354593	54.8841467516	47.2762809713	82.9507028747	114.5905308369	116.2348855251	23.4471251872	56.0150587235	19.7954419816	50.2064725803	57.8107089737	28.0850104755	87.1150259491	287.9660572726	146.1102776534	186.1885965616	177.5930544344	88.8730589131	80.8970557322	243.970759905	122.3425928778	188.9373621007	80.8126765484	124.8106510022	70.3461179147	287.3983958786	80.1399355707	163.6663740699	119.1521861935	74.8896037024	115.2014114202	167.045795456	253.8314154951	166.3495478026	51.3345525571	114.9085561273	107.3766057531	152.6272989882	43.9851293085	49.7565111681	26.3259068636	59.8124654455	30.3878045101	72.5384840334	30.2194883288	44.1992490021	50.7876932814	49.2639183035	145.200972903	210.8902145213	122.4460085309	93.4294109338	10.8261881514	108.5342481808	167.1516914513	186.6147881111
Signal transduction	43.3354710117	73.1274221237	28.6101967474	107.9002371782	33.9957565546	133.5061688993	39.3031323029	29.4961419493	13.8029697089	27.4797434239	72.9486819491	45.9293724045	60.8189570737	51.9185522851	64.8790669807	76.1701735889	56.1098882803	45.1183353223	87.9644394969	21.0513814144	50.5570799804	313.3755553562	45.5662706476	91.4429259164	32.8781017043	17.0141960104	12.6692216381	13.051645101	81.9704894933	57.144960367	4.6126902462	14.9669795543	4.4612972182	16.9613792387	26.4224571846	4.7924079341	18.2357694705	455.9589183043	41.4211448063	36.4642233279	53.8483128736	30.5666554482	27.1770057412	68.9344840202	33.7831319841	47.2021221984	19.6339481672	23.4131243986	18.1028216215	74.388185899	22.3361278247	54.3684865719	26.9819366731	24.6805776985	27.6485169984	56.7928274877	71.9868208446	64.9579263392	17.0890561203	25.5951697893	32.2934898747	47.3641030641	5.9306636052	7.5593488911	3.5707353205	20.4307694662	4.5388082736	14.1485709726	10.5909935425	13.5912145905	14.475721312	13.5721309162	54.1071172671	48.8605073552	37.8483414973	47.1944117104	15.283250853	35.8933347563	66.672038145	62.3549237051
Signal transduction| Two-component system	43.3354710117	73.1274221237	28.6101967474	107.9002371782	33.9957565546	133.5061688993	39.3031323029	29.4961419493	13.8029697089	27.4797434239	72.9486819491	45.9293724045	60.8189570737	51.9185522851	64.8790669807	76.1701735889	56.1098882803	45.1183353223	87.9644394969	21.0513814144	50.5570799804	313.3755553562	45.5662706476	91.4429259164	32.8781017043	17.0141960104	12.6692216381	13.051645101	81.9704894933	57.144960367	4.6126902462	14.9669795543	4.4612972182	16.9613792387	26.4224571846	4.7924079341	18.2357694705	455.9589183043	41.4211448063	36.4642233279	53.8483128736	30.5666554482	27.1770057412	68.9344840202	33.7831319841	47.2021221984	19.6339481672	23.4131243986	18.1028216215	74.388185899	22.3361278247	54.3684865719	26.9819366731	24.6805776985	27.6485169984	56.7928274877	71.9868208446	64.9579263392	17.0890561203	25.5951697893	32.2934898747	47.3641030641	5.9306636052	7.5593488911	3.5707353205	20.4307694662	4.5388082736	14.1485709726	10.5909935425	13.5912145905	14.475721312	13.5721309162	54.1071172671	48.8605073552	37.8483414973	47.1944117104	15.283250853	35.8933347563	66.672038145	62.3549237051
Transcription	155.9114062343	251.2523446472	227.6945304325	684.8443084096	189.3048825872	472.8484601217	194.0707289368	188.6568856922	96.4721246894	169.0483346693	344.2337428872	252.467128903	443.1252809878	199.331623381	373.1849304512	441.4988877	371.4489797743	258.4072101928	344.0784758944	135.0120610011	198.4951894183	562.2222845749	240.7050809475	76.2291387466	219.395450629	82.494052089	81.7077062925	100.0339672706	165.9719159114	159.7437599322	39.9719391024	92.5080480538	32.1810299299	77.1540838995	84.3832147447	37.7014509539	152.4930339392	337.532629191	198.9287658195	279.7008151511	277.8408994839	142.0261941604	132.8019681067	398.4785515971	172.0351426223	274.0780881274	129.2899978577	159.3941707171	109.1242058378	538.8323066812	136.4351918656	260.2090614779	204.4965323425	140.3381721207	189.5736228699	302.6032472804	405.7852902969	292.9553986311	81.6926545738	145.969326102	170.3215425854	259.309529388	56.2634127898	74.9988888962	48.9397333717	114.0409937408	43.5453847047	105.628056574	48.2937271224	65.2791916486	84.6212954286	132.4731190144	345.1355894727	361.5241481394	197.5901665751	159.5933460053	8.0650949634	149.0589020791	310.3878812914	378.4572873811
