,betalactams,MLS,Tetracyclines,Aminoglycosides,Multi-drug resistance,Phenicol,Bacitracin,Cationic antimicrobial peptides,Elfamycins,Fluoroquinolones,Rifampin,Trimethoprim,Sulfonamides,Lipopeptides
SAR_276,198938.99204244,7957.55968169761,694144.052234238,0,0,98959.3960416242,0,0,0,0,0,0,0,0
Spb_100_40P,197125.472093999,0,797104.490138481,0,0,5770.03776751993,0,0,0,0,0,0,0,0
Spb_101_41P,196561.790463834,0,803438.209536166,0,0,0,0,0,0,0,0,0,0,0
Spb_103_43P,126021.180030257,163237.518910741,701361.573373676,2723.1467473525,0,6656.58093797277,0,0,0,0,0,0,0,0
Spb_105_45P,28439.9832705981,29276.4533667921,817649.519029695,4879.40889446536,67475.2544263209,12547.0514429109,0,23142.3393280357,10874.1112505228,0,0,5715.87899065942,0,0
Spb_106_46P,24536.53217012,3680.47982551799,944520.174482007,6679.3893129771,4362.05016357688,16221.3740458015,0,0,0,0,0,0,0,0
Spb_61_1P,241244.374877715,7043.63138329094,746820.583056153,0,0,0,0,0,0,0,0,4891.41068284093,0,0
Spb_66_6P,246158.770806658,30943.2351685873,722897.994024755,0,0,0,0,0,0,0,0,0,0,0
Spb_69_9P,405356.68297708,7983.51789853206,575328.354365182,0,0,0,0,0,0,0,0,11331.4447592068,0,0
Spb_70_10P,298574.10341351,18723.8945700706,679677.372893562,3024.62912285755,0,0,0,0,0,0,0,0,0,0
Spb_72_12P,0,0,969943.820224719,0,0,16292.1348314607,0,0,0,0,0,13764.0449438202,0,0
Spb_73_13P,127122.895019706,0,262343.246148334,82551.0569688284,381583.661769975,0,9100.68075958438,69079.1830884988,18416.3382300251,42565.3887495521,0,3224.65066284486,4012.89860265138,0
Spb_74_14P,14961.38996139,6032.81853281853,962837.837837838,0,0,11100.3861003861,0,0,0,0,0,5067.56756756757,0,0
Spb_76_16P,89940.7187847351,5928.12152649129,301685.809559096,86698.7773249352,378566.13560578,1852.53797702853,10188.9588736569,81974.8054835124,16580.2148944053,26583.9199703594,0,0,0,0
Spb_98_38P,0,0,954632.413227658,12298.4421973217,0,10112.0524733534,0,0,0,0,0,22957.0921016671,0,0
TAT_129,6620.20905923345,0,930139.3728223,0,0,12717.7700348432,0,0,0,0,0,50522.6480836237,0,0
TAT_130,7467.3304293715,0,935034.225264468,0,0,7529.55818294959,0,0,0,0,0,49968.886123211,0,0
TAT_131,5281.02602791399,0,941908.713692946,0,0,0,0,0,0,0,0,52810.2602791399,0,0
TAT_134,5468.58245764529,0,934377.010508256,0,0,8149.26013296161,0,0,0,0,0,52005.1469011366,0,0
TAT_138,0,0,947438.456420492,0,0,7429.58527389665,0,0,0,0,0,45131.958305611,0,0
TAT_143,5187.91791560987,0,929617.246944893,0,0,7436.01567904081,0,0,0,0,0,57758.8194604565,0,0
TAT_146,5346.84114253553,0,919515.970170255,3588.01181933305,0,9497.67834529337,0,0,0,0,0,62051.4985225834,0,0
TAT_147,6118.99492253613,0,911730.243457883,0,0,9503.97083713058,0,0,0,0,0,72646.7907824502,0,0
TYV_202,21439.184886436,0,978560.815113564,0,0,0,0,0,0,0,0,0,0,0
TYV_203,0,0,991629.610253727,0,0,8370.38974627256,0,0,0,0,0,0,0,0
TYV_204,103305.785123967,27376.0330578512,844180.44077135,0,0,7920.11019283747,0,0,0,0,0,17217.6308539945,0,0
TYV_205,69958.3581201666,17965.496728138,890541.344437835,0,0,0,0,0,0,0,0,21534.8007138608,0,0
TYV_206,0,0,972252.646951442,0,0,21540.7082876962,0,0,0,0,0,6206.64476086163,0,0
TYV_207,17277.1250863856,0,956000.921446671,0,0,26721.9534669431,0,0,0,0,0,0,0,0
TYV_208,49704.8772910842,0,919540.229885057,0,0,0,0,0,0,0,0,30754.8928238583,0,0
TYV_209,13390.7221425155,0,549497.847919656,406822.891758329,0,30288.5381794994,0,0,0,0,0,0,0,0
TYV_210,49671.5927750411,0,912972.085385878,0,0,37356.3218390805,0,0,0,0,0,0,0,0
TYV_211,0,0,678702.010968921,321297.989031079,0,0,0,0,0,0,0,0,0,0
TYV_212,62859.1954022989,0,878591.954022989,0,0,48491.3793103448,0,0,0,0,0,10057.4712643678,0,0
TYV_214,95406.3604240283,0,822143.698468787,0,0,66548.8810365135,0,0,0,0,0,15901.0600706714,0,0
TYV_215,97100.4720161834,0,902899.527983817,0,0,0,0,0,0,0,0,0,0,0
TYV_216,175171.12632234,0,808960.796515246,0,0,0,0,0,0,0,0,15868.0771624144,0,0
TYV_219,111363.030141371,21605.7615364097,839157.108562283,0,0,14270.4721259002,0,0,0,0,0,13603.6276340357,0,0
