feature	mean_1	sd_1	mean_2	sd_2	p.value	adj.p.value
Enterococcus_faecium	0.01302925	0.0320839369017486	0.58302075	1.98352528709378	0.00887903049404347	0.0710322439523478
Enterococcus_faecalis	0.0203285	0.093256565742593	0.6816155	2.81739745705505	0.0573842508482488	0.175872126540014
Escherichia_coli	1.5181925	4.43029828548057	3.95378625	12.8110194291601	0.103206482568567	0.206412965137133
Streptococcus_parasanguinis	0.15795825	0.304236046743124	0.35514925	0.86383365488367	0.268110472385016	0.428976755816025
Klebsiella_pneumoniae	0.096197	0.354717248214001	0.24365925	1.11080041338503	0.0659520474525054	0.175872126540014
Klebsiella_oxytoca	0.0050305	0.0202364418619176	1.02812875	6.47477286268919	0.344541873272398	0.459389164363197
Haemophilus_parainfluenzae	0.07281925	0.142369703676955	0.05926575	0.207065776281633	0.974746461757165	0.974746461757165
Clostridium_perfringens	0.005098	0.0295476599099463	5.675e-05	0.000358918514429111	0.90927539613929	0.974746461757165
