Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
GO:0004314	691.72	1906.424	666.295	5316.022	609.942	595.11	448.089	1042.866	529.439	3090.268	438.472	547.472	704.928	304.936	943.657	724.128	2346.516	724.128	810.339	1598.867	2135.453	2346.516	1342.043	1627.45	2171.62	1819.472	1588.575	2471.899	4801.611	1544.319	3566.536	2096.99	1821.281	1862.358	951.079	4039.271	2058.309	1288.326	1562.743	169.649	781.388	843.382	719.657	702.774	1708.704	831.351	1357.805	556.858	354.237	1345.516	599.013	464.624	520.043	836.975	991.469	1809.488	659.347	2978.766	3090.268	2986.898	1181.802	191.217	1097.192	1879.388	596.003	1082.976	1758.561	1894.744	990.678	485.014	1407.495	1595.073	59.648	2069.404	1351.168	3308.226	993.918	928.865	267.39	763.269
GO:0004315	991.875	2082.294	1432.499	4501.624	731.407	872.878	497.705	1349.995	441.807	4420.652	1013.305	572.954	498.061	757.071	1428.291	1034.003	4917.014	1034.003	1014.351	1982.825	2608.103	4917.014	1990.032	2746.545	4066.906	3726.548	2098.229	3190.073	4769.864	3988.896	4892.856	2850.82	4068.298	3703.193	868.014	3623.779	2609.029	1573.114	3427.828	316.705	927.77	1664.241	813.834	850.808	1940.19	1275.788	1262.491	859.8	313.553	2174.274	612.451	511.659	603.983	864.2	1186.383	2717.605	851.809	3665.518	4420.652	3474.97	1606.67	306.644	1962.853	2992.649	1023.007	1368.939	3566.703	3593.797	2113.131	703.339	2576.433	2394.165	130.916	3934.986	1845.151	4086.809	2227.243	1149.827	535.907	1296.253
GO:0004316	1232.674	3452.537	1315.573	10961.419	920.813	1283.525	655.108	3278.444	1038.66	4664.438	964.821	1081.987	1065.28	521.654	1657.9	1181.712	3446.194	1181.712	1210.82	2691.056	3410.851	3446.194	2513.205	2999.171	2528.937	2051.922	3010.901	3618.499	8656.826	2627.555	5420.618	4179.307	3853.737	3216.231	1497.826	9869.297	3943.115	2899.322	4118.769	509.273	1610.368	1793.609	1373.695	1378.586	2334.697	1659.972	2985.801	872.209	603.696	2473.309	1355.06	632.243	577.8	1384.557	1717.169	3402.154	1137.294	6427.599	4664.438	3958.583	2095.807	157.259	2061.937	3185.515	1482.124	1499.428	3267.406	4305.523	2561.341	803.668	3112.899	2795.981	87.057	5289.009	2316.372	4751.844	1694.887	1486.75	477.632	1868.419
GO:0004318	672.459	1456.73	679.747	1312.995	396.355	549.482	126.419	1077.529	115.569	4766.237	418.479	565.941	673.079	585.252	3876.791	662.112	2593.414	662.112	250.341	1444.789	938.749	2593.414	1254.251	1484.364	2676.612	1757.83	559.213	1256.355	723.465	1701.561	5047.503	534.929	2169.878	742.214	355.842	528.065	1131.777	786.762	1089.881	94.76	158.481	1538.203	443.684	342.593	2251.556	704.785	246.151	387.974	116.319	988.304	157.193	683.382	937.724	531.475	464.226	1390.453	862.41	1037.062	4766.237	1704.401	579.797	212.09	1541.045	2182.307	590.86	884.034	1500.375	2260.764	609.359	427.924	977.437	1397.641	139.388	961.217	1623.287	937.321	846.451	1419.833	236.687	413.484
GO:0004322	23.659	145.199	50.195	53.153	25.113	36.754	80.743	21.294	2.105	65.649	12.426	2.174	4.429	378.04	10.267	31.011	22.772	31.011	64.606	73.293	94.046	22.772	31.148	116.866	128.939	349.221	58.285	155.288	151.219	31.715	23.136	207.741	15.5	151.606	55.35	924.894	115.227	185.052	10.771	31.757	18.752	53.612	27.657	59.082	2.105	404.585	15.225	28.078	10.872	12.811	31.671	2.336	0	29.728	96.538	31.009	4.068	264.341	65.649	62.074	75.318	251.642	54.467	39.515	33.438	71.432	77.53	91.6	25.059	11.666	27.413	110.904	199.71	25.805	33.436	6.91	53.534	12.561	105.753	27.367
GO:0004324	70.032	286.602	39.454	667.594	71.332	71.516	165.298	111.275	92.117	32.238	26.756	74.397	139.635	230.936	111.336	119.454	262.369	119.454	69.281	184.228	770.101	262.369	224.265	118.474	50.785	260.098	183.891	475.515	1031.058	55.14	108.411	415.401	349.215	212.292	429.583	1516.928	711.731	544.179	615.228	67.559	204.557	51.304	167.286	124.225	67.423	394.004	104.957	105.424	224.041	73.593	160.118	33.178	17.113	47.574	156.308	145.747	45.903	593.664	32.238	524.106	222.02	187.572	84.961	245.306	40.067	133.687	301.25	308.026	131.087	41.523	94.177	297.794	78.069	209.491	99.601	1744.406	89.827	76.119	69.892	113.772
GO:0004325	23.996	199.264	34.492	286.976	67.819	129.851	122.093	54.974	26.605	36.28	35.748	36.805	24.453	358.645	18.134	30.18	51.089	30.18	61.884	199.144	206.309	51.089	84.342	196.766	82.115	273.753	213.239	63.293	83.524	24.661	11.467	181.692	145.507	222.965	162.202	1186.79	316.394	338.143	935.731	17.093	113.792	24.095	180.218	54.902	51.377	563.587	63.535	63.638	90.394	64.247	58.418	18.934	19.476	43.098	56.626	227.794	73.94	233.164	36.28	195.595	136.598	216.589	123.002	373.087	44.941	108.897	71.692	213.38	10.218	29.13	16.286	45.075	210.703	276.402	24.533	686.487	41.454	46.431	63.783	362.811
GO:0004326	445.776	2916.432	749.591	10465.333	855.069	847.675	763.979	1609.784	756.55	2973.917	383	609.15	623.172	344.56	641.459	926.664	2077.038	926.664	1211.88	3509.799	4320.251	2077.038	2477.933	1859.786	2487.869	1987.201	2696.83	5985.712	9778.031	1118.396	3479.729	3696.915	2176.288	2952.081	1339.503	7097.074	4045.35	1998.899	3814.157	329.673	1819.204	975.317	1305.631	1324.147	1777.386	1106.396	2218.245	723.117	752.558	2364.949	1309.938	321.157	455.357	1880.056	1525.837	1905.014	1018.579	5440.157	2973.917	6975.264	2020.905	289.33	940.747	2202.135	621.135	2007.729	1921.517	3480.315	1479.121	595.884	1956.654	2307.917	61.745	3527.578	1630.881	6994.214	1615.77	957.428	461.472	1657.705
GO:0004329	778.716	2040.348	832.597	5623.302	508.241	656.557	505.555	940.394	508.611	3192.516	397.91	598.659	541.475	133.717	746.81	755.836	2822.734	755.836	719.892	1569.083	2281.171	2822.734	1574.848	1865.54	1950.025	1892.793	1667.339	2835.215	4876.205	1934.957	3698.332	2310.534	2659.788	2076.166	872.924	3361.442	2082.847	1640.727	2884.571	256.294	765.116	1324.373	748.523	838.135	1683.027	919.528	1270.114	742.801	429.917	1549.941	659.584	264.319	383.7	896.893	945.567	2169.767	757.681	3122.198	3192.516	3256.014	1170.458	170.888	1375.81	2038.048	585.747	1227.575	2025.236	3143.455	1268.946	531.919	1603.948	1813.382	19.043	2399.145	1488.217	2957.029	1115.364	886.989	321.488	1194.893
GO:0004332	1545.839	3884.994	1477.753	10419.467	1080.38	980.538	749.395	1389.538	766.1	695.74	747.3	584.74	532.402	894.833	1050.857	942.728	6153.87	942.728	1194.026	1185.925	3520.991	6153.87	1449.588	2486.394	3974.746	3720.888	2682.899	4265.906	9138.791	3150.767	1462.001	3239.22	3692.425	3522.983	1771.757	6258.484	4245.78	2494.23	5326.901	492.315	1640.272	1855.787	1070.257	1058.154	623.389	1750.148	2897.238	1154.643	791.561	2028.014	1190.988	312.537	246.326	1069.901	1253.82	3011.445	593.636	4933.068	695.74	3520.42	1878.422	323.745	2254.358	3879.67	1119.297	1355.294	3451.592	5018.953	1947.838	959.335	2622.048	2165.642	249.579	3832.158	953.566	6218.789	1631.026	484.23	558.514	1507.632
GO:0004333	994.556	1852.963	939.571	3437.649	640.113	799.745	339.553	1222.512	269.106	3971.053	602.798	483.589	752.581	922.383	2340.126	1161.065	3169.318	1161.065	495.54	1088.495	1515.125	3169.318	1495.746	2143.425	2739.658	2552.243	1263.919	2282.053	3708.698	2308.009	4053.865	1530.416	3213.73	2090.992	827.993	1898.344	1602.753	1271.1	2092.852	202.056	713.96	1764.321	495.538	698.184	1989.622	1404.323	884.679	641.592	358.27	945.773	287.23	683.521	1013.624	329.523	857.67	1770.201	711.882	2070.379	3971.053	2639.301	707.609	287.478	1815.176	1969.615	861.941	1112.366	2795.861	3206.672	1348.299	713	1371.133	1382.576	307.604	1801.132	1529.839	3770.878	1289.078	1115.765	386.532	740.026
GO:0004335	798.905	3753.768	1095.255	5123.833	781.951	615.645	494.042	1497.081	523.347	3386.162	520.217	687.22	829.708	437.231	1760.536	846.476	2763.873	846.476	748.429	1762.222	2053.133	2763.873	1534.021	1873.515	3042.149	2274.622	1981.982	2726.082	4585.081	2615.109	3574.203	3184.045	2467.173	2211.879	813.484	4095.872	1903.072	1087.036	2019.509	269.395	935.076	1447.689	714.614	749.759	1550.078	1133.72	1260.989	535.298	468.207	1088.908	754.343	446.72	561.515	1178.594	844.093	1909.271	540.515	3260.402	3386.162	2343.614	845.967	253.239	1513.853	2029.365	926.995	1268.98	2603.96	2569.194	1598.042	579.745	1918.916	2162.616	107.908	2534.752	1609.322	4390.014	1105.805	964.988	334.782	881.156
GO:0004337	35.63	180.653	14.943	535.031	120.14	82.053	79.39	61.39	15.327	44.294	24.595	6.999	116.286	99.712	31.917	49.513	158.527	49.513	38.652	176.243	219.973	158.527	173.87	60.407	58.399	117.094	117.801	190.143	583.046	22.638	111.185	70.938	188.955	149.117	63.694	541.186	198.251	143.984	206.607	11.801	127.843	57.34	167.168	51.995	38.104	193.172	169.107	46.56	67.962	42.885	22.477	3.563	5.836	43.684	78.393	41.572	46.196	104.371	44.294	61.342	60.778	117.915	73.937	178.174	17.78	85.63	54.854	325.738	69.726	89.34	45.413	80.676	51.667	39.227	55.297	1484.622	75.337	43.868	19.728	158.19
GO:0004340	154.553	675.074	438.606	4448.157	326.675	504.103	368.729	553.296	363.239	120.431	272.712	219.333	357.222	273.428	405.326	283.977	1707.395	283.977	504.933	894.211	1897.984	1707.395	605.557	403.952	535.449	803.647	1004.079	1351.479	3867.412	449.374	299.762	1635.52	632.14	979.478	794.298	4587.369	2043.307	1450.391	2467.049	151.547	890.692	185	483.103	325.552	186.673	1154.344	1376.082	463.792	388.749	1075.621	598.367	91.445	39.869	355.432	384.112	973.466	245.301	2090.935	120.431	914.044	1030.44	257.636	552.579	2242.37	160.011	437.787	498.416	1837.941	654.922	316.39	836.999	586.26	222.416	1715.519	288.078	4936.299	258.823	179.441	195.484	713.873
GO:0004342	818.57	2419.62	1289.394	5243.433	644.181	659.92	305.337	1179.583	886.829	5451.084	653.364	337.497	551.319	857.56	1585.454	792.424	4623.361	792.424	573.156	2160.262	2355.129	4623.361	2388.274	1783.586	4159.451	3892.803	2214.464	2456.78	4969.347	3336.481	5311.928	2558.107	4180.247	2654.512	1021.143	8509.691	3184.735	2685.88	2750.192	273.542	1241.558	2051.421	692.144	817.468	1812.94	1661.333	1520.856	520.308	670.536	898.352	1397.646	378.113	527.938	1036.672	866.077	2788.196	900.775	3753.087	5451.084	2518.319	871.4	450.558	1338.14	3001.782	772.675	1571.672	3117.444	2863.815	1914.36	587.59	3033.015	1750.839	333.489	3183.492	1705.711	4170.726	1423.278	1429.35	372.896	645.704
GO:0004345	578.15	458.393	523.339	146.923	131.499	243.882	50.735	117.663	102.502	328.242	348.578	10.989	16.671	517.358	210.947	183.779	2071.778	183.779	135.659	116.86	348.201	2071.778	238.039	811.901	2114.658	1804.427	272.253	457.474	497.982	1474.8	396.666	765.782	1684.315	1085.35	324.757	538.302	712.284	530.38	393.831	97.474	142.128	1236.926	68.871	184.335	63.339	607.635	252.648	316.22	87.332	161.709	131.325	10.436	3.446	54.281	260.569	1104.787	37.757	878.876	328.242	337.163	258.505	150.914	1012.388	1196.013	349.579	232.912	1537.977	1688.712	621.62	243.712	816.363	329.105	139.279	966.872	165.83	660.092	737.548	46.105	219.202	186.081
GO:0004347	746.906	3806.572	997.689	6080.795	955.034	1079.842	716.06	1804.389	606.748	3572.663	807.334	760.475	955.232	273.897	2123.036	1514.449	4485.17	1514.449	907.267	2446.469	3233.989	4485.17	2239.932	1990.126	2878.778	2605.296	2521.725	4103.587	6707.265	3977.023	3970.42	3973.299	3673.067	4546.94	1349.875	4686.523	2759.72	2164.899	4319.319	301.576	1169.496	1604.961	998.845	997.222	2002.88	1228.163	1642.234	706.759	689.86	2188.143	856.313	588.106	800.528	776.703	1290.016	2343.862	847.904	4876.783	3572.663	4150.917	1773.97	242.629	1456.89	2470.57	939.84	1335.045	4449.71	4112.86	1457.311	689.059	1742.654	2107.086	106.408	3025.318	1584.285	5579.958	1450.693	1197.407	391.904	1342.012
GO:0004348	1491.304	2163.509	869.623	397.532	483.131	712.671	57.446	949.643	271.713	5345.48	1513.025	184.007	169.389	42.497	670.35	1109.029	7594.67	1109.029	429.149	260.036	560.15	7594.67	1251.941	3461.037	2281.514	3412.517	678.462	1363.233	1350.481	5936.88	6798.332	2618.8	2781.232	4381.422	630.347	270.606	885.511	520.625	1837.013	153.545	829.097	833.098	309.489	515.201	2963.544	772.505	534.914	1140.074	264.642	831.368	283.005	373.271	425.762	161.299	640.654	2493.041	502.057	2064.059	5345.48	1636.198	443.634	38.807	3221.714	2157.407	978.507	618.992	4145.841	3166.166	2184.866	674.729	2744.94	838.337	15.393	3353.302	456.666	1238.277	479.218	673.781	187.052	475.077
GO:0004349	738.371	1708.605	789.839	4439.724	651.119	644.887	376.051	742.3	419.565	982.266	437.704	245.828	287.428	478.388	608.122	776.317	2492.739	776.317	496.545	708.95	1827.894	2492.739	831.801	1816.321	1446.526	1781.755	1155.834	1936.364	3990.619	1605.713	4164.748	1882.115	1735.414	1613.421	814.24	3554.109	1946.896	1375.613	1957.638	255.633	659.874	879.913	498.227	612.43	369.608	868.746	1104.395	690.485	325.262	1458.323	474.259	73.632	123.76	386.235	784.623	1871.897	321.645	2571.411	982.266	2329.381	1036.398	155.374	1388.723	1991.843	622.821	1051.389	2500.367	3135.259	1339.283	490.598	1591.612	976.312	69.771	2217.256	458.296	3018.06	1204.258	285.652	273.889	854.851
GO:0004350	704.217	1320.519	759.313	3514.884	483.24	767.199	378.12	899.854	364.75	2921.679	461.187	553.989	528.958	522.678	1533.707	713.056	2662.72	713.056	550.689	1452.008	1959.647	2662.72	1322.739	1894.506	2064.015	1817.062	1304.375	2061.379	3692.806	1804.581	2863.448	1617.581	2719.694	1859.102	893.023	3040.817	2004.018	1513.764	1521.393	239.421	624.973	1556.053	633.306	581.887	1347.917	933.219	1046.834	625.044	281.362	1412.126	472.389	345.107	548.276	587.274	767.33	1910.58	546.56	2662.547	2921.679	2620.764	1294.998	193.745	1355.993	1978.609	702.623	939.762	2402.743	2899.248	1320.03	422.227	1566.648	1456.458	96.04	2224.665	1199.331	3140.922	1013.591	724.734	215.392	822.39
GO:0004355	186.827	685.681	193.193	4664.021	410.639	245.316	382.731	661.06	359.601	113.262	59.611	156.551	450.636	108.936	408.412	287.617	581.01	287.617	256.276	512.912	1209.807	581.01	665.382	469.953	49.463	314.913	1516.705	2305.413	5665.73	206.448	671.985	1682.039	588.046	1144.01	1037.46	4516.364	1372.623	780.137	2101.959	199.53	835.325	137.227	533.83	424.993	207.247	764.602	1022.941	362.715	649.302	320.782	657.923	95.777	59.63	310.873	491.294	732.767	185.926	2594.664	113.262	1308.628	175.807	118.572	300.151	1016.374	160.077	379.072	1035.951	872.75	635.799	208.25	625.679	855.329	103.313	1357.94	399.403	5783.393	253.61	286.564	141.457	678.532
GO:0004356	830.958	2236.22	1077.987	7221.566	867.227	958.791	848.906	1207.959	516.069	676.854	595.609	468.304	452.038	728.996	430.061	724.828	2360.977	724.828	1383.919	1211.195	2326.973	2360.977	1330.144	1908.686	3616.146	3704.184	2012.216	3308.225	6018.03	2490.523	806.503	3396.511	3549.241	3554.192	828.478	4096.591	2107.511	1528.744	4893.271	253.596	864.624	2101.275	943.325	947.103	455.394	1496.717	1385.326	849.417	443.164	1678.572	641.1	181.754	191.269	659.855	1134.98	2669.24	529.034	4209.177	676.854	3365.459	2042.452	452.748	1500.535	1724.552	718.87	1729.735	2735.48	3737.457	1642.831	785.238	2064.623	1904.055	294.183	3632.367	592.741	4178.471	1332.389	319.844	516.294	2101.302
GO:0004357	29.495	199.13	11.54	245.602	8.079	36.1	106.769	17.612	8.421	21.929	2.557	15.297	16.431	436.679	0.663	22.228	21.657	22.228	34.061	133.945	237.633	21.657	30.304	71.645	116.807	402.219	13.778	1.806	18.062	13.639	1.354	147.573	182.257	33.634	56.157	1141.771	133.321	270.68	52.529	4.779	23.671	1.598	27.36	35.885	11.045	613.407	65.834	18.571	43.688	7.527	57.725	8.333	1.344	84.064	40.602	30.814	6.681	162.285	21.929	317.378	82.088	368.202	23.209	33.806	2.281	26.774	6.375	438.539	6.971	680.391	9.923	38.576	202.278	506.343	8.802	17.66	58.562	6.679	151.39	32.119
GO:0004358	161.04	644.708	184.908	4559.752	419.097	405.345	535.657	646.609	312.891	77.965	86.76	291.385	257.271	15.466	230.423	197.645	532.537	197.645	723.129	548.065	1751.009	532.537	501.886	473.107	123.788	464.713	1189.319	1439.729	3602.222	181.542	437.477	1428.783	369.635	863.98	551.443	3406.21	1353.838	834.442	2326.383	117.456	582.322	156.625	506.459	338.906	125.912	426.549	1039.696	302.159	318.851	956.541	533.611	59.139	31.528	211.143	406.996	885.73	200.347	1953.834	77.965	1001.819	922.325	46.339	228.02	861.771	158.714	741.487	522.709	1086.711	521.955	333.558	631.648	855.026	7.656	1531.2	244.402	2835.328	315.365	132.445	149.323	938.133
GO:0004359	392.889	757.182	541.862	3854.987	372.707	765.984	390.175	982.914	260.463	2846.653	334.205	443.498	486.972	470.395	1525.615	470.148	2045.46	470.148	657.457	1365.105	851.51	2045.46	967.815	887.155	1568.752	1780.38	1168.257	1228.593	2846.748	1289.767	3610.816	1622.499	1671.16	1290.394	463.868	2781.272	639.318	594.779	636.559	87.918	445.637	1063.411	526.465	516.343	1598.755	988.459	750.577	413.822	95.894	1182.919	402.664	392.782	641.43	690.256	626.346	1567.916	677.92	1883.779	2846.653	1286.19	1242.518	234.417	1016.43	1371.612	397.972	853.311	1502.277	1837.112	1088.928	333.924	1436.935	1558.054	113.96	1631.711	1457.84	923.185	1053.498	917.806	311.424	601.277
GO:0004360	203.586	1590.021	323.102	3672.452	549.645	563.105	361.055	940.664	277.437	575.724	203.45	387.176	363.152	416.743	563.771	2469.551	1474.575	2469.551	1035.367	835.141	2488.641	1474.575	810.135	952.671	803.247	602.537	1328.896	2465.688	4138.897	862.621	11039.288	1726.1	773.245	895.062	714.419	3346.236	2152.701	1534.881	2121.958	153.656	553.834	214.347	540.024	526.898	572.137	526.855	1127.902	365.427	270.937	1051.735	582.05	70.679	85.137	449.161	697.019	835.892	690.602	2026.213	575.724	1947.237	1187.196	138.41	735.45	2431.441	274.123	761.157	2213.692	1805.107	503.262	395.56	909.764	768.635	48.708	1625.797	395.898	2530.369	398.942	336.733	226.302	779.036
GO:0004362	16.042	70.436	1.529	89.864	3.072	16.092	47.577	0	1.528	26.883	2.298	12.152	15.258	96.768	0.767	12.458	36.277	12.458	15.558	75.806	157.946	36.277	20.799	55.311	44.414	173.095	6.143	5.363	22.256	5.366	1.526	36.911	40.512	3.836	3.016	526.181	143.335	164.334	103.388	5.375	28.709	0.756	30.749	3.065	11.395	216.794	27.077	24.905	9.107	10.023	19.142	16.013	7.632	16.186	5.368	35.892	10.118	124.069	26.883	196.444	137.577	141.748	22.248	36.805	0.767	14.558	0	54.79	12.866	7.648	18.452	15.314	62.019	47.5	7.727	7.671	16.007	6.139	13.762	30.284
GO:0004363	7.564	39.251	5.558	43.563	4.056	18.537	47.601	4.195	0.903	16.58	0.899	6.647	12.851	141.436	0	10.047	18.951	10.047	8.293	75.404	204.676	18.951	15.797	38.138	35.446	150.694	1.805	1.806	17.982	8.903	1.354	51.225	18.519	12.116	49.415	519.542	90.719	121.546	65.688	2.706	23.256	1.11	10.493	8.718	8.355	243.062	21.615	13.929	18.046	5.867	33.036	12.838	3.72	6.896	10.506	29.705	3.815	76.057	16.58	171.422	42.952	188	14.85	30.438	0	13.156	2.227	91.249	5.553	604.394	6.752	10.148	94.552	504.204	1.54	9.237	5.797	0.896	29.805	8.3
GO:0004364	30.75	0	15.338	74.674	8.115	49.98	158.435	1.764	0	62.44	0	5.374	22.48	1028.587	2.905	7.027	0	7.027	19.28	10.976	65.78	0	0	99.574	351.008	615.491	3.613	0	33.164	17.676	0	174.213	6.201	2.939	15.789	1502.596	117.714	345.019	0	0	0	10.115	37.369	7.15	13.664	1569.455	44.424	7.986	18.126	0	96.268	6.31	0	6.595	11.304	15.436	1.672	202.139	62.44	20.352	195.37	638.55	4.077	6.238	3.577	32.384	0	7.472	3.424	34.049	11.612	39.452	642.602	4.566	10.479	7.472	16.409	0	194.39	9.547
GO:0004365	40.655	39.455	75.061	68.964	34.6	26.238	65.777	39.731	3.123	88.936	43.874	14.474	19.74	309.829	22.02	52.295	125.271	52.295	64.576	56.268	143.93	125.271	59.657	86.831	387.323	243.001	29.385	1.041	12.534	88.02	4.19	127.275	133.997	30.396	67.033	506.513	97.226	153.371	45.33	8.289	11.472	1.05	52.975	30.406	18.849	414.349	72.02	14.649	11.435	17.795	27.246	8.303	3.074	20.806	13.627	31.289	39.577	97.219	88.936	94.43	190.084	179.092	21.885	285.208	11.493	14.658	7.32	187.178	14.465	29.321	8.302	53.882	142.027	27.156	33.304	850.542	647.961	4.127	272.896	121.053
GO:0004367	848.774	2127.025	771.813	5525.1	640.796	891.178	445.535	1325.385	530.99	3127.893	471.744	578.964	533.938	395.691	3352.463	624.146	2666.103	624.146	742.355	1929.642	2014.921	2666.103	1427.389	1881.068	2556.004	2082.524	1797.489	2796.883	5270.583	2061.74	3431.797	2422.244	2615.343	2110.9	874.871	3679.803	1922.853	1380.767	2292.157	169.199	982.265	1416.409	877.138	734.313	1647.691	1005.586	1596.516	695.798	397.868	1674.574	606.375	453.049	509.978	963.878	951.177	1993.674	778.836	3321.979	3127.893	2960.54	1459.434	247.671	1262.801	2110.677	644.652	1246.352	2274.219	3321.294	1235.466	614.358	1647.111	1489.396	84.08	2329.254	1222.814	3976.211	1189.393	1001.646	402.195	1089.386
GO:0004370	281.562	828.271	179.034	4048.61	260.576	345.689	370.704	606.712	368.018	178.802	83.953	234.59	253.89	159.897	207.538	180.354	759.067	180.354	520.608	857.532	1075.173	759.067	706.866	361.136	441.185	790.22	1105.442	1024.771	3628.084	258.34	302.279	1277.323	525.37	728.102	481.119	3504.194	1081.975	581.956	1058.99	101.105	597.674	177.534	243.457	265.037	132.655	601.665	1154.326	299.786	301.796	918.932	566.15	57.761	42.739	325.327	327.575	594.39	173.597	1603.22	178.802	900.23	815.789	191.511	261.487	818.643	147.428	364.916	306.12	1123.546	505.558	177.262	567.698	457.53	101.334	1030.969	196.915	2631.725	337.501	157.596	175.514	350.214
GO:0004371	646.195	1928.082	297.67	5820.076	327.756	456.038	411.386	757.523	363.469	147.82	150.816	313.321	242.217	281.78	276.419	182.058	2277.318	182.058	586.147	804.134	1394.945	2277.318	832.636	503.854	1069.254	2130.934	1090.878	2038.553	5076.523	645.923	588.395	1446.831	887.321	1121.166	629.755	4056.243	3129.6	3347.342	2277.74	212.822	926.728	173.263	445.864	424.566	215.275	791.632	2030.898	381.314	427.856	1056.198	611.805	94.78	100.661	518.321	461.74	933.99	323.561	2209.137	147.82	2264.795	1202.042	257.298	343.836	1019.938	188.427	306.272	434.574	2079.941	671.849	336.561	794.06	822.986	179.411	1498.852	303.586	3087.526	325.304	161.83	307.727	684.642
GO:0004372	575.726	2348.632	759.484	4926.633	621.698	654.914	600.911	1312.491	364.279	3506.73	403.152	489.558	428.339	425.346	1065.011	727.689	2401.304	727.689	1001.445	1675.489	1962.675	2401.304	1355.934	1938.968	2252.957	2143.925	1708.297	2697.469	4731.652	1743.356	3725.902	2356.693	2197.744	2134.836	1016.726	4076.707	2233.258	1630.085	2342.482	269.464	859.871	1311.868	814.655	829.513	1703.926	976.974	1087.508	606.321	422.296	1633.342	695.581	329.967	449.107	723.52	1062.544	1865.451	734.522	3246.056	3506.73	3594.289	1603.67	224.045	1108.157	1882.853	612.672	1135.717	2351.88	2822.797	1284.394	516.056	1546.572	1786.177	110.632	2384.571	1466.8	2468.635	1206.854	936.652	380.778	1186.551
GO:0004373	649.069	2345.24	776.574	7163.277	648.647	1020.943	590.456	2046	874.888	3810.492	480.271	722.937	723.77	460.354	1382.332	984.367	2802.916	984.367	483.281	2539.978	3089.235	2802.916	2224.911	1777.124	2300.677	2123.295	2140.439	3668.029	6997.888	2012.024	4160.04	3354.903	2398.811	2864.677	1078.008	6543.655	2465.477	1718.1	3486.954	254.538	1072.435	1441.403	995.16	883.736	2014.132	1274.038	2188.838	879.231	504.395	2924.828	1078.578	399.384	465.354	1301.211	1053.415	2698.594	887.048	5019.968	3810.492	2967.355	2048.606	162.016	1328.203	2444.112	689.586	961.47	2614.011	2746.426	1744.825	431.889	2093.049	2070.171	114.106	3432.91	1663.978	4737.054	1062.838	1075.435	302.937	1017.52
GO:0004375	17.437	234.079	121.697	1450.64	31.836	30.553	30.204	89.919	9.618	37.116	34.703	37.531	28.784	0	42.064	14.755	167.786	14.755	193.164	34.255	58.715	167.786	77.585	33.872	56.861	958.355	588.248	107.785	160.213	243.849	315.174	424.208	80.558	64.22	39.366	173.618	1283.826	649.905	112.765	58.57	48.136	61.344	43.947	54.836	46.446	37.572	157.59	13.826	25.31	20.706	63.277	12.352	8.293	496.788	65.925	33.719	60.06	111.685	37.116	205.048	260.927	1.741	30.044	96.348	68.599	553.385	68.351	357.694	65.177	218.673	136.187	97.745	0.648	190.031	26.543	45.025	138.232	18.534	113.78	303.972
GO:0004385	678.994	3011.391	729.332	4690.037	500.788	609.821	406.449	829.335	398.849	3137.535	454.522	347.945	474.885	387.986	400.971	537.107	2404.695	537.107	752.653	1860.429	1885.147	2404.695	1178.295	1945.915	2578.998	2389.512	1402.811	2705.457	4496.028	1880.259	4167.047	1978.99	2532.974	2121.455	923.283	3384.377	1975.23	1331.819	2490.901	323.437	738.365	1371.905	700.872	751.361	1477.178	956.189	1219.886	582.747	384.765	1380.01	578.87	366.019	450.923	908.75	1058.497	1950.555	626.167	3035.414	3137.535	3814.92	1056.29	214.135	1452.889	2180.556	525.498	1219.761	2402.65	4018.587	1244.228	568.228	1664.466	1457.913	74.887	2407.139	1311.496	3168.442	988.126	984.336	286.069	1113.734
GO:0004392	0	0	0	0	0	0	1.681	0	0	0	0	1.718	0	0	0	5.193	0	5.193	0	0	3.26	0	0	0	0	0	0	0	3.252	0	0	1.681	8.107	0	0	0	0	1.52	3.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.891	3.234	0	0	0	1.733	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004397	545.22	432.326	507.859	190.412	159.49	209.481	7.531	119.15	101.082	369.44	341.485	40.378	21.78	406.823	256.537	198.261	1998.68	198.261	163.218	111.02	365.816	1998.68	243.888	883.258	1840.37	1554.027	527.306	533.781	710.271	1348.787	438.66	943.687	1824.538	1309.469	347.939	93.76	635.453	426.592	415.978	107.051	181.568	1202.568	66.938	209.723	60.867	334.825	153.388	345.188	98.584	139.289	86.571	8.815	4.139	57.467	261.313	1128.127	55.521	1000.815	369.44	250.337	128.016	74.656	1145.98	1120.194	314.861	229.177	1662.798	1768.217	809.271	282.795	831.683	413.777	18.587	1146.526	196.213	840.604	679.322	60.623	154.471	159.002
