Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
K01089	62.366182001	45.5788589611	275.5900317404	80.8687968209	23.0705779807	56.3256391344	35.3719083104	184.5339592992	76.1671407217	306.184939229	21.8757991935	56.3991795866	32.0600651436	24.0999247862	116.5565072257	52.9311370612	27.5038306173	40.8620873709	247.7481880808	182.0086746471	240.9067789175	234.9127611636	23.9934469209	127.983767992	99.9728754439	204.7117343724	452.8244756052	57.4376094234	430.9706909788	45.8330162983	623.3100834891	547.5515688093	404.0273090767	147.9612538201	29.9578342238	41.1623534112	36.4955107145	139.4828750667	214.4190502975	14.476672418	64.5239939946	83.6096051034	0	243.0585833754	55.8375858792	41.7768704388	164.60399218	766.1950596069	97.4828771715	19.0968032115	14.5584286284	35.3587445466	0	212.555238079	45.4177887587	46.3555035282	124.7861696857	151.5203766172	646.3607679537	276.7537752407	66.7437799855	52.7898565752	82.2845725712	194.2787209505	94.9945892781	320.0896314505	36.7060006304	449.9577583542	74.2639468871	271.2639205005	25.5487178043	0	73.8203907539	121.6129474314	137.1413544667	410.1205643885	172.3282596389	255.7121669627	74.4226338433
K01090	67.9858689249	81.9254638516	73.3617488935	0	0	38.0742782169	60.1060502129	380.4184422038	90.4244548078	0	43.1683060399	0	18.7282067689	0	47.3157846482	83.770497274	0	52.7909655181	23.5065038403	158.7729756557	193.5836072259	34.2470302062	176.8490573467	33.4863448604	0	93.9670423119	34.8640475149	197.5649936533	150.310603354	224.0155791228	0	0	41.3659398665	288.4209983366	191.8195892492	31.3062559994	198.4628597469	914.7129220805	0	0	25.4731290604	172.2528141893	0	0	53.1029650447	29.5138628326	0	45.2375585981	98.007664174	113.5133127874	0	48.156104914	92.0172473988	84.5395422829	0	38.4635479428	29.3200181973	43.2769313969	393.0372405994	62.3778414839	0	0	74.9307499902	51.7642913501	0	27.7685613528	44.5127458924	0	25.1792916856	24.5798545222	37.8203807333	51.3426733294	47.1594260597	0	63.9727147741	109.0079128947	83.3958635566	0	0
K01091	177.433278814	207.7945175623	886.0395559796	32.6048814496	35.9552558828	229.2813514392	95.4547906882	1183.4736190786	291.3071982897	480.4668498693	152.393967802	226.8699513035	61.5494753611	73.0976669968	339.0603996301	278.6932449531	27.8481112706	179.5732024843	149.2043211611	728.2467544207	647.3698188986	138.938033909	248.5066194155	79.1861391571	131.9198304514	516.293605111	738.118981147	441.6644968041	643.5652826384	415.9344050186	666.835914304	525.287504587	204.3266349802	555.6319481413	381.2997364996	158.8088784423	371.4379801219	1574.4420530541	230.8102551887	47.7616390052	141.5348916179	394.1146746768	80.5852077952	452.1079666537	147.0192631128	121.1603079486	46.1685525492	796.2343966213	363.1282049004	229.1749688541	22.1099612075	142.0097465129	205.0245198756	176.5492967616	0	133.7402523792	345.2217898343	315.1392358518	1535.0861104778	664.2569070414	0	0	176.1706795281	471.4062157364	100.9737077185	84.0419087247	52.2974578048	1457.2160588899	216.8647545517	274.2548272763	100.514053427	149.8347580229	236.7381996149	106.5833200026	669.4294382742	836.8368343158	508.3512976937	533.2866812268	73.9488063741
K01092	78.6839808293	48.7355052697	377.9833721386	0	23.0438520229	95.5076379842	41.7414239052	203.5435761237	89.3366177392	298.8501436581	19.8662521099	156.4775778095	0	0	48.9855540372	112.5057945363	32.9559516684	49.6599642931	64.6786895453	347.0549145056	355.070813825	53.4813197658	30.0525280738	40.0339084537	45.3790592812	247.5549509315	384.0448164467	50.0296795841	296.5292344395	33.4178028847	404.2495480114	195.8103980454	101.271057869	158.0274869316	26.394657672	55.5453336111	29.6727476086	153.8154312488	119.7744693267	0	49.1985278379	204.8487662375	43.7596919177	194.3084009967	48.581584754	51.41332203	0	1449.0466868673	131.1391123493	38.9140239453	0	23.064164756	24.447784533	0	0	17.9785900595	33.409154466	104.3309754074	838.6392961338	222.576826253	0	0	71.0580233104	233.4807904761	22.7609946811	35.9668831228	0	484.2691893121	119.3789670901	239.1364381741	0	0	50.3477743479	0	132.7440264792	401.2820759393	154.3409557966	255.9084490237	29.1405158981
K01104	211.5800794503	300.525106738	735.4685764725	31.0449891822	64.6493916072	145.8804574506	166.2647101915	1430.6635837087	385.2406310627	551.7415363436	178.073059111	176.9832268645	67.7897563252	119.2858458495	274.8759894102	350.5902876433	42.1419566869	259.5585687504	201.0219211739	754.5567771772	672.707696647	178.3090545854	392.3935013692	172.7042111533	442.6035745346	467.4836247237	577.2665575877	567.5243381326	581.0069467606	508.7882484819	727.1566768824	385.08049726	333.9179639688	708.2992006289	546.8505411488	161.6238608842	440.4104486585	1980.391769299	303.4549320761	44.5585848841	192.6338033954	311.0725418606	162.0323891624	373.9806652179	171.6155970021	132.5907706527	51.9503351318	1347.8172099121	488.3927917269	287.354542467	42.9867264754	113.2027818407	222.9890532635	222.2769009609	19.3549747698	114.8158581538	297.5946342649	328.8136875036	993.7228527318	513.8251149883	25.9561505303	25.7082029978	414.1932925806	438.9968617623	131.4140065132	76.6193912293	115.7170517333	538.6319556036	163.821675841	231.8591481702	179.7814450149	214.8750788581	234.2202900937	0	464.9751930336	673.8433818804	448.6999675326	407.6915819717	106.5750734626
K01126	116.2956252861	121.9783392638	149.3293207622	0	27.613404351	64.9362703184	43.7448491099	558.8437449491	221.6384371146	165.3678966769	47.4759667383	0	71.9720937469	37.6055502773	128.0271335514	131.8855126532	53.3297581008	145.6060355855	129.0035592646	578.8510855055	762.9158367179	144.1918062614	217.1586412706	116.2688826271	74.8468027747	145.2451125464	612.4107606043	272.9725700894	436.7148417951	326.3125653985	606.7009490635	159.8971359583	146.1432580595	404.6270634927	357.1755200034	71.0044245903	179.4580046096	1553.8395718453	250.1205627944	26.2034610943	76.7961696339	423.6791693946	33.8506971323	165.3625604737	86.0050703712	50.0744744663	0	1261.8806050191	258.2739477148	186.5186394287	16.0206100524	117.2630801795	154.1364485255	186.6042975661	0	62.7029497654	139.6208635502	155.7531676354	1106.809440123	235.3917972773	11.0617409821	19.2512153245	103.7840290791	164.9562456838	97.1303364209	242.2605325414	59.5596482346	310.8356321752	41.3971002784	70.9559915962	36.1335228487	31.4083220712	76.4906239336	25.5260581267	189.2736105857	513.9234500632	167.760626886	106.3925804689	48.987456528
K01129	266.2516872068	202.1695224737	759.4763556506	141.4332185161	69.2241774888	160.5489434113	136.4579004447	828.8924887396	353.4659814575	639.7810095067	122.2452882158	120.4996853849	99.0660826376	89.591425937	343.4174680056	266.3048156461	28.2157569363	183.7125491429	336.9210119306	543.9403050774	615.5255542763	369.0438569727	160.2034666342	353.1563998887	396.6663425618	499.3264283058	749.487117729	385.1863568876	673.1297486585	324.7659635315	892.05153892	913.7046774689	685.1892119657	569.0251263761	219.3057252313	213.0889035917	315.6779127269	787.1910324555	354.4812670845	74.7233779164	167.7708661689	188.6522770275	156.8641109321	388.7675625427	139.4557819574	134.1027698256	206.3933083249	873.2744540628	278.0323902264	188.4040133598	40.5845826161	96.8095811155	112.970321897	424.3660595099	86.5307919306	134.4878350979	321.226194112	285.2550410481	1026.2747034252	414.2592132762	117.8421643735	93.655945683	265.6425805425	549.9532627271	217.0343883941	307.4040539578	159.8364389214	845.4987812828	248.5863366731	584.789655311	372.289194064	225.9530484781	296.8094555811	339.61738576	427.7412512928	742.7122451562	496.4001670633	457.2914550961	171.3480165799
K01142	311.8688858225	249.5200422434	725.2172191039	187.0377833251	128.0828590192	161.1195484426	298.7367503618	848.7614543378	576.1709178935	616.1871079517	124.3635190273	154.0670692706	216.0340178291	107.5258703735	349.7853603339	382.5143876974	42.320131061	276.2294191574	412.9159563955	340.6716030669	491.7132774609	510.4625144529	344.3009553429	350.5143300566	866.8115961631	396.4769807611	786.1302644609	502.8180023336	804.6009191363	509.4441241626	823.8590042845	814.4790351536	508.6904181269	777.0456456557	296.5793693883	239.4094831612	312.9726496821	1372.5888275408	493.9387436065	109.7251277076	135.3847666494	242.9647124113	326.1673915064	418.144809092	178.5952329425	136.1267906711	250.9760082777	953.1223202337	334.386382163	441.703727624	62.9330858281	196.8595790114	228.4451467026	606.8194645527	87.8547272866	185.13049707	301.9118623997	335.1411653007	1119.7556478834	420.7724912184	173.881789367	116.3169509525	344.0755012647	465.510490137	380.8543989487	565.9130028331	227.0704737023	909.2360092917	207.9849471133	558.6004585065	526.4125573005	288.3854485459	430.665310888	459.0218675537	506.6500478769	904.1656459354	455.5672950546	476.578708165	304.5901884524
K01151	172.4338149354	170.8618639162	675.8243635102	16.6039123581	48.7448588082	189.6009578046	103.6734910063	967.8213610803	245.5796631993	431.3164379564	70.149064149	143.8716128422	26.799027213	62.9500599417	199.1152381317	289.7759445704	22.5906019538	219.6968894267	93.5982081809	629.9253339478	417.9584775604	101.4603621169	291.1429331871	132.7437227855	435.5563679133	334.1709009193	453.8066637685	421.5742680567	478.617716227	430.4081668099	589.5027373582	330.1053757684	204.9541064855	586.6054034408	377.2042278362	133.4910266939	268.333201537	1396.0392592469	205.6696689242	44.5676793904	123.5308718954	187.7182436424	173.133328461	356.6469053521	151.3561045122	128.2858719976	39.4464802999	722.9599742381	367.2946376281	395.0485803741	39.5251149081	133.8214729001	194.1147927715	170.7703071142	21.1912494523	116.4721913338	167.1769272691	314.2327612347	720.7113750197	393.5990405118	21.4439289165	19.0286304485	211.3527098316	394.4975077676	78.7350893992	56.2601474265	86.1634938776	720.3073072376	145.3336808068	263.9226816537	193.6274266629	139.7300971729	158.91212716	103.7144712967	331.338073068	600.477361937	411.6895181229	432.1136360702	85.0818991577
K01153	371.3600937226	350.7995358791	530.5508522267	75.0224693655	89.6840142216	163.7252468128	142.0988224019	643.8563531481	927.6648278469	1055.2380942819	94.052444711	150.2434680393	326.6622176198	82.8259346758	344.5413079383	430.5610933383	34.5702452293	226.4076175828	224.283710358	163.5649235677	232.272987135	373.3486034511	250.1434114234	238.4097132739	521.6102056864	758.2539948877	582.6045692061	526.8266396642	981.2803045564	262.0739669717	264.2732643514	234.6995993884	292.2930590771	484.2680262691	71.4166082635	285.514399958	338.3177788849	1322.2070902005	381.7881928009	87.1763187741	187.7982902945	356.5054399015	172.8233123508	389.4523864671	224.4630838062	246.7774595524	40.6840548076	1979.9366303038	211.1803812088	398.5351181089	59.5650988708	129.4750726976	191.7647457229	312.9456379251	60.9771528826	156.5420043084	267.9217557732	294.1091052918	758.9637183521	162.6265273541	72.413993071	73.695889328	378.4111352695	544.6894289041	134.0187759965	126.009074118	371.5944440955	1047.7047719126	221.9450485301	306.3598699184	257.9512510725	155.8716782669	249.4158831829	390.5187610528	388.461157273	469.5579788684	313.048668088	605.8094220544	118.4754314194
K01154	123.6062591011	67.0594091647	54.511286575	30.4830969092	49.0828389064	74.0566871521	142.7333474304	100.4035445436	481.546875271	154.9144458121	47.8020939162	37.8073485715	249.3985475142	24.3839091847	103.7221240304	212.6147577069	32.3566381907	126.301966397	111.060491814	80.0801676084	111.7694944279	86.4754761456	217.3681967325	76.9496546499	61.7690629814	138.5015572807	157.6060956796	203.8584841843	339.0196151283	221.5616110383	88.9450403558	68.0363528314	101.6634691225	170.6922879861	69.3042222474	77.9695613495	94.3228933723	1137.0533159559	120.7045471068	56.6101657405	30.6885467647	115.591697629	85.66564047	67.5682489282	44.447908425	52.6326110204	17.2852722107	1060.2252898416	104.7303437419	188.1105082999	0	48.7706391024	62.8521303328	126.7933656136	23.9559924752	73.0603339923	87.0953786959	100.305849904	182.73948089	70.6653486036	38.2483878599	20.0668459165	114.6231393735	195.1152984464	36.3384998424	64.5375735794	102.5129907783	184.3578751124	68.9087537302	41.2361929008	69.4323810405	0	109.2879507968	104.968214226	149.272310797	160.48802811	160.5677723724	126.2516283126	57.4932979911
K01159	62.8191530331	42.6846206481	389.552909491	49.7930024278	25.6081736148	52.5914418441	62.3233371892	342.1799822953	196.0244700521	450.8900880311	11.534771452	92.8552588805	19.8298888799	22.1025691767	180.5559334038	73.2468359862	19.3736716027	71.1095166084	184.5663446745	229.3188589563	283.9353853172	240.7020332415	16.7355475177	93.1664628005	70.4113527763	328.1575130365	570.4118541065	72.0269320406	494.2870317866	45.3552703388	924.4752839538	468.7455626759	270.4043558274	206.5667333781	36.7701987579	75.6572645653	45.3098034558	85.4282683306	138.4219302366	37.1181663219	105.7984828533	26.9323836493	21.3655152378	323.3581204927	49.8841698141	87.2681659699	120.781712936	726.6685705311	149.4929432945	95.0743479239	25.3729042588	40.0717987188	24.638097961	150.0639444725	0	38.4162531926	122.0409018964	179.6284320714	966.0681618525	446.7740048963	26.4183464832	32.4305058902	84.3154253997	280.7807608496	83.166520682	217.4152430038	32.2280392858	559.3758393654	92.2881714631	232.3031962784	48.1172192025	0	89.7726641014	97.8732826168	197.7168065904	533.8175475917	219.1203385287	409.4902103392	80.8540039616
K01179	48.2642666424	66.4553962807	71.5684440048	0	0	29.5985893365	0	310.3566595597	0	0	36.3558997328	0	0	25.4480370915	53.7727042972	75.2370463622	0	70.3792845102	0	35.6668072417	0	36.5474743455	80.8723076091	0	0	47.9349638629	0	152.8014894967	57.4460538478	159.9205367765	21.230316084	0	44.3904397879	226.7459998589	127.9257902058	25.9935225134	106.135007104	724.5434691659	0	0	0	69.8731141048	35.8502503601	0	25.549540276	0	0	476.1633794821	94.581526375	169.0355882288	0	30.5006491081	50.0804572803	53.4057744683	0	28.456064903	52.7790689789	29.0882420983	0	0	0	0	27.6462002523	37.1749251054	32.9421404436	0	0	0	0	0	0	27.3547497912	25.4853692508	0	76.9406426497	44.9508375687	66.9614099675	20.0923388437	0
K01182	76.7634174722	99.9229541127	22.2696872265	0	48.5197734263	71.7649911624	79.3626360792	486.4023463512	211.8304121515	20.2210666289	26.5849658518	0	57.9856736222	25.3666955593	116.2307227843	183.7682753094	0	136.5441532548	0	221.3678264877	354.0056231848	74.0861251805	290.6905067206	123.5933610844	454.7781812159	56.5556318537	18.6225704663	292.861705285	163.0397012982	376.3312732359	0	54.2571624634	83.532416129	335.372080167	325.2897858938	74.9023224898	198.7517073546	1205.102590085	90.1605733634	0	37.6499518237	0	213.4450078232	0	73.1703526731	40.1276718432	20.7395711068	28.7801031205	159.0446719479	286.1777558157	0	113.2822034922	145.3113530654	195.8664713766	0	72.8363532799	45.5590500934	98.4517439962	198.9596700096	83.906886789	0	0	143.0876325293	67.1947937589	52.6054778342	0	77.8665800234	47.7574568379	20.0527614697	48.8805165235	144.7851253491	90.3179647531	94.6942740356	64.2178371087	173.0594947696	141.8081413206	122.4157145011	0	38.8689310338
K01186	99.551427939	63.585918973	478.8213094036	0	0	69.8103871453	0	278.7362450229	145.4349235107	380.0556024665	26.7584368447	79.5476441893	0	27.3947542144	95.6145302775	104.6120644903	0	40.1085740165	109.4180246635	471.4493539846	527.827493715	70.422313875	0	0	85.606368014	384.5609776028	359.6712757351	72.6366329521	343.0481341401	38.7700703493	112.7188374843	333.5747186127	131.9699415879	159.517163247	43.7075235193	59.3794457947	29.5258932002	0	108.5561875511	0	66.6719066295	0	30.3080771627	241.6323559213	52.0681787613	85.1794974673	27.6687202203	338.634388069	129.5218215974	26.3097278498	20.3767411752	27.0007336461	0	0	0	24.072534233	91.9036474949	115.9964455877	725.1517721588	258.2046003558	0	0	91.9371180043	346.3896823314	35.0261772999	33.9443840551	26.1211847986	637.8218381274	88.8155640306	167.6854300788	22.1971838199	0	93.4370402556	0	132.3237014886	327.6020881281	292.3282772884	340.503838658	63.0427026037
K01187	280.6817790062	221.0770157782	1107.0849079947	84.1744578223	45.1065728688	213.4188091596	119.5349969071	1171.7693582807	409.0947906626	1073.1102063778	101.7022431491	213.0482962864	53.9070684738	68.762630824	389.122263581	313.4273617354	26.4258835483	201.4406832813	266.0489872319	373.9070556076	500.9933611622	292.0797110667	277.9531354726	194.0366009337	494.2282919762	766.826365963	764.3889027208	381.6501930523	1061.9363641036	444.6031673626	649.2685335278	1110.7953968514	826.2447744246	615.1467300354	345.457962481	188.4140804887	227.3942705997	1248.3588047423	403.5427329317	86.0038173317	188.5836446134	170.9829499125	183.4652429515	526.6252208471	173.3723534502	176.6686002892	274.9113009489	1644.9408445627	537.1726003441	326.7933900913	72.3532858862	155.3786959543	208.0537652337	263.9454699176	60.7118517929	119.5107594271	288.3273448979	354.9629815185	1455.2952520706	589.5606849846	130.2111436661	108.5845790203	321.1568023881	677.3898310448	221.7164368172	406.6310360681	133.8981773769	1324.0732443439	274.3045894479	648.5104251973	227.8538587567	121.8817530537	271.4570103196	208.2955597606	552.6852355599	1221.4683818692	767.5688100377	781.7980158403	215.4023446203
K01188	136.9385574952	89.1207307688	555.8426282615	52.9613570089	0	74.4654781201	45.6199799669	354.8850760302	172.3153341671	417.2943543415	35.3563951755	102.9774703418	0	29.0012563244	118.8146005829	126.0298585129	0	72.7076115576	195.2979678324	225.9640793935	330.507482521	125.9046377175	60.1070160293	67.6418892491	77.1652241508	346.2365967536	365.4644740737	96.4775431577	588.6137809244	90.3086515808	251.9549201893	417.3091393525	263.9135921813	105.0585680785	40.1154476542	91.091583922	77.8097748689	52.7960432028	67.5968606028	28.3647976504	63.1938659947	267.2858925932	70.5721418995	304.5352638046	54.1021119594	67.8880535784	72.7375611649	693.260751404	169.1054498071	50.9755958557	20.3769668792	57.8934053933	41.7487854934	118.3639810878	39.2823438431	42.2205827537	136.434384404	147.6603412327	1107.2357324721	311.8294141523	47.5106956633	0	138.8642031078	322.7377498668	83.4263160999	128.9218354927	74.0950200152	753.9796053615	119.2143875759	369.6210274826	192.6739509459	45.9455136417	111.8280644742	81.5910810309	224.8676478738	372.2060022443	282.9802376384	401.5586751414	45.622706716
K01190	543.7556840988	467.0095668761	3377.7303797174	211.1637902692	64.564828403	538.6935412486	229.220440072	2370.5734969772	816.9341146282	2798.0112301892	176.1969585688	645.0678047304	115.1497645674	126.9102084969	774.5780350049	564.8000438812	44.1332983018	296.5453779695	557.2371407578	1476.201209363	1867.521261905	853.3978933897	379.5872761067	354.7361957822	699.5663916751	2148.8996342715	2330.1806232703	679.505922642	2998.443643	730.7850051976	920.0346015761	2423.9684398485	1425.3377723544	1010.6261073212	531.6289475504	412.2466353258	408.6632063686	1310.3802816725	860.1927647695	128.1971811323	483.9610335273	344.5711175468	265.4668268483	1637.7408621196	352.0414862861	405.1008229056	463.2237508705	2898.8325850132	1040.8559783535	394.372481512	140.7278372893	323.0396496381	268.1792205659	513.4416369734	105.0226316871	240.6109739477	696.163991844	874.8166045451	4430.8411568661	1849.8997442604	172.7248655177	132.223089088	771.9901609417	2143.7329930765	375.4068236302	654.6126854086	277.4626194345	4559.5108069648	739.8610824635	1607.4796533724	349.4168000143	104.6533764362	620.0665600486	298.8985281561	1205.7356789093	2751.1149444773	1599.0301858221	2648.4636748699	316.1095299346
K01195	25.3297090803	19.2551405504	116.9242860851	0	0	0	0	167.4746365025	37.2251524258	0	25.8997307938	0	0	0	29.7502663464	0	39.5075101152	50.4025552352	28.8893573623	255.9041595164	0	0	0	22.050918128	0	34.0583492974	0	0	0	0	38.1819747307	0	0	46.1897742526	0	24.1051138176	53.2868108231	103.181758877	28.9008322026	0	0	131.3762564697	7.4963914881	0	19.218424633	0	0	319.084510392	95.6389709425	0	0	0	0	0	0	0	63.6391170316	0	0	35.5678420483	0	0	0	104.5379282657	21.0345402752	0	0	0	38.521180858	0	0	37.8740059797	28.1011641371	0	81.3937523277	37.2965345587	46.6373131094	27.8210580754	0
K01197	60.1198611036	37.5463640081	395.6836606775	0	0	68.2617496475	0	245.356651699	158.3504748629	331.7954829186	15.2615860424	72.6734949893	0	16.5369219479	97.3046179201	39.5849130076	0	0	0	240.0688146992	274.2740848052	65.9915260297	0	0	32.8625985864	247.4947147177	357.293275968	52.26156848	332.989142465	38.8242375066	98.6964071116	253.7682670749	118.0854800231	65.8396347509	21.4317192352	52.2469095893	34.3870528572	0	0	0	42.680244018	0	20.9051181659	231.5294872584	32.6424455004	43.5239705587	0	180.021325593	118.8505544145	30.7070007116	0	28.3481912256	0	0	0	23.2131141452	54.6181255867	92.248070196	676.4332619186	223.8330015731	0	0	84.2502532949	251.4074541154	29.5952909244	38.7663013416	23.1913665573	693.8684239065	95.8260458596	198.5467960306	23.2252766021	0	63.9385416955	0	175.1615025665	215.9265302445	188.0671637676	320.49160977	0
K01200	59.5180536535	61.7330246585	546.9199681882	0	0	83.9394428859	29.2135440303	362.6975428433	98.4435226051	403.8206535442	22.0301167399	118.5896634629	18.2994821853	18.9277700132	128.052658118	66.1025397898	0	15.6751798236	110.0509455066	130.6471024026	173.8247526708	110.1694525807	20.6030201415	62.4965507846	51.7740007028	287.2998332899	372.8783266817	78.5911514951	426.6714245841	63.5872681504	428.4691797994	372.3525462196	205.2977631657	139.5348915523	29.5711853993	42.463496262	42.9730790399	37.7435490048	42.7232002663	19.5266251521	56.4371960052	0	20.3924608046	279.4847171198	43.2958544468	66.9025975147	87.7286607446	184.5708052564	121.1057439278	56.3554898941	0	39.4731507722	0	97.3888898539	26.7179267403	25.3708841534	103.86981285	154.7996193429	533.2628033604	237.447469925	28.1871909953	0	105.058577609	289.5557702819	50.4984063729	113.8948133332	0	712.8685954863	112.0619441153	247.2361859137	50.4101000584	0	111.4077794204	79.2671612359	0	372.544898211	244.3215065285	360.460734349	83.2815120532
K01206	462.9024354505	361.7756611343	3298.086008354	72.0654517054	0	436.5485925055	112.4582730902	1836.5819686275	776.9354658505	2296.401551468	84.3495182975	615.6026463523	62.8516080385	57.32353315	578.9827328848	292.3752892594	0	74.1111545254	210.9686006538	527.9458211464	670.0135596438	495.3134473426	73.6142549198	170.8099792403	422.5808676616	1954.4057267647	1398.1990769475	364.234280372	1854.3150913707	289.1207022735	559.5784603935	1603.8365117199	867.9598866585	329.2143698805	121.6590349431	246.8792931783	190.8162541927	33.9683800349	270.355144455	88.3794623669	278.2726853903	0	129.4698269786	1487.5095109693	253.6611525503	347.4562878121	199.7333664824	647.227618088	737.5378946073	135.5404056653	86.8558605678	169.8337208381	78.4516685133	174.7392638901	71.8245127853	97.293894811	474.3321165476	574.7929562985	2774.0624612019	1361.3598461515	45.6109465202	0	544.0261551704	1876.2756594018	201.5746873521	268.774855248	128.8764481984	4118.4380538208	625.3425994985	1198.5060889562	171.6010362747	24.3783356125	509.4532278187	190.4110647107	1072.8454138985	2051.8027824039	1465.8740156448	2042.8860753593	160.9647397374
K01209	187.7905826924	197.9398107576	665.8197274951	116.4658502653	28.1892205735	150.7492996144	105.4295591242	774.2466405655	304.1244828228	519.0868489616	48.4105318459	144.4755336588	35.2179529644	21.9892864891	237.9956218731	232.2697109762	0	159.4980217329	193.8466893192	204.419114939	449.0964885012	362.0313964565	256.4651503071	215.2359045536	569.4413882083	450.0596304247	411.5936855664	335.8294824617	749.2395124017	480.6477596599	464.4929209719	700.1454543088	602.8575713566	491.1238977994	294.6440356061	98.3111918539	202.1605726661	1055.0368294862	263.3194379081	46.3338028998	138.1695929081	0	219.207863422	342.8699827662	128.6579562961	130.565148578	181.6487580246	301.5139805874	258.6495936469	206.3749714079	50.294106556	154.7159592347	195.4253498398	420.2413115082	46.3819840529	91.7986413819	220.2931457001	227.3936152785	847.925800912	316.4116939373	93.5631004125	0	237.9788887043	467.7588191968	161.0251246025	350.4083659631	156.4150589181	777.7410874003	161.2804599952	447.523151704	205.2827128451	0	177.7990330966	97.1872698189	315.3847912158	657.5330253413	447.6124298709	426.2824026825	71.2579562173
K01212	102.151254578	80.0134671596	513.0942855679	148.4831865611	0	23.9484237075	17.0009631862	320.1419726589	119.7019600355	313.7342140332	26.936796932	0	35.0433359117	16.7188975649	146.7255833114	55.1467328097	0	0	207.877711331	239.9516555581	280.7546835581	371.656681074	19.7530901904	69.5632640451	88.5072111289	289.1238677426	377.8675960814	89.6315218867	534.3736405735	58.4159110351	94.5594636826	607.1653849041	410.3388675288	68.1724909374	33.6859550239	49.8764898301	31.1196206546	0	156.1745006957	19.551700248	49.2326642125	0	0	150.9214175895	53.2582586042	58.6723588769	215.2132861795	281.9598102331	108.9082625592	22.6279779035	0	45.969448518	24.1141541972	121.1843583373	68.0818896784	32.839891879	187.1208709102	107.7392084908	671.0877446081	199.649911483	119.6142683107	73.2236539696	122.646655294	377.5132068638	65.2442136128	185.5400207891	42.6701772381	818.4913420069	143.0939507916	406.7586419779	46.1784378495	0	111.3172413551	106.325043358	235.759975924	623.4489887204	258.8301543885	292.9169376725	93.8419200765
K01223	179.7681278674	125.5937253938	57.6381097283	42.8540954805	144.5612031131	31.4343367684	249.1821901332	625.7040081253	433.255469455	78.5006959106	54.7349461226	70.3240250688	65.3387566306	102.0065476298	159.845831556	241.622706991	188.2359233448	340.1182642143	198.5023809627	90.7375841896	171.1905382764	76.6680963952	200.9754868291	122.5886951407	236.6651616078	131.5817802016	123.5851217669	332.3477440455	148.6008007734	115.5491978108	20.3263365254	135.2155060681	146.6601999519	190.3325395479	423.2886554348	180.7599060514	212.1841326041	701.7967194486	307.9211322953	37.7331542399	49.755051629	1413.3542851951	191.1636366253	0	34.9840292056	27.5782309743	27.0898694086	3066.0777581482	529.6725249127	151.6078983042	24.7612141197	170.3159918847	266.9869265122	114.5580715931	42.7513792891	83.2578028915	85.3314981965	91.831868083	1089.0221335053	174.7239899954	18.1163302967	34.706184212	213.8788970667	76.9351639997	85.5457988829	33.8279703762	180.1945014953	127.0005013125	39.4928383989	79.5554815918	235.6626170106	201.06058882	96.44172002	179.3634315241	165.5243312251	109.6740672457	156.8322237729	189.3856117079	46.1673441404
K01243	130.5196765546	190.2817697028	724.4158055319	0	0	129.3992488325	129.5807415922	776.5655740499	243.6500710766	526.6350389822	68.2577329803	164.6095623149	28.3408907061	41.6363511614	168.9283414675	131.1094973906	32.29789404	166.0903524498	117.4163468477	297.7802735096	149.1220754471	105.7046528301	165.5092704003	61.8987211311	176.0283858436	378.1689835611	461.7638945749	328.0314028323	496.0595296418	296.0709920662	582.1255299029	407.9034922498	281.6263895705	382.3999387015	238.2489922252	94.4839610779	192.0837322969	1112.5521113694	211.7130208255	29.4014247895	90.3210388953	236.8578774595	67.6170564151	434.7693438387	109.1689819835	93.1236859931	33.7149815356	943.8965211339	347.8383701836	228.9937162202	24.6768007683	100.5148456182	142.1493735412	87.0925620577	0	71.8328018826	179.804507695	237.9043319853	893.7232275673	393.842640923	0	0	207.7595241562	436.7517540829	71.743584526	50.0096256958	38.233302204	742.0465797004	181.4303674705	243.8391420646	89.8648291173	71.4915304492	198.3625134749	93.8209746773	366.6310312305	598.0565211962	436.2059494514	472.8204373913	63.625131587
