variable,phyla,value,point_number
31HP,Firmicutes,0.0257,1
31HP,Firmicutes,0.01169,1
31HP,Firmicutes,0.00316,1
31HP,Firmicutes,0.03453,1
31HP,Bacteroidetes,0.1868,1
31HP,Firmicutes,0.60763,1
31HP,Bacteroidetes,0.01075,1
31HP,Bacteroidetes,0.0023,1
31HP,Firmicutes,0.26253,1
31HP,Firmicutes,1.69894,1
31HP,Firmicutes,0.46295,1
31HP,Firmicutes,0.24751,1
31HP,Firmicutes,0.43472,1
31HP,Firmicutes,0.36363,1
31HP,Firmicutes,0.35452,1
32HP,Verrucomicrobia,0.29222,1
32HP,Bacteroidetes,0.04655,1
32HP,Bacteroidetes,0.00187,1
32HP,Bacteroidetes,0.01704,1
32HP,Bacteroidetes,2.64232,1
32HP,Bacteroidetes,0.16334,1
32HP,Firmicutes,0.00048,1
32HP,Bacteroidetes,0.04482,1
32HP,Bacteroidetes,1.16457,1
32HP,Bacteroidetes,0.07067,1
32HP,Bacteroidetes,0.0059,1
32HP,Bacteroidetes,0.00759,1
32HP,Bacteroidetes,0.23138,1
32HP,Bacteroidetes,3.10699,1
32HP,Bacteroidetes,0.56868,1
32HP,Bacteroidetes,0.51968,1
32HP,Bacteroidetes,0.02103,1
32HP,Bacteroidetes,1.40121,1
32HP,Bacteroidetes,3.80536,1
32HP,Bacteroidetes,0.00609,1
32HP,Bacteroidetes,0.58131,1
32HP,Actinobacteria,0.08182,1
32HP,Firmicutes,0.10867,1
32HP,Firmicutes,0.00304,1
32HP,Actinobacteria,0.01301,1
32HP,Firmicutes,0.19713,1
32HP,Firmicutes,0.13229,1
32HP,Firmicutes,0.07841,1
32HP,Firmicutes,0.03161,1
32HP,Firmicutes,0.08239,1
32HP,Firmicutes,0.21596,1
32HP,Firmicutes,0.02244,1
32HP,Firmicutes,0.00903,1
32HP,Firmicutes,0.03603,1
32HP,Firmicutes,1.76356,1
32HP,Firmicutes,0.00985,1
32HP,Firmicutes,1.84002,1
32HP,Firmicutes,0.12571,1
32HP,Firmicutes,0.01029,1
32HP,Firmicutes,0.76411,1
32HP,Firmicutes,0.23072,1
32HP,Firmicutes,6.25501,1
32HP,Bacteroidetes,0.34877,1
32HP,Firmicutes,0.05905,1
32HP,Bacteroidetes,0.6971,1
32HP,Bacteroidetes,0.74333,1
32HP,Bacteroidetes,0.40704,1
32HP,Bacteroidetes,0.60277,1
32HP,Proteobacteria,0.00225,1
32HP,Bacteroidetes,66.27914,1
32HP,Firmicutes,0.00912,1
32HP,Firmicutes,1.01574,1
32HP,Firmicutes,0.01543,1
32HP,Firmicutes,0.04375,1
32HP,Firmicutes,0.1498,1
32HP,Firmicutes,0.00546,1
32HP,Firmicutes,0.04608,1
32HP,Firmicutes,0.04447,1
32HP,Firmicutes,0.12008,1
32HP,Proteobacteria,0.66087,1
32HP,Firmicutes,0.01086,1
33HP,Bacteroidetes,2.02335,2
33HP,Firmicutes,0.03841,2
33HP,Bacteroidetes,0.0018,2
33HP,Bacteroidetes,0.0128,2
33HP,Bacteroidetes,0.01313,2
33HP,Bacteroidetes,1.85708,2
33HP,Bacteroidetes,0.32452,2
33HP,Bacteroidetes,0.98783,2
33HP,Bacteroidetes,0.18085,2
33HP,Bacteroidetes,1.39227,2
33HP,Bacteroidetes,2.8206,2
33HP,Bacteroidetes,0.00042,2
33HP,Firmicutes,0.14803,2
33HP,Firmicutes,0.00597,2
33HP,Firmicutes,0.09423,2
33HP,Firmicutes,0.45988,2
33HP,Firmicutes,0.01897,2
33HP,Firmicutes,0.14014,2
33HP,Firmicutes,0.11301,2
33HP,Firmicutes,0.06124,2
33HP,Firmicutes,7.14291,2
33HP,Firmicutes,2.8116,2
33HP,Firmicutes,0.01059,2
33HP,Firmicutes,0.31498,2
33HP,Firmicutes,0.0248,2
33HP,Firmicutes,0.57722,2
33HP,Firmicutes,1.48719,2
33HP,Firmicutes,1.47067,2
33HP,Firmicutes,0.04004,2
33HP,Bacteroidetes,0.06787,2
33HP,Bacteroidetes,0.00328,2
33HP,Bacteroidetes,0.0617,2
33HP,Bacteroidetes,0.1224,2
33HP,Bacteroidetes,0.26026,2
33HP,Proteobacteria,0.06667,2
33HP,Bacteroidetes,73.24116,2
33HP,Firmicutes,0.41495,2
33HP,Firmicutes,0.00045,2
33HP,Firmicutes,0.03098,2
33HP,Firmicutes,0.41953,2
33HP,Firmicutes,0.0088,2
33HP,Firmicutes,0.06373,2
33HP,Firmicutes,0.00843,2
33HP,Firmicutes,0.11171,2
33HP,Firmicutes,0.00111,2
34HP,Verrucomicrobia,2.83874,1
34HP,Bacteroidetes,0.08538,1
34HP,Bacteroidetes,0.01152,1
34HP,Bacteroidetes,0.66282,1
34HP,Bacteroidetes,7.11604,1
34HP,Bacteroidetes,0.01788,1
34HP,Firmicutes,0.01442,1
34HP,Bacteroidetes,0.31615,1
34HP,Bacteroidetes,0.30822,1
34HP,Bacteroidetes,0.00507,1
34HP,Bacteroidetes,0.24289,1
34HP,Bacteroidetes,1.33453,1
34HP,Bacteroidetes,0.06428,1
34HP,Bacteroidetes,0.00714,1
34HP,Bacteroidetes,0.05387,1
34HP,Bacteroidetes,0.00052,1
34HP,Bacteroidetes,0.22192,1
34HP,Bacteroidetes,0.59515,1
34HP,Bacteroidetes,0.038,1
34HP,Bacteroidetes,15.45061,1
34HP,Bacteroidetes,0.40993,1
34HP,Bacteroidetes,0.00605,1
34HP,Bacteroidetes,5.04314,1
34HP,Actinobacteria,0.17292,1
34HP,Firmicutes,0.1501,1
34HP,Firmicutes,0.06018,1
34HP,Firmicutes,0.03559,1
34HP,Firmicutes,0.01741,1
34HP,Firmicutes,0.00135,1
34HP,Actinobacteria,0.19665,1
34HP,Firmicutes,0.21043,1
34HP,Firmicutes,0.51162,1
34HP,Firmicutes,0.17375,1
34HP,Firmicutes,0.58494,1
34HP,Proteobacteria,0.24925,1
34HP,Firmicutes,0.16838,1
34HP,Firmicutes,0.78502,1
34HP,Firmicutes,0.01099,1
34HP,Firmicutes,32.58338,1
34HP,Firmicutes,0.001,1
34HP,Firmicutes,0.0027,1
34HP,Firmicutes,5.86901,1
34HP,Firmicutes,0.0155,1
34HP,Proteobacteria,0.04048,1
34HP,Proteobacteria,0.12499,1
34HP,Proteobacteria,1.84017,1
34HP,Firmicutes,0.01169,1
34HP,Firmicutes,0.05787,1
34HP,Firmicutes,0.00126,1
34HP,Firmicutes,0.03084,1
34HP,Firmicutes,0.00244,1
34HP,Bacteroidetes,0.47799,1
34HP,Firmicutes,0.40732,1
34HP,Bacteroidetes,1.75948,1
34HP,Bacteroidetes,5.8721,1
34HP,Bacteroidetes,0.15842,1
34HP,Bacteroidetes,0.36457,1
34HP,Proteobacteria,0.02308,1
34HP,Bacteroidetes,0.05991,1
34HP,Firmicutes,0.03507,1
34HP,Firmicutes,0.06842,1
34HP,Firmicutes,0.28946,1
34HP,Firmicutes,1.40769,1
34HP,Firmicutes,0.41511,1
34HP,Firmicutes,0.28141,1
34HP,Firmicutes,0.13272,1
34HP,Firmicutes,1.17841,1
34HP,Firmicutes,1.07037,1
34HP,Firmicutes,0.90685,1
34HP,Firmicutes,1.40665,1
34HP,Firmicutes,0.06389,1
34HP,Firmicutes,0.24683,1
34HP,Firmicutes,0.21469,1
34HP,Firmicutes,1.48336,1
34HP,Firmicutes,0.01309,1
35HP,Bacteroidetes,0.07519,2
35HP,Bacteroidetes,0.01368,2
35HP,Bacteroidetes,0.0088,2
35HP,Bacteroidetes,0.0724,2
35HP,Firmicutes,0.72239,2
35HP,Bacteroidetes,2.37573,2
35HP,Bacteroidetes,1.56044,2
35HP,Bacteroidetes,5.26541,2
35HP,Bacteroidetes,0.00954,2
35HP,Bacteroidetes,3.99361,2
35HP,Bacteroidetes,0.1196,2
35HP,Actinobacteria,1.041,2
35HP,Actinobacteria,1.6351,2
35HP,Firmicutes,0.80039,2
35HP,Firmicutes,2.09961,2
35HP,Firmicutes,0.0193,2
35HP,Firmicutes,0.31669,2
35HP,Firmicutes,0.12029,2
35HP,Firmicutes,0.68368,2
35HP,Firmicutes,0.00392,2
35HP,Firmicutes,0.026,2
35HP,Firmicutes,0.01554,2
35HP,Proteobacteria,0.64768,2
35HP,Firmicutes,0.02788,2
35HP,Firmicutes,0.27692,2
35HP,Firmicutes,65.09263,2
35HP,Firmicutes,0.63875,2
35HP,Firmicutes,0.00133,2
35HP,Firmicutes,1.64329,2
35HP,Firmicutes,0.08126,2
35HP,Firmicutes,0.17852,2
35HP,Firmicutes,0.03144,2
35HP,Firmicutes,0.00776,2
35HP,Firmicutes,4.09808,2
35HP,Firmicutes,1.62595,2
35HP,Firmicutes,0.03068,2
35HP,Firmicutes,0.04571,2
35HP,Firmicutes,1.1111,2
35HP,Firmicutes,0.0289,2
35HP,Firmicutes,0.35233,2
35HP,Firmicutes,0.14056,2
35HP,Firmicutes,0.27627,2
35HP,Firmicutes,0.00808,2
39HP,Verrucomicrobia,3.40003,1
39HP,Bacteroidetes,0.04018,1
39HP,Bacteroidetes,1.19798,1
39HP,Bacteroidetes,0.02204,1
39HP,Bacteroidetes,0.25116,1
39HP,Firmicutes,0.04649,1
39HP,Bacteroidetes,0.00475,1
39HP,Bacteroidetes,1.1469,1
39HP,Bacteroidetes,1.65754,1
39HP,Bacteroidetes,0.03225,1
39HP,Bacteroidetes,0.00489,1
39HP,Bacteroidetes,0.76298,1
39HP,Bacteroidetes,0.61376,1
39HP,Firmicutes,2.86523,1
39HP,Bacteroidetes,0.45163,1
39HP,Bacteroidetes,0.25122,1
39HP,Bacteroidetes,0.04714,1
39HP,Bacteroidetes,2.06611,1
39HP,Bacteroidetes,0.01288,1
39HP,Actinobacteria,0.28943,1
39HP,Firmicutes,0.37941,1
39HP,Actinobacteria,0.19318,1
39HP,Firmicutes,1.46265,1
39HP,Firmicutes,2.76803,1
39HP,Firmicutes,0.30666,1
39HP,Firmicutes,0.38703,1
39HP,Firmicutes,5.09542,1
39HP,Firmicutes,0.27012,1
39HP,Firmicutes,0.41125,1
39HP,Firmicutes,1.35924,1
39HP,Firmicutes,0.00844,1
39HP,Proteobacteria,2.3429,1
39HP,Firmicutes,0.55786,1
39HP,Firmicutes,1.08942,1
39HP,Firmicutes,0.83615,1
39HP,Firmicutes,1.05628,1
39HP,Firmicutes,3.06523,1
39HP,Firmicutes,21.67476,1
39HP,Firmicutes,0.09774,1
39HP,Firmicutes,7.86044,1
39HP,Firmicutes,0.03575,1
39HP,Firmicutes,0.00848,1
39HP,Firmicutes,0.00508,1
39HP,Firmicutes,0.02695,1
39HP,Firmicutes,0.00239,1
39HP,Euryarchaeota,0.30389,1
39HP,Euryarchaeota,0.1184,1
39HP,Bacteroidetes,0.32513,1
39HP,Firmicutes,0.09083,1
39HP,Bacteroidetes,0.26409,1
39HP,Bacteroidetes,1.06171,1
39HP,Bacteroidetes,0.17125,1
39HP,Bacteroidetes,0.25533,1
39HP,Bacteroidetes,0.25798,1
39HP,Proteobacteria,0.08831,1
39HP,Bacteroidetes,2.20844,1
39HP,Firmicutes,0.70483,1
39HP,Firmicutes,1.92397,1
39HP,Firmicutes,0.09168,1
39HP,Firmicutes,0.41074,1
39HP,Firmicutes,1.53333,1
39HP,Firmicutes,1.04539,1
39HP,Firmicutes,1.882,1
39HP,Firmicutes,1.87995,1
39HP,Firmicutes,0.00373,1
39HP,Firmicutes,0.10507,1
39HP,Firmicutes,17.22106,1
39HP,Firmicutes,0.00101,1
3HP,Firmicutes,0.02794,3
3HP,Bacteroidetes,0.10465,3
3HP,Bacteroidetes,0.00221,3
3HP,Bacteroidetes,0.9137,3
3HP,Bacteroidetes,0.12275,3
3HP,Firmicutes,0.2541,3
3HP,Bacteroidetes,0.70527,3
3HP,Bacteroidetes,0.03238,3
3HP,Bacteroidetes,0.09156,3
3HP,Bacteroidetes,0.42847,3
3HP,Bacteroidetes,0.38615,3
3HP,Bacteroidetes,0.67229,3
3HP,Bacteroidetes,0.67324,3
3HP,Bacteroidetes,2.54219,3
3HP,Bacteroidetes,3.76356,3
3HP,Bacteroidetes,0.00252,3
3HP,Bacteroidetes,0.011,3
3HP,Actinobacteria,0.01625,3
3HP,Firmicutes,0.10134,3
3HP,Firmicutes,0.0311,3
3HP,Firmicutes,0.02141,3
3HP,Actinobacteria,0.10948,3
3HP,Firmicutes,0.085,3
3HP,Firmicutes,0.37174,3
3HP,Firmicutes,1.27822,3
3HP,Firmicutes,0.49764,3
3HP,Firmicutes,1.47146,3
3HP,Firmicutes,0.05342,3
3HP,Firmicutes,0.01802,3
3HP,Firmicutes,0.00593,3
3HP,Firmicutes,0.78911,3
3HP,Firmicutes,1.02381,3
3HP,Firmicutes,0.89934,3
3HP,Firmicutes,0.00322,3
3HP,Firmicutes,5.09601,3
3HP,Firmicutes,5.05207,3
3HP,Firmicutes,0.42574,3
3HP,Firmicutes,9.39997,3
3HP,Firmicutes,0.03291,3
3HP,Firmicutes,1.05438,3
3HP,Firmicutes,0.06611,3
3HP,Firmicutes,0.01365,3
3HP,Firmicutes,0.0609,3
3HP,Euryarchaeota,0.01904,3
3HP,Euryarchaeota,0.0291,3
3HP,Firmicutes,0.16476,3
3HP,Bacteroidetes,0.15115,3
3HP,Bacteroidetes,0.01838,3
3HP,Bacteroidetes,2.98639,3
3HP,Bacteroidetes,0.24239,3
3HP,Proteobacteria,0.312,3
3HP,Firmicutes,1.66701,3
3HP,Bacteroidetes,28.11897,3
3HP,Bacteroidetes,0.0017,3
3HP,Firmicutes,0.13268,3
3HP,Firmicutes,1.87504,3
3HP,Firmicutes,14.54929,3
3HP,Firmicutes,0.05889,3
3HP,Firmicutes,0.00212,3
3HP,Firmicutes,0.93246,3
3HP,Firmicutes,4.57924,3
3HP,Firmicutes,0.0314,3
3HP,Firmicutes,0.09726,3
3HP,Firmicutes,1.0772,3
3HP,Firmicutes,3.5498,3
3HP,Firmicutes,0.02759,3
40HP,Bacteroidetes,0.08535,2
40HP,Bacteroidetes,1.82481,2
40HP,Bacteroidetes,0.00503,2
40HP,Bacteroidetes,0.01264,2
40HP,Firmicutes,0.07048,2
40HP,Bacteroidetes,0.12151,2
40HP,Bacteroidetes,0.48318,2
40HP,Bacteroidetes,0.0013,2
40HP,Bacteroidetes,0.22424,2
40HP,Firmicutes,1.44205,2
40HP,Bacteroidetes,0.10189,2
40HP,Bacteroidetes,0.04075,2
40HP,Bacteroidetes,1.91974,2
40HP,Bacteroidetes,0.02886,2
40HP,Actinobacteria,0.10859,2
40HP,Firmicutes,1.06031,2
40HP,Firmicutes,0.19013,2
40HP,Firmicutes,0.28661,2
40HP,Firmicutes,7.7018,2
40HP,Firmicutes,0.10553,2
40HP,Firmicutes,0.32053,2
40HP,Firmicutes,0.00166,2
40HP,Firmicutes,0.08656,2
40HP,Proteobacteria,0.58842,2
40HP,Firmicutes,0.34044,2
40HP,Firmicutes,6.68177,2
40HP,Firmicutes,0.19354,2
40HP,Firmicutes,0.24275,2
40HP,Firmicutes,21.21671,2
40HP,Firmicutes,28.39503,2
40HP,Firmicutes,0.02051,2
40HP,Firmicutes,6.22883,2
40HP,Proteobacteria,0.01127,2
40HP,Proteobacteria,0.04823,2
40HP,Firmicutes,0.02795,2
40HP,Firmicutes,0.0016,2
40HP,Firmicutes,0.02626,2
40HP,Firmicutes,0.01755,2
40HP,Euryarchaeota,0.29953,2
40HP,Euryarchaeota,0.09972,2
40HP,Firmicutes,0.04846,2
40HP,Bacteroidetes,0.18697,2
40HP,Bacteroidetes,1.16432,2
40HP,Bacteroidetes,0.05474,2
40HP,Bacteroidetes,0.07709,2
40HP,Proteobacteria,0.02214,2
40HP,Bacteroidetes,0.62864,2
40HP,Firmicutes,0.4541,2
40HP,Firmicutes,0.7049,2
40HP,Firmicutes,1.15005,2
40HP,Firmicutes,1.65608,2
40HP,Firmicutes,1.39011,2
40HP,Firmicutes,0.36425,2
40HP,Firmicutes,0.52334,2
40HP,Firmicutes,1.90795,2
40HP,Firmicutes,0.0371,2
40HP,Firmicutes,0.03607,2
40HP,Firmicutes,8.31954,2
41HP,Bacteroidetes,0.0106,1
41HP,Bacteroidetes,0.00879,1
41HP,Bacteroidetes,0.03396,1
41HP,Bacteroidetes,0.00693,1
41HP,Firmicutes,0.00191,1
41HP,Bacteroidetes,0.04097,1
41HP,Bacteroidetes,0.04448,1
41HP,Bacteroidetes,0.02046,1
41HP,Bacteroidetes,0.06229,1
41HP,Bacteroidetes,0.02338,1
41HP,Bacteroidetes,0.08464,1
41HP,Bacteroidetes,0.00213,1
41HP,Bacteroidetes,0.08173,1
41HP,Firmicutes,0.48142,1
41HP,Firmicutes,0.13564,1
41HP,Firmicutes,0.20282,1
41HP,Firmicutes,0.00885,1
41HP,Firmicutes,0.21619,1
41HP,Firmicutes,0.48731,1
41HP,Firmicutes,0.51052,1
41HP,Firmicutes,0.64378,1
41HP,Firmicutes,0.00349,1
41HP,Firmicutes,0.00256,1
41HP,Proteobacteria,9.18745,1
41HP,Firmicutes,0.00154,1
41HP,Firmicutes,1.23799,1
41HP,Firmicutes,59.7181,1
41HP,Firmicutes,0.00086,1
41HP,Firmicutes,0.00131,1
41HP,Firmicutes,7.21599,1
41HP,Firmicutes,0.06456,1
41HP,Proteobacteria,0.04193,1
41HP,Proteobacteria,0.01102,1
41HP,Proteobacteria,0.96101,1
41HP,Firmicutes,0.07166,1
41HP,Firmicutes,0.00193,1
41HP,Firmicutes,0.59288,1
41HP,Firmicutes,0.03255,1
41HP,Bacteroidetes,0.06077,1
41HP,Bacteroidetes,0.09831,1
41HP,Bacteroidetes,0.15263,1
41HP,Firmicutes,1.35286,1
41HP,Firmicutes,8.15062,1
41HP,Firmicutes,0.58301,1
41HP,Firmicutes,0.0897,1
41HP,Firmicutes,0.78993,1
41HP,Firmicutes,0.80249,1
41HP,Firmicutes,0.61003,1
41HP,Firmicutes,1.61155,1
41HP,Firmicutes,0.23313,1
41HP,Firmicutes,1.74186,1
41HP,Firmicutes,0.23605,1
42HP,Bacteroidetes,0.35331,2
42HP,Firmicutes,0.5375,2
42HP,Bacteroidetes,3.22984,2
42HP,Bacteroidetes,0.0624,2
42HP,Firmicutes,0.17544,2
42HP,Firmicutes,0.65435,2
42HP,Firmicutes,0.06881,2
42HP,Firmicutes,0.07116,2
42HP,Firmicutes,0.27202,2
42HP,Firmicutes,0.00227,2
42HP,Firmicutes,0.29818,2
42HP,Firmicutes,0.67976,2
42HP,Firmicutes,0.58867,2
42HP,Firmicutes,1.62853,2
42HP,Firmicutes,0.00328,2
42HP,Firmicutes,0.13806,2
42HP,Firmicutes,0.13069,2
42HP,Firmicutes,0.10595,2
42HP,Proteobacteria,1.15177,2
42HP,Firmicutes,0.00517,2
42HP,Firmicutes,0.03148,2
42HP,Firmicutes,0.24176,2
42HP,Firmicutes,0.85613,2
42HP,Firmicutes,0.22145,2
42HP,Proteobacteria,0.05085,2
42HP,Firmicutes,0.00155,2
42HP,Firmicutes,0.00651,2
42HP,Firmicutes,1.67693,2
42HP,Bacteroidetes,0.00878,2
42HP,Bacteroidetes,0.00116,2
42HP,Synergistetes,1.60283,2
42HP,Firmicutes,0.54536,2
42HP,Firmicutes,7.98135,2
42HP,Firmicutes,1.48197,2
42HP,Firmicutes,0.0076,2
42HP,Firmicutes,2.50803,2
42HP,Firmicutes,14.0516,2
42HP,Firmicutes,0.77605,2
42HP,Firmicutes,0.57956,2
42HP,Firmicutes,0.25164,2
42HP,Firmicutes,2.40336,2
42HP,Firmicutes,0.15883,2
43HP,Bacteroidetes,2.22169,3
43HP,Firmicutes,2.41903,3
43HP,Bacteroidetes,0.00652,3
43HP,Bacteroidetes,0.00237,3
43HP,Bacteroidetes,4.9482,3
43HP,Bacteroidetes,0.0207,3
43HP,Bacteroidetes,0.003,3
43HP,Firmicutes,2.53562,3
43HP,Firmicutes,0.1406,3
43HP,Firmicutes,0.28572,3
43HP,Firmicutes,0.47013,3
43HP,Firmicutes,0.17293,3
43HP,Firmicutes,1.11197,3
43HP,Firmicutes,0.31563,3
43HP,Firmicutes,0.23269,3
43HP,Firmicutes,0.03381,3
43HP,Firmicutes,0.17474,3
43HP,Firmicutes,1.18586,3
43HP,Firmicutes,0.62021,3
43HP,Proteobacteria,6.82191,3
43HP,Firmicutes,0.06545,3
43HP,Firmicutes,0.13445,3
43HP,Firmicutes,1.02334,3
43HP,Firmicutes,0.59827,3
43HP,Firmicutes,1.4206,3
43HP,Proteobacteria,0.39433,3
43HP,Firmicutes,0.00809,3
43HP,Firmicutes,0.36204,3
43HP,Bacteroidetes,0.01424,3
43HP,Bacteroidetes,0.00242,3
43HP,Firmicutes,0.00613,3
43HP,Firmicutes,0.01859,3
43HP,Firmicutes,15.38586,3
43HP,Firmicutes,14.26867,3
43HP,Firmicutes,0.00109,3
43HP,Firmicutes,10.54395,3
43HP,Firmicutes,2.93246,3
43HP,Firmicutes,1.16506,3
43HP,Firmicutes,1.19281,3
43HP,Firmicutes,18.92195,3
43HP,Firmicutes,0.00708,3
48HP,Verrucomicrobia,0.18506,1
48HP,Bacteroidetes,0.18512,1
48HP,Bacteroidetes,0.1267,1
48HP,Bacteroidetes,0.56378,1
48HP,Bacteroidetes,0.12906,1
48HP,Bacteroidetes,0.43079,1
48HP,Bacteroidetes,0.06253,1
48HP,Bacteroidetes,1.93831,1
48HP,Bacteroidetes,3.552,1
48HP,Bacteroidetes,3.64352,1
48HP,Bacteroidetes,1.74744,1
48HP,Bacteroidetes,1.26883,1
48HP,Bacteroidetes,0.21092,1
48HP,Bacteroidetes,0.49787,1
48HP,Bacteroidetes,5.06452,1
48HP,Bacteroidetes,0.3747,1
48HP,Firmicutes,0.20207,1
48HP,Firmicutes,0.22803,1
48HP,Actinobacteria,0.35055,1
48HP,Firmicutes,0.03817,1
48HP,Firmicutes,0.52251,1
48HP,Firmicutes,0.15956,1
48HP,Proteobacteria,0.02544,1
48HP,Firmicutes,3.10821,1
48HP,Firmicutes,2.69871,1
48HP,Firmicutes,1.58436,1
48HP,Firmicutes,0.13826,1
48HP,Firmicutes,0.53558,1
48HP,Firmicutes,31.92287,1
48HP,Proteobacteria,0.01582,1
48HP,Proteobacteria,0.98258,1
48HP,Firmicutes,0.36092,1
48HP,Bacteroidetes,0.02564,1
48HP,Bacteroidetes,0.72733,1
48HP,Bacteroidetes,0.1612,1
48HP,Bacteroidetes,0.36924,1
48HP,Proteobacteria,0.20194,1
48HP,Bacteroidetes,0.02314,1
48HP,Firmicutes,0.42008,1
48HP,Firmicutes,0.00253,1
48HP,Firmicutes,0.08222,1
48HP,Firmicutes,13.51998,1
48HP,Firmicutes,0.91871,1
48HP,Firmicutes,5.11003,1
48HP,Firmicutes,0.07429,1
48HP,Firmicutes,14.15089,1
49HP,Bacteroidetes,0.85865,2
49HP,Bacteroidetes,0.04801,2
49HP,Bacteroidetes,1.96819,2
49HP,Bacteroidetes,0.52018,2
49HP,Bacteroidetes,0.35239,2
49HP,Firmicutes,0.01185,2
49HP,Bacteroidetes,1.40561,2
49HP,Bacteroidetes,0.08252,2
49HP,Bacteroidetes,1.71949,2
49HP,Bacteroidetes,6.48217,2
49HP,Bacteroidetes,2.93217,2
49HP,Bacteroidetes,1.60199,2
49HP,Bacteroidetes,3.40066,2
49HP,Bacteroidetes,1.1985,2
49HP,Bacteroidetes,0.93438,2
49HP,Bacteroidetes,0.67314,2
49HP,Bacteroidetes,2.5483,2
49HP,Actinobacteria,0.11927,2
49HP,Firmicutes,3.20649,2
49HP,Firmicutes,0.11487,2
49HP,Firmicutes,0.13136,2
49HP,Actinobacteria,0.12056,2
49HP,Firmicutes,0.03836,2
49HP,Firmicutes,0.29234,2
49HP,Firmicutes,0.11232,2
49HP,Proteobacteria,0.07264,2
49HP,Firmicutes,2.39002,2
49HP,Firmicutes,0.68832,2
49HP,Firmicutes,0.63188,2
49HP,Firmicutes,7.25376,2
49HP,Firmicutes,0.00266,2
49HP,Firmicutes,11.30919,2
49HP,Proteobacteria,0.04902,2
49HP,Firmicutes,0.01408,2
49HP,Firmicutes,0.06252,2
49HP,Euryarchaeota,0.06443,2
49HP,Bacteroidetes,0.47116,2
49HP,Firmicutes,0.37589,2
49HP,Bacteroidetes,0.09295,2
49HP,Bacteroidetes,1.40818,2
49HP,Bacteroidetes,0.36907,2
49HP,Bacteroidetes,0.72943,2
49HP,Proteobacteria,0.31845,2
49HP,Bacteroidetes,0.04591,2
49HP,Firmicutes,0.12214,2
49HP,Firmicutes,0.00259,2
49HP,Firmicutes,0.33989,2
49HP,Firmicutes,0.1212,2
49HP,Firmicutes,20.76187,2
49HP,Firmicutes,0.6715,2
49HP,Firmicutes,10.41024,2
49HP,Firmicutes,0.03608,2
49HP,Firmicutes,9.36269,2
50HP,Bacteroidetes,0.01509,2
50HP,Bacteroidetes,0.01707,2
50HP,Bacteroidetes,0.01887,2
50HP,Bacteroidetes,0.00684,2
50HP,Firmicutes,0.00824,2
50HP,Firmicutes,2.13247,2
50HP,Firmicutes,14.43444,2
50HP,Proteobacteria,17.14778,2
50HP,Firmicutes,0.01215,2
50HP,Bacteroidetes,0.00573,2
50HP,Firmicutes,0.00319,2
50HP,Firmicutes,0.04007,2
50HP,Firmicutes,0.603,2
50HP,Firmicutes,1.32823,2
50HP,Firmicutes,0.00618,2
51HP,Verrucomicrobia,3.81504,1
51HP,Bacteroidetes,0.12397,1
51HP,Bacteroidetes,0.35517,1
51HP,Firmicutes,3.15975,1
51HP,Bacteroidetes,0.00154,1
51HP,Bacteroidetes,0.07092,1
51HP,Bacteroidetes,0.29833,1
51HP,Bacteroidetes,0.06323,1
51HP,Bacteroidetes,0.08679,1
51HP,Bacteroidetes,0.04781,1
51HP,Bacteroidetes,0.03024,1
51HP,Bacteroidetes,0.15456,1
51HP,Bacteroidetes,0.17256,1
51HP,Bacteroidetes,0.00426,1
51HP,Bacteroidetes,0.15393,1
51HP,Actinobacteria,2.6259,1
51HP,Actinobacteria,0.47619,1
51HP,Actinobacteria,2.19725,1
51HP,Firmicutes,0.44282,1
51HP,Firmicutes,2.19893,1
51HP,Firmicutes,4.2409,1
51HP,Firmicutes,3.01136,1
51HP,Proteobacteria,0.19208,1
51HP,Firmicutes,0.01437,1
51HP,Firmicutes,2.62073,1
51HP,Firmicutes,0.06219,1
51HP,Firmicutes,1.14763,1
51HP,Firmicutes,0.45831,1
51HP,Firmicutes,0.24786,1
51HP,Proteobacteria,0.01161,1
51HP,Firmicutes,0.06945,1
51HP,Firmicutes,0.36979,1
51HP,Firmicutes,0.00093,1
51HP,Firmicutes,0.13485,1
51HP,Euryarchaeota,1.18088,1
51HP,Bacteroidetes,0.01752,1
51HP,Bacteroidetes,0.08802,1
51HP,Bacteroidetes,0.01114,1
51HP,Bacteroidetes,0.11935,1
51HP,Firmicutes,0.04219,1
51HP,Firmicutes,0.00078,1
51HP,Firmicutes,0.1962,1
51HP,Firmicutes,0.12478,1
51HP,Firmicutes,0.02158,1
51HP,Firmicutes,0.73094,1
51HP,Firmicutes,0.00729,1
51HP,Firmicutes,15.54931,1
51HP,Firmicutes,4.49433,1
51HP,Firmicutes,21.29962,1
51HP,Firmicutes,5.54857,1
51HP,Firmicutes,0.48321,1
51HP,Firmicutes,0.62048,1
51HP,Firmicutes,0.03363,1
51HP,Firmicutes,18.1674,1
51HP,Proteobacteria,0.0347,1
51HP,Firmicutes,0.00139,1
52HP,Verrucomicrobia,1.47106,3
52HP,Bacteroidetes,0.19682,3
52HP,Bacteroidetes,0.81428,3
52HP,Bacteroidetes,0.28169,3
52HP,Bacteroidetes,26.98666,3
52HP,Bacteroidetes,0.20519,3
52HP,Bacteroidetes,0.25077,3
52HP,Bacteroidetes,0.10795,3
52HP,Bacteroidetes,2.25451,3
