	Acidaminococcus_intestini	Akkermansia_muciniphila	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_unclassified	Anaerostipes_hadrus	Anaerostipes_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_1_1_30	Bacteroides_stercoris	Bacteroides_uniformis	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_breve	Bifidobacterium_longum	Butyrivibrio_crossotus	C2likevirus_unclassified	Catenibacterium_mitsuokai	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_nexile	Clostridium_perfringens	Clostridium_ramosum	Clostridium_sp_KLE_1755	Clostridium_sp_L2_50	Collinsella_aerofaciens	Coprobacillus_sp_29_1	Coprobacillus_sp_D6	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_eutactus	Coprococcus_sp_ART55_1	Dialister_invisus	Dialister_succinatiphilus	Dorea_longicatena	Enterobacteria_phage_JL1	Enterococcus_avium	Enterococcus_dispar	Enterococcus_faecalis	Erysipelotrichaceae_bacterium_6_1_45	Escherichia_coli	Eubacterium_biforme	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Klebsiella_oxytoca	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_8_1_57FAA	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_phage_936_sensu_lato	Lactococcus_phage_jm2	Megamonas_unclassified	Megasphaera_unclassified	Methanobrevibacter_smithii	Mitsuokella_multacida	Mitsuokella_unclassified	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Paraprevotella_clara	Parasutterella_excrementihominis	Pediococcus_pentosaceus	Phascolarctobacterium_succinatutens	Prevotella_copri	Pyramidobacter_piscolens	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_sp_5_1_39BFAA	Ruminococcus_torques	Salmonella_phage_FelixO1	Salmonella_phage_Vi_II_E1	Streptococcus_parasanguinis	Streptococcus_phage_ALQ13_2	Streptococcus_thermophilus	Sutterella_wadsworthensis	Veillonella_unclassified
58HP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80579	0	0	0.01123	0	0	0	0	0	0.03732	0	0	0	0	0.15666	0	0	0	0.0463	0.07579	0.00321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0199	0	0	0	0.14473	0	23.89428	0	0	0	0.01958	0	0	0.00826	0	0	40.95434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06879	0	0	0	0	0	12.29357	0	0	0	0	0	0	0	0.06142	0	0.38158	0	0	1.01859	1.07034	0.12135	0	1.39117
59HP	0	0.00706	0	0.00099	1.85908	0	0	0	0	0.49352	0.19634	0	0	0.92558	0.05667	0	0.02578	0	0.75639	0	0	0	0	0	1.64132	0.72794	0.49665	0.46129	0	0.10259	0	0.0203	0	0	0.02653	0	0	0	0	0	0	0	0	0	0	0.13774	3.29854	0	0	0	0.68085	0	0	0	0.00569	0	25.10272	0	0.53505	0.10889	28.62094	0.41173	0	1.90092	0	0	0	0	0	0	0	0	1.00445	4.26892	0	0	0.16979	0	0	0.56131	0.1137	0.02648	0.5881	0	0	0	0	0	0.03688	0	0.0345	0.01515	0.45178	4.15599	0.53759	0.465	0.25033	0.85501	1.30373	0	0	0.01455	0	0.13245	0.17641	0.01913
5HP	0	0.02892	0.01181	0.11337	1.13698	0	0.19091	0	0.00959	0.65002	0.00049	0	0	0.28367	0	0.15052	0.07573	0	0.00725	0	0	0.16176	0	0.0999	0.13771	0	0.14035	2.79536	0	0.89427	0.03306	0.03303	0	0.03439	0	0	0	0	0	0	0	0.13524	0	0	0.01498	0.42203	0	3.69023	0	0	0.2895	0	0	0	0.03211	0.00287	0.54632	0	0.37199	0.13293	15.74603	0.01537	0.43261	3.47994	0	0	0	0	0	0	0	0	0	0	0	0	8.45815	0	0	2.25901	0.06828	0.63057	0.00079	0	0.0323	0.01885	0	0	0.02102	0	0	2.97584	0.01421	0	0.06959	0	0.7595	1.43952	5.7015	0	0	0.00912	0	0.00824	0	0
60HP	0	0	0	0	2.66255	0	0.00658	0	0	1.83764	0.03384	0	0	8.65789	0	0	0.15886	0	1.16211	0	0	0.03847	0	0	5.46768	0	1.48997	0	0	0	0	0	0	0	1.26189	0	0	0	0	0	0	0	0	0	0	0.44515	0	0	0	0	0	0	0	0	0	0.01283	0	0	0.2253	0.6958	0.15404	1.07422	0	6.53787	0	0	0	0	0	0	0	0	0	10.76932	0	0	0.07645	0	0	0	0.69069	0.12287	1.45337	0	0	0	0	0	0	0	0.09637	0.03442	0	5.59188	0	0	0.94208	0	9.68805	0	0	0.07882	0	0.5408	0	0
61HP	0	0	0	0	2.01854	0	0.01914	0	0	0	4.73493	0	0	2.25247	0	0.26145	0	0	1.81178	0	0	0	0	0.99725	5.14671	0	0	0	0	0	0	0	0	0.01503	0.02226	0	0	0	0	0	0	0	0	0	0	0.259	0	0	8.95314	0	1.03085	0	0	0	0	0	0	0	0.13831	0.42791	20.69286	0	0.06474	17.41266	0.00167	0	0	0	0	0.17811	0	0	0	0	0	0	0	0	0	0	0.59855	0	0.11493	0	0	0	0	0	0	0	0	15.04178	0	3.25165	0.76692	3.89993	0.15418	0	2.1474	0	0	0.04712	0	1.37548	0.01247	0.02079
62HP	0	0	0	0	0	0	0	0	0	0	0.25512	0	0	3.00185	0	0	0	0	6.01394	0	0	0	0	0	0.50755	0.05776	0	0	0	0	0	0	0	0	0.84947	0.01489	0	0	0	0	0	0	0	0	0	0.07589	0	0	0	0	1.34556	0	0	0	0.23729	0	0	0	0	0	45.91784	0	0	16.43328	0.04609	0	0	0.33047	0.2797	0	0	0	0	0	0	0	0	0	0	0	0.85133	0	0	0	0	0	0	0	0.00998	0	0	0	0	0.01303	0	0	0.83217	0	8.29445	0	0	0.13514	0	1.47385	0	0
63HP	0	0	0	0	0.05354	0	0.01647	0	0.03816	0	0	0	0	0.01087	0	0	0	0.01236	0.03377	0	0	0	0	0	0.05815	0	0.08847	0.22729	0	0	0.00482	0	0.43452	0.08712	0	0	0	0	0	0	2.29429	0.21697	0	0	0	0.65907	0	0	5.49181	0.00344	0.84884	0	0	0	0	0	0.0405	0.75623	0.23036	0.22757	14.54932	0	0.13072	4.34232	0	0.27687	0.01479	0	0	0.12869	0.7904	0	0	0	0	0	0.05252	0	0	0	0.00492	0	0	0.03972	0.01726	0	0	0	55.01031	0	0.01692	1.15411	0.27886	0.36337	1.31243	0.00066	0.16655	0	0.87982	0	0	1.22571	0	0.00739	0	0.02314
64HP	0	0	0	0	0.01513	0	0	0	0	0	0	0	0	0.11623	0	0	0	0	0.25188	0	0	0	0	0	1.00357	0	0.11873	0	0	0	3.61266	1.26944	0.5101	0	0	0	0	0	0	0	0	0	0	0	0	0.23313	0	0	1.90342	0	1.87176	0	0	0	0	0	0.42664	2.22907	0.56861	0	0.20161	0.04037	0	5.84932	0	1.27144	0	0.20422	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07664	0	0	0	0	0	0	59.43377	0	0	0	0.90299	1.92473	1.2237	0	0.36657	0	1.89404	0	0	0.55792	0	1.65693	0	0.0828
67HP	0	0.12482	0	0.08837	1.32283	0	0.40035	0	0.35688	0.0103	0.16124	0.00347	0.0203	2.38353	0.05144	0.46046	0	0	0.7557	1.22224	0.15238	0	0	4.18054	2.24207	0.0353	3.50446	0	0	0	0.01902	0	0.84927	0	0	0	0	0	0	0	12.71788	0.08064	0	0	0	0.46783	0	0	0	0	1.62986	0	0	0	0	0	0.17981	1.06174	0.55209	0.02897	14.0074	0	0.48012	9.58711	0	0	0	0	0	0	0	0.01652	0	0	0	0	0.17909	0	0	1.21114	0.06933	0.00502	5.33949	0	0.04016	0.04994	0	2.11337	10.34273	0	0.32364	0.0437	3.45337	0.12237	0.15163	0.97573	0.37743	2.1183	3.99996	0	0	0.03316	0	0	0	0
68HP	0	0	0	0.02313	0.73981	0	0.05173	0	0.03382	0.0083	0.09318	0.04447	0.0331	0.17786	0.03844	1.04697	0	0.21739	0.69091	0.00271	0.68318	0	0	2.92586	0.86722	0.69624	0.27017	0	0	0	0.00514	0.01025	0.52907	0.01459	0.00357	0.00235	0	0	0	0	0	0.07158	0	0	0	0.29022	0	0	0	0	0.85377	0	0	0	0	0	0.1318	0.13876	0.09552	0.16282	2.69675	0	0.32646	10.60993	0.00463	0	0	0	0	0	0.05769	0	0	0	0	0	0	0	0	0.55041	0.17065	0.00854	2.225	0	0.29201	0.07456	0	2.29195	50.67199	0	0	0.84567	0.02742	0	0.0844	0.00453	0.16573	0.91493	1.54737	0	0	0.06125	0	0.06302	0	0.00409
69HP	0	0	1.72321	0.29657	12.78192	0	0.03435	0	0.25147	3.05184	5.9097	0	0.02267	1.07558	14.31545	0.18966	0	0.00136	0.73855	0	0	0	0	0.94666	6.3375	0.09655	2.53382	0.00719	0	0	0.01199	0	0	0	0.16498	0.02949	1.59855	0	0	0	0	2.1663	0	0	0	0	0	0	0	0	1.08057	0	0	0	0	0.02077	0.52622	0	2.34361	0.00572	8.62621	0	0.02982	1.83042	0.0089	0	0	0	1.48526	0	0	0	0	0	0	0	0.20479	0	0	0.60773	1.64415	0.3271	1.93909	0	0	0	0	3.21559	0.96121	0	0.37673	0.24727	0.06713	0	0	1.95378	0.25544	2.48463	2.19648	0	0	0.12891	0	0.19675	0.77891	0
6HP	0	0	0	0.18067	0.58779	0	0.01149	0	0	0	0.00186	0	0	6.08362	0	0	0	0	0.01889	0	0	0.03684	14.47749	6.64098	1.33188	0.00669	0.38278	0.00233	0	0	0.03746	0.0055	0	0	0.0595	0	0	0	1.36493	0	0	0	0	0	2.16857	0.18624	0	0	0	0	1.11095	0	0	0	10.87247	0.02424	0	0.00389	0.73268	0.20347	0.08012	0.00249	0	1.19603	0.0842	0	0	0.06766	0.23297	0	0	0	0	0	0	0	0.00354	0	0	0.46725	0	12.26895	0.00667	0	0	0.06069	0	0	0.02343	0	0	0.01047	0.0122	0	0	0	0.15505	0.46981	24.43542	0	0	0.07109	0	1.19648	0	0.00183
70HP	0	0	0	0	5.16234	0	0	0	0	0.00317	1.42957	0	0	28.08148	0.01411	0.01598	0	0.04669	3.96103	0	0	0	0	22.55022	0.04708	0.04685	2.01131	0	0	0	0.00975	0.0102	0.04145	0.16974	0	0.03259	0	0	0	0	0	0.00325	0	0	0	0.00413	0	0	0.0762	0	0.04632	0	0	0	0	0.04074	5.07145	0	0.00456	0	0.03407	0	0.1907	0.66624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22091	4.77027	3.62487	0	0	0	0	0.00121	0.10443	0	0	0.50914	0.04891	0	0	0	0.01283	0	1.43725	0	0	0.02096	0	0.11308	0.13224	0.32904
71HP	0.05877	0.35855	0	0	0.08278	0	0.04823	0	0	0.025	0.05114	0	0.28545	0.07074	0.01496	0	0	0.1658	0.07259	0	0	0	0	0.21648	0.5289	0	0.07373	0.10076	0	0.09888	15.21508	0.50974	0.10971	0.03996	0	0	0.00539	0.18651	0	0	0	0.13094	0	0	0	0.15791	0.03955	0	0	0	0.53211	0	0	0	0	0	0.03848	0.30222	0.40541	0.10671	0.82175	0.34317	0.06502	1.78498	0	0.3637	0	0	0	0.09207	0	0	0	0	0	0	0.32905	0	0.10304	0	0.01812	0.05471	0.06915	0	0.02482	0	0	0.81016	62.91339	0	0.49271	0.46473	0.34423	0.32475	0	0	0.15593	0	2.51786	0	0	0	0	0	0	0.00978
72HP	0.15032	0.01134	0	0	0	0	0	0	0	0	0.10411	0	0	0	0	0	0	0	0.10163	0	0	0	0	0	0.19476	0	0.27805	0	0	0	19.81851	0	0.18225	0.44496	0	0	0	0	0	0	0	0.02124	0	0	0	0.10547	0	0	0	0	1.76608	0	0	0	0	0	2.54082	0.47034	0.3602	0.01208	0.18231	1.27318	0	3.29678	0	0.07079	0	0	0	0	0	0	0	0	0	0	0.578	0	0.12208	0	0.01917	0	0	0	0	0	0	0	57.99593	0	0.40459	0.55173	0.15883	0.00483	0	0.06296	0.17866	0	2.11701	0	0	0	0	0	0.03253	0.0305
73HP	0	0	0.23823	0.08211	7.25542	0	0.21065	0	0.52698	2.83626	0.16248	0	0	0.20535	0.54998	0	0	0	0.25226	0	0.01059	0	0	0.78455	0.92635	0.11706	0.4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41842	0	0	0	0.36451	0	0.70459	0	0	0.39122	0	0	0	0	0	0	2.69051	0.66771	0.53105	8.17678	0	0.52582	29.28295	0	0.49474	0	0	0	0.34303	0	0.53765	0	0	0	0	0	0	0	0.79358	0.15077	0	0.91092	0	0	0	0	1.73961	9.02802	0	0.45108	0	2.19	0	0.64069	1.04623	0.78688	2.34307	1.60386	0	0	1.37854	0	0.52003	0	0.13033
74HP	0	0	0	0.05565	5.87329	0	0.01544	0	0.78219	8.01534	0	0	0	0.30266	0	0	0	0	0.74877	0	0.52354	0	0	7.13748	3.58401	0.10325	0.4005	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0.06197	0	0	0	0.26595	0	0	0	0	0.05894	0	0	0	0	0	1.06943	0	0.15644	0.16441	0.25959	0	0	17.52634	0.14273	0.34557	0	0	0	0.05249	0	0.11947	0	0	0	0	0	0	0	0.69126	0.69114	0.37653	1.30944	2.30595	0	0	0	2.01104	0	0	0.04442	0	3.90606	0	0	0	0.14853	0	1.01881	0	0	0.82925	0	0	0	0.45182
77HP	0	0.20769	0	0	0.42442	0	0.09246	0	0	0.00125	0.26031	0	0.81106	1.33372	0	0	0	0	0.76947	0	0	0	0	0	0.27412	0	0	0	0	0.24508	0.09979	0	0	0	0.00328	0	0	0	0	0	4.75561	0	0	0	0	0.21974	0	0	0	0	0.38884	0	0	0	0	0	0.36524	0	0.49096	0.03163	0	0.24648	0.19446	16.01334	0	0	0	0	0	0	0	0	0	0	2.42436	0	0.94295	0	0.04131	0.3935	0.64491	0.14519	0.25802	0	0	0	0	1.98046	36.28825	0	0.02524	0	0.17873	2.67854	0.49716	0	0.12104	0	1.56281	0	0	0	0	0.17036	0	0
78HP	0	0	0	0	0.22093	0	0.01365	0	0	0.00379	0.08571	0	0.95197	0.93043	0	0	0	0	0.36501	0	0	0	0	0	0.23019	0.01081	0	0	0	0.02412	0.0615	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05275	0	0	0	0	0.05088	0	0	0	0	0	0.12219	0	0.05659	0	0	0.08305	0.28582	2.65847	0	0	0	0.24836	0	0	0	0	0	0	2.88181	0	0	0	0	0.40054	0.32635	0.20935	0.31249	0.05985	0	0	0	2.03977	78.432	0	0.00524	0	0.32314	0.75488	0.02617	0	0.02919	0	0.8995	0	0	0	0	0.00166	0	0
79HP	0	0	0.00591	0	0.52347	0	0.19936	0	0	0.78525	0.00299	0	0	0	0	0.12995	0	0	0.08518	0	0	0	0	0	0.15949	0	0.0423	0	0	0.11458	0.05066	0.20811	0	0	0.02177	0.05971	0	0	0	0	0	0.11362	0	0	0	0.70089	0	0	0	0	0.12192	0	0	0	0	0	0.03017	0.7126	0.58648	0.43348	1.9026	0	0	34.89924	0	0.09945	0	3.07095	0	0	0	0	0	0	0	0	0	0	0	0	0.33889	0.03561	0.32889	0	0.42916	0	0	0	7.6365	0	10.64224	0.11887	4.90076	0	0	0	0.99394	6.39239	4.33963	0	0	0.08755	0	0.37898	0.04575	0.05844
80HP	0	0	0	0	0	0	0.42627	0	0	7.15515	0.0267	0	0	1.12727	0	0	0	0	0.04736	0.00046	0	0	0	0	2.51155	0.00242	0	0	0	0	0.08971	0.0086	0	0	0.02553	0.03272	0	0	0.02506	0	0	0	0.21454	0	0	0.05416	0	0	0	0	0	0	0	0	0	0	0.13704	0	0.12017	0	0	0	0	8.05296	0	0.07532	0.00182	0.95195	0	0	0	0	0	0	0	0.06154	0	0	0	0	1.86387	0	0.01622	0.10151	1.27237	0	0	0	18.53617	0	0.004	0	11.1418	0	0	0	0.23126	0	8.74841	0	0	0.32526	0	0.02748	0	0.00982
83HP	0	0	0.18481	0.01343	3.72611	0	0.02352	0	0.00918	0.00665	0	0	0.74097	0.3481	0	0	0	3.86247	0.21197	0	0	0	0	0.42345	0.96859	0.02344	2.27793	0.18651	0	0.06095	0	0.02858	0	0	0.00823	0.02036	0	0	0	0	0	0.20086	0	0	0	0.21744	0.27276	0	0.03989	0	0.58025	0	0	0	0	0	0	0.32947	0.65281	0.52684	0.13571	0.91074	0	6.75649	0	0	0	0	0	0.26839	0	0	0	0	0	0	0.30094	0	0	0	0.12059	0.03096	1.23112	0	0.036	0	0	0	33.28022	0	0.11574	0	0.26069	0.90655	0	0	0.58135	2.03179	1.5982	0	0	0.03756	0	0.11411	0	0
84HP	0	0	0.01358	0.02595	0.73235	0	0.01791	0	0.01579	0.64462	0	0	0	4.38598	0.13098	0	0.02906	0.38569	0.42629	0	0	0	0	0.04162	0.46769	0.07194	0.56698	0.26068	0	0.13294	0	0.00274	0	0	0.00843	0	0	0	0,0007	0	0	0.12506	0	0	0.03696	0.01142	0	0	0	0	0.12133	0	0	0	0	0	0.01003	0.00505	0.18704	0.00137	0.87978	0.02565	0	8.6855	0.00178	0.09626	0.00521	0.33535	0.03086	0	0	0	0	0	0	0	0.01286	0	0	0.20533	0.29913	0.2503	0.81294	0	0.07227	0	0	0	52.69256	0	0.51934	1.03357	0.02114	3.23594	0	0	0.39272	0	0.998	0	0	0.0701	0	0.05729	0	0.01566
85HP	0	0	0	0.00846	0.91889	0	0	0	0	0	0.07028	0	0	0	0	0	0	0	0.24187	0	0	0	0	0	0.06237	0.00654	0.09681	0	0	0.0776	0.00297	0	0	0	0.04698	0	0	0	0	0	0	0	0	0	0	0.40669	0	0	0.0172	0	1.13346	0	0	0	0	0	2.14439	0.74095	0.17202	0.1242	11.56051	0	0.02063	36.67926	0.00078	0	0	0	0	0.13556	1.00813	0	0	0	0	0	0	0	0	0	0.03619	0.05475	0.45527	0	0	0	0	0	11.91716	0	2.04109	0.00255	1.04395	0	0	0.00362	0.16513	1.54641	2.5831	0	0	0.06691	0	0.6255	0	0.00337
86HP	0	0	0	0	1.92571	0	0	0.02663	0	0.00168	0.06041	0	0	0	0	0	0	0	0.10565	0	0	0,0009	0	0	0.07844	0.00591	0	0	0	0	0.00157	0	0	0.01258	0	0.00454	0	0	0	0	0	0	0	0	0	0.15701	0.00107	22.84211	17.86999	0	0.41271	0	0	0	0	0.00659	0.02558	0	0	0	0.46291	0	0	16.98526	0.06362	0	0	0	0	0	0.95792	0	0	0	0	5.04049	0	0	0.01653	0	0.17129	0.04607	0	0.05687	0	0	0	0	1.65065	0	0.09013	0.24024	0.69698	3.14953	0	2.82174	0.17403	3.1776	2.95683	0	0	0.00712	0	0.63221	0	0.00799
89HP	0	0	0	0	0	0	0.0616	0	0	0.04327	0	0	0	0.11677	0	0	0.02044	0	0.02511	0	0	0	0	0.0183	1.13999	0	0.49964	1.7688	0	0	20.04416	0.05365	0.99686	0	0	0	0	0	0	0	0	0.28295	0	0	0	0	0	0	0	0	0.4614	0	0	0	0	0	0	0.52553	0.08245	0.51134	0.6001	1.18566	0.02821	21.02501	0	0	0	0	0	0.2087	0	0	0	0	0	0	0	0	0	0	0.36249	0.08115	0.21196	0	0	0	0	4.53742	0.32082	0	0.03603	2.50146	1.56157	0.922	0.04645	0.22731	0.55211	0	5.46184	0	0	0	0	0.38559	0	0
8HP	0	0	0	0.00266	0.74455	0	0	0	0.03325	0.66877	0.00675	0	0	0.56715	0	0	0	0	0.08064	0	0	0	0	0.33511	0.32462	0.05382	0.03086	0.00798	0	0	48.79667	0.04249	0.26945	0.38492	0	0	0	0	0	0	0	0	0	0	0	0.13732	0	0.77458	0.21548	0	0.19932	0	0	0	0.00476	0	0.04282	0.5658	0.05323	0.10425	5.33047	0.82679	0	2.36088	0	0.00303	0	0	0	0	0	0	0	0	0	0	0.00306	0	0	0.4724	0.00854	0.48414	0.1525	0	0	0	0	0	4.40938	0	0.054	0.07808	4.73995	0.00479	0.13538	1.23703	0.14837	0	2.58182	0	0	0.03569	0	0.23043	0	0.00415
90HP	0	0	0	0	0	0	0.05437	0	0	0	0	0	0	0.18663	0	0	0	0	0.03529	0	0	0	0	0.05656	1.18048	0.27105	0	0	0	0	15.75366	0.04636	0.81516	0	0.00389	0	0	0	0	0	0	0.04313	0	0	0	0	0	0	0	0	1.40804	0	0	0	0	0	0.02495	0	0.2047	0.13877	2.40856	0	0.06479	23.51956	0	0.07279	0	0	0	0.2177	0	0	0	0	0	0	0	0	0.06091	0.44479	0.39595	0.22249	0.29196	0	0	0.34357	0	13.29307	4.78304	0	0.09943	0	0.53899	0	0	0	0.32831	0.86472	4.99338	0	0	0.02164	0	0.23936	0	0.01222
95HP	0	0	0.0421	0.17428	0	0	0.06565	0	0	1.6281	0.0958	0	0	0.01478	0	0.34541	0	0	1.32615	0	0	0	0	0	14.28159	0	0	2.89281	0	0.45099	0	0.03114	0	0.01369	0.0637	0.04176	0	0	0.00079	0	0	0.25262	0	0	0.02291	0.30228	0	0	8.98434	0	3.32385	0	0	0	0.09365	0	1.42079	0	0.85402	0.00208	5.31213	0.06213	0.23932	13.76543	0.07164	0	0	3.57443	0.00132	0	0	0	0	0	0	2.05563	0	0	0	0	0.48518	0.0217	0	1.20818	0.25159	0	0	0	0.02776	0	0.16372	1.22386	3.19873	2.33896	0	0	0.12802	2.07686	1.91388	0	0	0.28495	0	0.11958	0.32696	0.04993
96HP	0	0	0.01934	0.1491	0.00776	0	0.00964	0	0	2.05629	0.06969	0	0	0.04008	0	1.01847	0	0	10.08766	0	0	0	0	0.00087	14.6364	0.0136	0	0.21512	0	0.07269	0	0	0	0.06876	0.0545	0.02121	0	0	0	0	0	0.08233	0	0	0.00822	0.06608	0	0	0	0	0.21117	0	0	0	0	0	0.08571	0	0.0041	0	11.10417	0.05922	0.37585	3.4361	0.13552	0	0	1.39524	0	0	0.15945	0	0	0	0	0	0	0	0	0	1.24245	0.10265	0.01304	2.84135	0.65457	0	0	0	0.04626	0	0	9.18955	1.87964	0.45975	0	0	0.15761	0.9943	1.32472	0	0	0.0072	0	0	3.2238	0
97HP	0	0.39322	0.0054	0.09091	1.12315	0	0	0	0.05306	0	0.14207	0	0.38812	0.55375	0	0.00524	0	7.02177	0.24232	0	0.34043	0.22368	0	0	37.6822	0.04753	0.35037	0.40217	0	0.13434	0.49431	0	0.32739	0.04286	0	0	0	0	0	0	0	0.0406	0	0	0	0.23483	0	0	0	0	0.096	0	0	0	0	0	0.0503	0.20783	0.18758	0.02579	19.09727	0.44295	0.08876	4.36278	0	0	0.02755	0	0	0.27949	0.05892	0	0	0	0	0	0	0	0	0.63182	0.03678	0.4964	2.04872	0	0.27328	0	0	2.82012	0.1073	0	0.49257	2.26474	1.38029	0.28851	0.90333	0.70804	0.08316	0.61337	0.8086	0	0	0.04073	0	0	0.34609	0.0186
98HP	0	0	0	0	3.81564	0	0	0	0	0	0	0	0.01289	23.23469	0	0	0	0.01758	0.00936	0	0.00819	0	0	0	10.58727	0.10622	0.8708	0	0	0	0	0	0.02995	0.04696	9.49341	0	0	0	0	0	0	0	0	0	0	0.05974	0	0	0	0	0	0	0	0	0.11847	0	8.69765	0	0.02366	0.03717	0.01642	0	0.00288	0.32729	0.04607	0	0	0	0.04659	0	0	0	0	0	0	0	0	0	0	0	0.09574	0	18.66025	0	0	0.09552	0	0.96059	0.0262	0	0	0	0.10394	0	0	0.00813	0.10557	0	2.05964	0	0	0.09817	0	0.19358	0	0.40229
9HP	0	0	0	2.2994	1.3753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64219	0	0	0	0	0	14.78437	0	0	0	0	0	0	0.14255	0	1.17249	0	0	0	0	0	0	0	0	0	0	0	0.33777	0	0	0	0	0.82105	0	0	0	0	0	0.15223	0.01556	1.04404	0	4.25299	3.8996	0	5.4028	0	0	0	0.43822	0	0	0	0	0	0	0	0	0	0	0	0	0.38079	0	0.00246	0	0	0	0	0	0.26661	0	0	2.22789	1.69178	0	1.34712	0.1265	0.17942	0	2.21459	0	0	0.23923	0	0.47503	0	0
