	Acidaminococcus_intestini	Akkermansia_muciniphila	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_unclassified	Anaerostipes_hadrus	Anaerostipes_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_1_1_30	Bacteroides_stercoris	Bacteroides_uniformis	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_breve	Bifidobacterium_longum	Butyrivibrio_crossotus	C2likevirus_unclassified	Catenibacterium_mitsuokai	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_nexile	Clostridium_perfringens	Clostridium_ramosum	Clostridium_sp_KLE_1755	Clostridium_sp_L2_50	Collinsella_aerofaciens	Coprobacillus_sp_29_1	Coprobacillus_sp_D6	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_eutactus	Coprococcus_sp_ART55_1	Dialister_invisus	Dialister_succinatiphilus	Dorea_longicatena	Enterobacteria_phage_JL1	Enterococcus_avium	Enterococcus_dispar	Enterococcus_faecalis	Erysipelotrichaceae_bacterium_6_1_45	Escherichia_coli	Eubacterium_biforme	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Klebsiella_oxytoca	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_8_1_57FAA	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_phage_936_sensu_lato	Lactococcus_phage_jm2	Megamonas_unclassified	Megasphaera_unclassified	Methanobrevibacter_smithii	Mitsuokella_multacida	Mitsuokella_unclassified	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Paraprevotella_clara	Parasutterella_excrementihominis	Pediococcus_pentosaceus	Phascolarctobacterium_succinatutens	Prevotella_copri	Pyramidobacter_piscolens	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_sp_5_1_39BFAA	Ruminococcus_torques	Salmonella_phage_FelixO1	Salmonella_phage_Vi_II_E1	Streptococcus_parasanguinis	Streptococcus_phage_ALQ13_2	Streptococcus_thermophilus	Sutterella_wadsworthensis	Veillonella_unclassified
41HP	0	0	0.00879	0.03396	0	0	0	0.00191	0	0	0	0	0	0.04097	0.04448	0.02046	0	0	0.06229	0	0	0	0	0	0.08464	0	0.08173	0	0	0	0	0.02672	0	0	0.48142	0	0	0	0	0.20282	0	0	0	0	0	0.21619	0	0	0.51052	0	0.64378	0	0	0	0	0.00256	9.18745	0	0	1.23799	59.7181	0.00086	0.00131	7.21599	0.06456	0.04193	0.01102	0	0.59288	0	0	0	0	0	0	0	0	0	0	0	0.03255	0.06077	0	0.09831	0	0	0	0	0.15263	0	0	0	0	8.15062	0	0	0.0897	0.78993	0.80249	0	0	0.61003	0	0.23313	0	0.23605
42HP	0	0	0	0	0	0.35331	0	0.5375	0	0	0	0	0	0	0	0	0	0	3.22984	0	0	0	0	0	0	0.0624	0	0	0	0	0	0.27855	0	0.17544	0.65435	0.06881	0.27202	0.00227	0.29818	0	0	0	0	0	0.58867	0	0	0	1.62853	0	0	0	0	0	0.00328	0.10595	1.15177	0	0	0	0.03148	0.24176	0	0.85613	0.22145	0.05085	0	0	0	0	0	0	4.32341	44.80113	0	0	0	0	0	0	1.67693	0	0	0.00878	0	0	0	0	0.00116	1.60283	0	0	0	7.98135	0	0	0.0076	2.50803	14.0516	0	0	0.77605	0	0.25164	0	0.15883
48HP	0	0.18506	0	0.1267	0.56378	0	0	0	0.43079	0	0	0	0.06253	1.93831	3.552	0	0	3.64352	1.74744	0	0	1.26883	0	0.21092	5.06452	0	0	0	0	0	0	0.01354	0	0.20207	0.22803	0	0	0	0	0	0	0.35055	0	0	0.03817	0	0	0	0	0	0.15956	0	0	0	0	0	0.02544	3.10821	2.69871	1.58436	0.13826	0.53558	0	31.92287	0	0.01582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36092	0.02564	0.72733	0	0.1612	0.20194	0	0	0.02314	0	0.42008	0.00253	0.08222	13.51998	0	0	0.91871	0	5.11003	0	0	0	0	0	0	0
49HP	0	0	0.04801	1.96819	0.52018	0	0	0.01185	1.40561	0	0	0	0.08252	1.71949	6.48217	0	0	2.93217	1.60199	0	0	3.40066	0	1.1985	0.67314	0	0	0.11927	0	0	3.20649	0.00699	0	0.11487	0.13136	0	0	0	0	0	0	0.12056	0	0	0.03836	0	0	0	0	0	0.11232	0	0	0	0	0	0.07264	2.39002	0.68832	0.63188	7.25376	0	0.00266	11.30919	0	0	0	0	0.01408	0	0	0	0	0	0	0.06252	0.06443	0	0	0.47116	0.37589	0.09295	1.40818	0	0.36907	0.31845	0	0	0.04591	0	0.12214	0.00259	0.33989	20.76187	0	0	0.6715	0	10.41024	0	0	0	0	0	0	0
50HP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01509	0.01707	0	0	0	0	0	0	0	0	0	0.01887	0	0	0	0	0	0.00824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.43444	0	17.14778	0	0	0	0.01215	0	0	0	0	0	0	0	0	0	0	0	0.47852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00573	0	0	0	0	0	0	0	0	0	0.04007	60.16699	0	0.603	0	1.32823	0	0
51HP	0	3.81504	0	0.12397	0.35517	0	3.15975	0	0.00154	0.07092	0	0	0	0.29833	0	0	0	0.08679	0.04781	0	0	0	0	0	0.15456	0.00426	0.15393	2.6259	0	0.47619	0	0	0	0	0	0	0	0	0	0	0	2.19725	0	0	0	0.44282	0	0	0	0	3.01136	0	0	0	0	0	0.19208	0	2.62073	0.06219	1.14763	0	0.45831	0.24786	0	0	0.01161	0	0	0	0.00093	0.13485	0	0	0	0	1.18088	0	0	0	0	0.01752	0.08802	0	0	0	0	0	0.11935	0	0.04219	0.00078	0.1962	0.02158	0.73094	15.54931	4.49433	21.29962	5.54857	0	0	0.48321	0	0.03363	0.0347	0.00139
53HP	0	0	0	1.58899	0.90985	0	0	0	0.01282	0	0	0	0	34.62101	50.05766	0	0	0	0	0	0	0	0	0	0	0	1.07648	0	0	0	0	0	0	0	0.24917	0.01412	0.05927	0	0.00422	0	0	0	0	0	0.03983	0	0	0	0	0	0	0	0	0	0	0	0.03313	0	0.00998	0	0.00536	0	0	1.98094	0.03469	0	0	0	0.01092	0	0	0	0	0	0	0	0	0	0	0	0.67695	0	0	0.00809	0	0	0	0	0.01233	0	0	0	3.50843	0	0	0	0	0	0.57393	0	0	0	0	0	0	0
55HP	0	0.53499	0.71773	0.14779	7.88937	0	0.05474	0	0.22936	2.23515	1.35286	0	0.07002	0.29603	0.06118	0.96888	0	0	0	0	0	0	0	0	4.25449	0	1.51325	1.53277	0	0.13315	0	0.09039	0.7729	0.07129	0.00299	0.01632	0	0	0	0	0	0.1643	0	0	0	0.31168	0	3.31557	10.20139	0	1.0219	0	0	0	0.02566	0	0.20742	0.01744	0.13471	0.05172	15.02769	0.16807	0.60689	5.72844	0	0	0	0	0.01378	0	1.21229	0	0	0	0	0	0	0	0	0.48246	0.22138	0	4.87332	0	0	0	0	0	7.30951	0	0.34869	0.05974	0.50162	2.83785	0.70621	0	0.10642	0	1.63832	0	0	0.01166	0	0.04012	0.64886	0.00763
56HP	0	0	1.18133	5.65115	6.98909	0	0.18052	0	0	0	1.4127	0	0.13887	15.77339	0.05673	0	0	0	0	0	0	0	0	0.00912	8.3078	0	2.53415	0	0	0	0	0	0	0.03358	0.03272	0.03573	0	0	0	0	0	0	0	0	0.0819	0.35293	0	0	3.12482	0	1.86541	0	0	0	0	0	0.21643	0	0.4334	0.67788	10.4402	0.78856	0	6.83754	0	0	0	0	0.2543	0	0	0	0	0	0	0	0	0	0	0.7806	0.47555	0	0.0662	0	0	0	0	0	2.47297	0	0.63072	0.27812	0.29917	0	0	0	0.41058	0	2.12014	0	0	0.16866	0	0	0	0
57HP	0	0.07976	0	0.00553	0.03567	0	0.04485	0	0.01768	0	0.02593	0	0	0.16543	0.27911	0.04609	0	0	0.09108	0	0	0	0	0	0.16589	0.01977	0.02283	0.55269	0	0.05403	0.38039	0	0	0	0	0	0	0	0	0	0	0.13403	0	0	0	0.15303	0	2.83805	4.15818	0	0.39672	0	0	0	0.0198	0	0.12066	0	0.33694	0.06744	0.64285	0.06831	0	2.15943	0	0.15257	0	0.2739	0	0	0	0	0	0	0	0	0.01128	0	0	0	0.02367	0.12447	0.21969	0	0.05019	0	0	0.01762	78.5333	0	0.00986	1.2312	0.77887	0.90883	0.05445	0	0.19713	0	0.58623	0	0	0.00605	0	0	0	0.02843
