# Pathway	# Class_1	# Class_2	kazan5500_2015_05_26_1_L01_1HP_F3_Abundance	kazan5500_2015_05_26_1_L01_2HP_F3_Abundance	kazan5500_2015_05_26_1_L01_5HP_F3_Abundance	kazan5500_2015_05_26_1_L01_6HP_F3_Abundance	kazan5500_2015_05_26_1_L01_8HP_F3_Abundance	kazan5500_2015_05_26_1_L02_11HP_F3_Abundance	kazan5500_2015_05_26_1_L02_15HP_F3_Abundance	kazan5500_2015_05_26_1_L02_16HP_F3_Abundance	kazan5500_2015_05_26_1_L02_9HP_F3_Abundance	kazan5500_2015_05_26_1_L03_21HP_F3_Abundance	kazan5500_2015_05_26_1_L03_22HP_F3_Abundance	kazan5500_2015_05_26_1_L03_23HP_F3_Abundance	kazan5500_2015_05_26_1_L03_24HP_F3_Abundance	kazan5500_2015_05_26_1_L04_26HP_F3_Abundance	kazan5500_2015_05_26_1_L04_27HP_F3_Abundance	kazan5500_2015_05_26_1_L04_31HP_F3_Abundance	kazan5500_2015_05_26_1_L05_32HP_F3_Abundance	kazan5500_2015_05_26_1_L05_33HP_F3_Abundance	kazan5500_2015_05_26_1_L05_34HP_F3_Abundance	kazan5500_2015_05_26_1_L05_39HP_F3_Abundance	kazan5500_2015_05_26_1_L06_40HP_F3_Abundance	kazan5500_2015_05_26_1_L06_41HP_F3_Abundance	kazan5500_2015_05_26_1_L06_42HP_F3_Abundance	kazan5500_2015_06_20_1_L01_50HP_F3_Abundance	kazan5500_2015_06_20_1_L01_53HP_F3_Abundance	kazan5500_2015_06_20_1_L01_55HP_F3_Abundance	kazan5500_2015_06_20_1_L01_56HP_F3_Abundance	kazan5500_2015_06_20_1_L01_57HP_F3_Abundance	kazan5500_2015_06_20_1_L01_59HP_F3_Abundance	kazan5500_2015_06_20_1_L02_35HP_F3_Abundance	kazan5500_2015_06_20_1_L02_48HP_F3_Abundance	kazan5500_2015_06_20_1_L02_49HP_F3_Abundance	kazan5500_2015_06_20_1_L02_60HP_F3_Abundance	kazan5500_2015_06_20_1_L02_61HP_F3_Abundance	kazan5500_2015_06_20_1_L02_62HP_F3_Abundance	kazan5500_2015_06_20_1_L02_64HP_F3_Abundance	kazan5500_2015_11_27_1_L02_51HP_F3_Abundance	kazan5500_2015_11_27_1_L02_58HP_F3_Abundance	kazan5500_2015_11_27_1_L02_63HP_F3_Abundance	kazan5500_2015_11_27_1_L02_84HP_F3_Abundance	kazan5500_2015_11_27_1_L02_97HP_F3_Abundance	kazan5500_2015_11_27_1_L03_101HP_F3_Abundance	kazan5500_2015_11_27_1_L03_102HP_F3_Abundance	kazan5500_2015_11_27_1_L03_105HP_F3_Abundance	kazan5500_2015_11_27_1_L03_73HP_F3_Abundance	kazan5500_2015_11_27_1_L03_74HP_F3_Abundance	kazan5500_2015_11_27_1_L04_77HP_F3_Abundance	kazan5500_2015_11_27_1_L04_78HP_F3_Abundance	kazan5500_2015_11_27_1_L04_79HP_F3_Abundance	kazan5500_2015_11_27_1_L04_80HP_F3_Abundance	kazan5500_2015_11_27_1_L05_83HP_F3_Abundance	kazan5500_2015_11_27_1_L05_85HP_F3_Abundance	kazan5500_2015_11_27_1_L05_86HP_F3_Abundance	kazan5500_2015_11_27_1_L05_89HP_F3_Abundance	kazan5500_2015_11_27_1_L05_90HP_F3_Abundance	kazan5500_2015_11_27_1_L06_95HP_F3_Abundance	kazan5500_2015_11_27_1_L06_96HP_F3_Abundance	kazan5500_2015_11_27_1_L06_98HP_F3_Abundance	kazan5500_2015_12_11_L01_67HP_F3_Abundance	kazan5500_2015_12_11_L01_68HP_F3_Abundance	kazan5500_2015_12_11_L01_69HP_F3_Abundance	kazan5500_2015_12_11_L01_70HP_F3_Abundance	kazan5500_2015_12_11_L01_71HP_F3_Abundance	kazan5500_2015_12_11_L02_106HP_F3_Abundance	kazan5500_2015_12_11_L02_107HP_F3_Abundance	kazan5500_2015_12_11_L02_108HP_F3_Abundance	kazan5500_2015_12_11_L02_72HP_F3_Abundance	kazan5500_2016_01_26_1_L04_109HP_F3_Abundance	kazan5500_2016_04_22_1_L02_137HP_F3_Abundance	kazan5500_2016_04_22_1_L03_134HP_F3_Abundance	kazan5500_2016_04_22_1_L03_135HP_F3_Abundance	kazan5500_2016_04_22_1_L03_136HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L01_130HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L02_131HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L02_159HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L02_163HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L03_160HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L03_164HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L03_167HP_F3_Abundance	kazan5500_2016_05_31_HP_A_L03_168HP_F3_Abundance
ko00010: Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism	186.7839060796	266.1241820528	224.9358943208	773.1808493520	222.5156521467	517.9332855292	225.6432859393	253.7773603825	152.8078971267	208.1966577374	441.7244471263	346.9183696914	430.7046309636	263.1431740832	503.3906518054	461.4591732206	489.1918905104	367.1024483685	456.3690696468	151.9558563906	209.8754243219	767.9575093874	316.7567503045	290.1877294231	232.5054656061	95.3140640510	91.7494651279	153.6818633502	257.9668806585	175.8675392985	47.6251506759	110.2094416441	40.3700418831	97.7101837399	95.5022139016	61.3408348436	199.6019304218	1070.4482315200	271.1014738137	377.9197707666	350.4441844487	197.4749835439	151.5221966062	437.0571532429	247.2133616960	359.1039201617	157.9385694694	237.9937051499	136.1927536175	528.6729845337	164.6325089798	309.0332380938	252.9291562940	145.4489816419	227.4419307013	316.6438942593	480.8020405820	397.4807490411	101.1877446278	195.2094766824	194.0226392363	301.7220633702	83.1119786222	109.6514055071	52.9748054671	119.7289582517	72.2905954360	150.2356342482	63.8909789044	78.3441242587	96.3092412941	57.7058766476	278.6542041311	419.5419273348	242.9309398412	220.1419513256	46.7778752386	269.9245290178	379.5421773904	437.6848367580
ko00020: Citrate cycle (TCA cycle)	Carbohydrate metabolism	Metabolism	0	0	214.8398899304	698.1217584753	0	0	0	0	0	0	320.4524564239	0	0	0	0	0	0	0	336.7699566453	0	0	476.9823783726	271.0176927627	136.8306017060	0	0	0	0	193.8703799516	0	0	0	0	0	0	0	0	827.1492685529	0	0	0	162.7587648569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.0547993397	0	0	0	0	102.0377073039	0	45.7354873378	0	0	0	0	0	0	0	0	0	0	139.5029514377	0	296.9182533771	0	0
ko00030: Pentose phosphate pathway	Carbohydrate metabolism	Metabolism	247.4386547408	376.4088444732	261.5351567223	972.4753444592	257.6251470568	758.7241220442	243.5845989148	285.4931369295	167.2604672018	245.3110213390	626.0654914515	445.5874833308	572.4420145324	345.7975098542	631.2290353284	640.3087028375	593.7310205650	438.7308964147	569.3569591662	171.5976237607	284.2794244386	1095.0919382138	415.9454606731	277.1891782742	319.6987663597	124.8356948391	119.6824821308	179.4573211792	331.3564930358	254.7001251536	57.5702114459	135.2256804600	53.5917089786	130.9815658222	144.4140560070	65.2556912227	249.9226467250	1311.0939932358	322.2863851896	433.6869332910	452.5016858514	225.9404228125	198.0429165914	625.4058234599	297.7255329232	494.8416138709	185.3748040135	269.2492039993	175.5106073754	732.8358198790	215.5761364851	397.2954452945	299.9458621392	164.8703088767	252.2919006116	426.6179518486	655.7053676014	472.1306601469	123.0391444948	251.7548293759	267.6619744406	401.2035534525	82.4586778354	117.4721966607	58.2966736241	164.0144062025	75.1825523957	168.4117561349	78.9224829156	98.1283931646	138.1076430762	68.1830225150	337.2629071677	552.3420735907	301.7841569858	245.0976705762	54.0960011447	275.2777015948	527.1167612346	543.1012851565
ko00040: Pentose and glucuronate interconversions	Carbohydrate metabolism	Metabolism	75.8092731183	120.0447150037	98.2563449083	617.8042564370	120.7026991217	372.8553342379	93.2470312805	230.0764215222	88.1395454279	120.8256378050	200.2473618011	289.8828536166	388.3872947926	117.2186333689	419.6376587734	513.8922612663	407.6859161437	292.9546668424	179.1241443060	80.1622221019	114.4461806420	304.0042056112	224.1353979123	153.8553135414	259.9943822182	62.8759287800	65.3391156407	119.0969002900	171.4707541855	71.6530137069	31.8203637015	66.1402074385	22.1348200216	52.6490560892	49.6960649821	29.9425109223	51.4804934384	778.2206244188	158.5676755345	283.0466076985	250.0079844657	122.0887658994	87.9807106220	451.7473106643	133.4881798542	317.7266022442	120.7550345230	203.6334834631	95.6589496549	492.5697307931	122.9196097635	174.1947221016	120.0564815361	65.4960424994	132.1236227243	246.0062194832	419.6190603302	308.3333463846	53.4310320676	185.2373215340	148.1449308258	271.1358199406	46.9711457754	74.3909737761	37.9773143651	77.4002952930	42.8623225468	75.4531734768	35.9573064532	54.2380969659	89.6210852864	36.1268451716	180.9926777300	351.6309124070	148.7665830196	103.6250309453	28.3420916130	173.0643725579	282.9944896576	215.5859072504
ko00051: Fructose and mannose metabolism	Carbohydrate metabolism	Metabolism	138.6947831031	218.5899709529	155.5450159673	930.3566969962	167.2351280465	466.6013092621	164.0724984188	238.6846360458	118.5322452785	157.9657394490	307.9363441275	329.4265539604	464.7495200301	208.0851286561	479.5985991253	515.1923461420	451.5313600238	322.5029962422	341.3369385967	115.1147514538	162.0377470992	679.6818963008	264.2286531259	327.9538610735	258.4966654314	79.7577333237	80.1299039374	127.9177329221	238.4010897198	154.6778851982	35.9842027359	90.1240867167	31.1140742394	82.9998207261	79.3432534151	43.9479697042	136.3878573571	1060.4124889325	216.3782440308	326.7978796678	314.2626942263	158.7215395186	124.6191239644	460.0524151908	198.1512477441	338.5435447641	122.6720556837	199.2259942529	104.5893311777	581.5200361001	150.2564614683	229.8073584513	158.3922792101	90.1929559862	167.7977693552	280.2106088564	488.9249228492	382.7155052529	77.6974177432	166.8435023332	185.1232531276	316.8481633642	59.9814448198	80.2876653517	49.2815033271	102.2164300823	50.4634944861	109.7768617157	50.2588875070	59.4075749060	95.9528035504	48.6002478175	263.3227056163	405.3695561428	191.0090484599	160.4402350118	46.1420194205	213.5483817122	302.8815061719	352.4102058838
ko00052: Galactose metabolism	Carbohydrate metabolism	Metabolism	124.7368824827	201.7947084541	143.1369518146	741.6674712804	127.4432744188	417.1149536988	137.8512500595	173.3594347150	87.9506610760	118.0690596069	293.5973994295	288.3830916667	371.6113964565	188.3651263080	420.3589082472	308.8426684101	401.7697792141	274.5751709564	296.8469948257	90.5221271618	129.7378304368	689.5148493101	211.7641173995	245.3414160706	210.5151118976	73.5569206452	66.7471009508	105.7077459856	217.3222774781	161.5910332259	27.9371839466	76.4487437961	27.5222021320	73.9771020348	85.5201102331	32.4584140145	110.1273493703	1003.9457209406	174.1530363426	248.0828259307	285.4094381465	127.2913396999	99.9021773653	395.0598379958	156.1427668044	282.7063244232	98.9463085342	166.1257064392	81.7441616776	503.5784579247	114.0667805693	201.4851602329	134.5540263474	71.1711192079	116.3006270083	239.1604458984	418.9690315093	338.3686582328	61.5273836617	135.6959256532	144.6596685978	253.7477289777	42.9297223772	56.6658623173	29.3430443114	92.2537480634	34.7797138571	85.9434183180	35.7324332531	47.0247286566	78.0514466960	31.3497825874	198.8312082161	374.6703783168	156.2222934011	144.0970347578	39.3747797799	159.1234487387	272.6715176666	319.4355318168
ko00053: Ascorbate and aldarate metabolism	Carbohydrate metabolism	Metabolism	14.9149845652	20.9331381110	22.1081329613	172.3889362711	34.7113724177	52.0340393550	39.0013674084	98.3189184992	32.4708718154	40.7277443259	62.3237459472	52.9665781115	104.5827739340	30.6962881028	115.7652633798	203.4256553928	96.0861241253	59.1485983584	51.6944239904	24.8563355754	20.3747011308	130.2650763285	38.6020638690	123.2679578212	60.6496155102	10.2456335349	12.9592780211	30.9822464805	73.0035578706	14.5389563960	10.6330372326	21.9479864858	5.8676355348	10.8827111757	13.1573444401	12.2617567566	17.1445116018	668.4020244297	45.7804221036	75.3204477285	50.4590019374	41.1693184710	20.8297246130	72.7373412417	28.8940355407	50.9772132393	37.2389387479	71.9237717830	31.4474404063	78.4516013247	19.8986017506	46.8119723904	48.9315505654	0	41.6276355107	67.6972103659	115.1053096021	80.3767042968	14.4598710265	52.4105239703	37.8185318973	63.3990473441	17.6780843702	22.9972821039	19.4902392471	12.6647641167	14.3351119987	27.9172594650	10.0888939530	12.7281634613	16.3355048905	0	36.9502286094	80.7751493300	34.3385894653	53.6645536081	21.2755351935	50.0565710964	64.2749068840	63.1023559460
ko00061: Fatty acid biosynthesis	Lipid metabolism	Metabolism	153.9410970228	218.6754966813	141.6697606509	754.0945398432	170.4659446293	589.1314159855	135.4173456500	249.4063634795	117.9448041179	176.1869938369	310.8710660831	353.4011259043	383.3597512540	219.8557692788	453.8511006698	413.7977551270	473.7907034265	352.7656400150	348.4026324750	100.4466337642	201.7885588027	695.2235193502	228.1652832334	212.8388592204	224.9383778039	88.6005843393	78.2990368006	135.7675656643	205.3448920764	155.9440204962	30.9196930214	91.7990393386	30.1188702720	77.1922291011	86.6083692124	41.3406549627	109.8927242768	700.9166629863	249.1599074052	319.5850559770	340.4682017860	155.7531284253	132.3855975336	536.9569389463	209.3197172505	388.3917073324	129.2175256457	223.9482117374	88.8062413244	550.9530927639	161.2484940785	234.9705660191	137.1562827600	108.5981845967	146.0323431866	287.2341718495	479.2587753116	351.8905080040	80.8966232918	254.4922341139	186.1780017364	262.8345282584	59.3525712909	88.8630135030	41.2124077198	102.7535878013	45.2486860919	120.9405204759	54.2772433232	75.8307407099	100.9067912951	56.0921124875	257.2430168651	390.1356366159	192.7850637545	171.6002642204	24.0502336575	206.6979498943	326.6771221328	298.2227841373
ko00071: Fatty acid metabolism	Lipid metabolism	Metabolism	46.4111764446	58.4647569184	60.0878407044	185.3654608844	67.6294552850	131.8949733719	57.3898734034	49.0264344888	27.0178264236	43.5439585283	142.5148431107	93.3476902622	115.6026405279	57.8180065954	108.2775985438	107.7124710828	103.5553523781	0	90.6350958676	46.6073260059	71.0655728656	195.8919883863	93.8419157902	112.5901503104	0	26.9135917652	21.8232536508	25.2251456080	79.1579511119	46.9840777071	10.8575573421	25.1072323359	11.3654819973	22.5960528722	25.4746857660	8.1780062635	73.0309886773	443.5247929800	55.1991141014	80.3905243197	84.8318426716	50.0538725614	45.9305827452	129.5862379372	77.4386008776	107.1024006020	40.6350025214	44.1971894691	38.5493274282	162.5668679307	43.8762964290	93.7380179261	76.6234950146	51.0259461694	54.4110573450	113.3295381461	122.3388024833	150.9649178318	26.9979404286	47.2199671809	50.6496553701	89.2040384461	16.4744733512	15.6358088969	8.0803698356	37.0188067038	12.7264266849	46.0336870420	24.3043327427	20.3094389907	35.4806385831	9.4134075099	69.2803361792	112.9504380356	60.4590905820	64.3933681426	21.7785001771	85.4465057149	100.3151757665	125.2954633249
ko00100: Steroid biosynthesis	Lipid metabolism	Metabolism	0	0	0	0	0	0	2.6911356875	0	0	0	0	0	0	0	0	0	0	0	1.6685886633	1.1303986200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5021819095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
