	alien-11-0-0	alien-11-60-0	kazan5500_2015_05_26_1_L04_25HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_43HP_F3	kazan5500_2015_06_20_1_L01_50HP_F3	kazan5500_2015_06_20_1_L01_59HP_F3	kazan5500_2015_11_27_1_L02_58HP_F3	kazan5500_2015_11_27_1_L05_88HP_F3	kazan5500_2015_11_27_1_L06_98HP_F3	kazan5500_2015_12_11_L01_70HP_F3	kazan5500_2016_04_22_1_L01_115HP_F3	kazan5500_2016_04_22_1_L01_119HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_160HP_F3	kazan5500_2016_05_31_HP_A_L03_164HP_F3	scavenger-11-0-0
g006333	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1
g006334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006339	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006343	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006358	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1
g006362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006363	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006365	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006366	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006367	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006368	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006375	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0
g006376	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1
g006379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006380	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0
g006381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006382	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006383	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g006384	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006396	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g006397	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
g006398	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0
g006399	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
g006401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006402	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g006404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006406	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g006407	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006408	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006411	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006412	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006413	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g006415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006418	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0
g006421	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
g006422	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0
g006425	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0
g006428	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g006429	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
g006431	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0
g006434	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006436	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
g006437	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
g006438	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006439	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006441	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0
g006442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g006447	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0
g006448	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006449	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006453	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006456	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006470	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006471	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1
g006472	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006473	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006474	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006475	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0
g006476	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0
g006477	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006478	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
g006479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006480	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
g006482	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0
g006483	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006484	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
g006485	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006492	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006493	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006496	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006498	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006506	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g006514	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006517	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006520	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006521	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g006525	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1
g006526	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006530	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006531	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006533	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
g006536	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006537	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006538	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1
g006539	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g006540	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006541	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1
g006543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006544	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006557	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006558	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006559	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006560	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1
g006564	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006568	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0
g006569	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006575	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006580	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006583	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006587	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006588	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g006589	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006591	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006593	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006594	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006597	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006598	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g006600	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006601	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006602	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g006610	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
g006611	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006612	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1
g006614	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1
g006615	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0
g006617	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g006619	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0
g006621	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
g006622	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0
g006625	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
g006626	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006627	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006630	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006631	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006637	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006638	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006649	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1
g006653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006654	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
g006655	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006661	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006662	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006665	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006667	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006669	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006670	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006674	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1
g006675	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006676	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006677	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006679	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006680	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g006681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g006683	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
g006689	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006695	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006699	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006701	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006709	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006710	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006711	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006719	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006720	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006721	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006722	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0
g006723	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006725	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006726	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006727	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g006728	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006731	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006732	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g006733	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g006734	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g006737	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006743	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006750	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006751	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1
g006752	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006753	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	1
g006754	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0
g006756	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006757	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006758	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006760	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006762	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
g006764	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006770	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006771	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006781	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006782	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006783	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006788	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006791	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006798	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g006813	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006815	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1
g006817	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006818	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0
g006819	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006821	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006822	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006823	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006824	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006828	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
g006829	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006831	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006835	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
g006836	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006838	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006847	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006848	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
g006852	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006854	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
g006859	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006861	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006862	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
g006864	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006870	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
g006873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006875	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006876	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006877	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006880	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0
g006881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006886	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1
g006887	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006889	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006890	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006894	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006899	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006900	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006908	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006910	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006911	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006912	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006913	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006915	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006916	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006920	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006925	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g006927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006928	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006933	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
g006937	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006938	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006940	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006943	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006947	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006948	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006950	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006954	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
g006955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006959	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006961	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006962	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006965	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g006968	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
g006970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006971	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g006972	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g006980	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g006981	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g006982	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0
g006985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006996	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1
g006999	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1
g007003	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007004	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007007	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007008	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007010	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g007012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007014	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g007015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g007018	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
g007023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g007026	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1
g007028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007032	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g007033	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g007041	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g007047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007053	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
g007055	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g007056	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g007059	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g007063	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0
g007068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007071	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007075	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
g007080	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g007082	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
g007083	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g007086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007088	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g007091	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007093	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007095	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
g007103	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g007109	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
g007112	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
g007114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g007119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g007125	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
