"name" "rpkm" "sample"
"206" "V1.CD20-0_GL0104496" 1311.18995733388 "164HP"
"210" "199310.c2420" 3984.00025497602 "164HP"
"221" "331111.EcE24377A_1651" 12131.4602358729 "164HP"
"225" "290338.CKO_01253" 5348.30102566256 "164HP"
"227" "NLM022_GL0081863" 18934.7108892409 "164HP"
"230" "656420.ERJG_02953" 1442.00473265953 "164HP"
"232" "679205.HMPREF9347_00630" 2612.04744849491 "164HP"
"233" "941429.SDB_03930" 489.758896592796 "164HP"
"234" "V1.CD20-0_GL0120434" 3608.62730933695 "164HP"
"236" "932676.SGB_03031" 3469.32079619921 "164HP"
"237" "MH0014_GL0045989" 1159.21350344626 "164HP"
"239" "550694.ERIG_00719" 993.611574382508 "164HP"
"240" "656420.ERJG_04430" 993.611574382508 "164HP"
"244" "V1.UC61-0_GL0003543" 1834.82137346722 "164HP"
"248" "198214.SF0505" 2184.25318115473 "164HP"
"252" "MH0014_GL0062677" 677.019651172395 "164HP"
"253" "MH0097_GL0089165" 3215.84334306888 "164HP"
"25753" "670893.ECEPECA14_4498" 7143.72459512941 "164HP"
"260" "550694.ERIG_00712" 1894.30436063698 "164HP"
"263" "T2D-14A_GL0109835" 1557.65423502822 "164HP"
"26748" "199310.c0680" 6103.43473405417 "164HP"
"269" "MH0330_GL0002177" 5666.13369596589 "164HP"
"281" "199310.c1093" 2180.7159290395 "164HP"
"284" "MH0277_GL0037716" 546.617449231538 "164HP"
"28540" "585054.EFER_1094" 4775.14924177976 "164HP"
"287" "511145.b4495" 2025.64279630781 "164HP"
"28868" "754092.SFJ1713_4754" 31305.3886702115 "164HP"
"291" "MH0277_GL0026306" 15593.2913205513 "164HP"
"306" "290338.CKO_02111" 580.302558147767 "164HP"
"333" "DLM024_GL0011541" 607.530830670829 "164HP"
"334" "O2.CD1-0-PT_GL0117996" 3452.80022097921 "164HP"
"348" "550677.ECEG_02340" 1442.96128637937 "164HP"
"349" "656420.ERJG_01116" 618.411979876874 "164HP"
"35330" "SZEY-10A_GL0084952" 2912.00018636801 "164HP"
"355" "MH0014_GL0045991" 1669.02729715007 "164HP"
"361" "MH0415_GL0042869" 1263.21959304118 "164HP"
"37544" "MH0350_GL0090106" 4503.6524621468 "164HP"
"378" "MH0008_GL0029082" 9926.80063531524 "164HP"
"379" "MH0014_GL0062674" 1079.000069056 "164HP"
"383" "ED19A_GL0006789" 865.906011530838 "164HP"
"387" "585054.EFER_2914" 1520.10072621726 "164HP"
"414" "MH0277_GL0035371" 4693.12651395233 "164HP"
"44652" "T2D-48A_GL0045471" 10169.2061302812 "164HP"
"448" "T2D-110A_GL0071034" 3084.97614245566 "164HP"
"455" "MH0277_GL0026576" 5553.45490087566 "164HP"
"462" "V1.CD7-0-PN_GL0024833" 12400.9022021084 "164HP"
"469" "MH0095_GL0021929" 3477.64051033878 "164HP"
"475" "300267.SDY_3092" 747.898964833043 "164HP"
"47839" "656419.ECJG_00018" 5524.48035356674 "164HP"
"479" "HT25A_GL0010749" 756.087639630485 "164HP"
"480" "MH0277_GL0036835" 3554.35316865507 "164HP"
"485" "MH0415_GL0046770" 1534.57787599076 "164HP"
"486" "585054.EFER_2513" 1023.05191732717 "164HP"
"492" "T2D-108A_GL0020278" 4895.76150735859 "164HP"
"494" "MH0277_GL0036834" 2845.0039273986 "164HP"
"51120" "N040A_GL0070366" 1569.45464589964 "164HP"
"529" "585056.ECUMN_0675" 2149.60325041507 "164HP"
"537" "344609.SbBS512_E1962" 3534.36243092361 "164HP"
"545" "ED19A_GL0002510" 1918.22234498845 "164HP"
"546" "155864.Z0356" 8220.95290709337 "164HP"
"558" "300267.SDY_0527" 2773.33351082668 "164HP"
"559" "656420.ERJG_01122" 1109.33340433067 "164HP"
"56043" "MH0351_GL0081105" 1949.16141506891 "164HP"
"56419" "754092.SFJ1713_4721" 842.146395360784 "164HP"
"566" "DOM003_GL0014052" 7046.53106322289 "164HP"
"576" "V1.FI22_GL0060344" 1150.93340699307 "164HP"
"605" "290338.CKO_00910" 1833.34525007746 "164HP"
"61541" "405955.APECO1_2115" 1562.35304116706 "164HP"
"618" "T2D-176A_GL0069136" 3138.90929179929 "164HP"
"631" "ED19A_GL0035710" 1284.7628729225 "164HP"
"634" "DLM005_GL0055322" 8469.13261749619 "164HP"
"635" "N043A_GL0092948" 981.838925396933 "164HP"
"65242" "MH0397_GL0078261" 22003.1386631028 "164HP"
"653" "V1.CD53-0_GL0046229" 3046.58843027578 "164HP"
"654" "ED19A_GL0020425" 1015.52947675859 "164HP"
"665" "O2.CD1-0-PT_GL0128606" 5811.64393630165 "164HP"
"668" "585054.EFER_2921" 1025.58422405323 "164HP"
"673" "V1.CD7-0-PN_GL0029081" 2762.24017678337 "164HP"
"705" "V1.CD3-0-PT_GL0050839" 3271.07389355926 "164HP"
"714" "MH0121_GL0056691" 3673.19172444597 "164HP"
"722" "MH0121_GL0062257" 2239.65419739192 "164HP"
"741" "MH0414_GL0051110" 4196.7737492565 "164HP"
"765" "656374.ERCG_00868" 10986.1825212975 "164HP"
"771" "V1.CD11-0_GL0015338" 15658.0475137429 "164HP"
"778" "T2D-31A_GL0093187" 1225.84623230031 "164HP"
"785" "DLM013_GL0103067" 7443.16215300908 "164HP"
"793" "DLM013_GL0048776" 3744.00023961602 "164HP"
"809" "1072459.CE10_3491" 4718.11210320141 "164HP"
"81218" "SZEY-73A_GL0001051" 1726.40011048961 "164HP"
"829" "656390.ERLG_02179" 1345.24683934255 "164HP"
"83821" "945360.SGF_03545" 4997.47400404886 "164HP"
"845" "535205.EfmE1071_1347" 7619.97290147137 "164HP"
"848" "MH0336_GL0056238" 5312.00033996802 "164HP"
"850" "ED13A_GL0021411" 6760.72770541385 "164HP"
"876" "NLM015_GL0057475" 3162.87043143134 "164HP"
"882" "MH0336_GL0113984" 1657.34410607002 "164HP"
"894" "SZEY-79A_GL0050484" 5660.32823111347 "164HP"
"897" "MH0363_GL0168673" 2282.84312130857 "164HP"
"944" "SZEY-95A_GL0001927" 2071.68013258753 "164HP"
"973" "MH0450_GL0182782" 3328.00021299201 "164HP"
"981" "O2.CD2-0_GL0069881" 7174.64980982694 "164HP"
"1007" "478008.ECH7EC869_2995" 14716.853400895 "164HP"
"1025" "409438.ECSE_2865" 20310.5895351719 "164HP"
"1028" "331111.EcE24377A_0501" 4143.36026517506 "164HP"
"1036" "331111.EcE24377A_4739" 4503.6524621468 "164HP"
"1038" "670890.ECLT68_5193" 6138.31150396305 "164HP"
"1040" "1068608.IAE_07893" 15694.5464589964 "164HP"
"1042" "331112.EcHS_A3693" 12847.628729225 "164HP"
"1057" "331112.EcHS_A2957" 5599.13549347981 "164HP"
"29" "364106.UTI89_C1121" 37733.001282922 "162HP"
"5887" "N043A_GL0038371" 38443.7951714593 "162HP"
"7379" "656383.EREG_03241" 72237.6329172446 "162HP"
"9374" "MH0025_GL0024003" 48990.7897315305 "162HP"
"10242" "DOF004_GL0030086" 50231.0628892907 "162HP"
"118" "MH0014_GL0094929" 72040.9192421295 "162HP"
"12563" "511145.b4494" 56331.6809373592 "162HP"
"42218" "MH0425_GL0148624" 116713.35200747 "162HP"
"11102" "945434.ECoL_01541" 2446.44278045561 "160HP"
