#	alien-11-0-0	alien-11-2-0	alien-11-60-0	alien-11-7-0	scavenger-11-392-0	scavenger-11-0-0	scavenger-11-7-0	scavenger-11-60-0	daisy-11-0-0	daisy-11-2-0	daisy-11-7-0	daisy-11-60-0	peacemaker-11-0-0	peacemaker-11-7-0	peacemaker-11-60-0	peacemaker-11-2-0	peacemaker-11-392-1	peacemaker-11-600-0	peacemaker-11-392-3	peacemaker-11-773-0	tigress-11-0-0	tigress-11-7-0	tigress-11-60-0	tigress-11-2-0	halbarad-11-0-0	halbarad-11-2-0	halbarad-11-7-0	halbarad-11-392-0	peacemaker-11-392-2	scavenger-11-2-0	alien-11-392-1	alien-11-392-3	alien-11-392-2	alien-11-600-0	alien-11-637-0	alien-11-630-0	alien-11-632-0	alien-11-773-0	bugkiller-11-0-0	bugkiller-11-60-0	bugkiller-11-392-2	bugkiller-11-392-1	bugkiller-11-773-0	bugkiller-11-392-3	bugkiller-11-600-0	bugkiller-11-7-0	bugkiller-11-2-0	alien-11-376-0	alien-11-377-0	alien-11-378-0	alien-11-380-0
peacemaker-11-60-0	0.5216	0.5134	0.4713	0.5400	0.5794	0.5245	0.5878	0.5510	0.5059	0.5846	0.6335	0.5416	0.2977	0.2627	0.0000	0.3085	0.3940	0.4138	0.4993	0.3455	0.6025	0.5746	0.6091	0.7247	0.6245	0.7055	0.6509	0.7037	0.7277	0.8040	0.8579	0.8401	0.8504	0.6804	0.6204	0.6795	0.7199	0.6128	0.7191	0.7824	0.7571	0.7916	0.6834	0.8782	0.8049	0.6958	0.6832	0.9788	0.9748	0.9781	0.9737
peacemaker-11-2-0	0.5602	0.5618	0.5167	0.5785	0.6276	0.5803	0.5804	0.5661	0.5802	0.6207	0.6825	0.5702	0.2794	0.3093	0.3085	0.0000	0.4343	0.5079	0.5496	0.3840	0.6745	0.6581	0.6700	0.7959	0.7127	0.7875	0.7258	0.7044	0.7868	0.8405	0.8578	0.8444	0.8570	0.6929	0.6514	0.7168	0.7224	0.6777	0.7692	0.8239	0.7931	0.8029	0.6942	0.8965	0.8328	0.7076	0.7781	0.9845	0.9747	0.9774	0.9745
peacemaker-11-392-1	0.5427	0.5347	0.5670	0.5961	0.5405	0.6620	0.6970	0.7021	0.5100	0.4907	0.5507	0.4564	0.5065	0.5012	0.3940	0.4343	0.0000	0.2562	0.3116	0.3027	0.5948	0.5754	0.5939	0.6743	0.7107	0.7478	0.7486	0.7317	0.5838	0.7968	0.8725	0.8685	0.8600	0.7272	0.6971	0.7441	0.7425	0.6406	0.7516	0.8050	0.7594	0.8014	0.6783	0.8625	0.7558	0.7642	0.7822	0.9878	0.9756	0.9790	0.9764
peacemaker-11-600-0	0.5440	0.5223	0.5640	0.6206	0.5153	0.6522	0.7052	0.6842	0.5004	0.5458	0.5499	0.5006	0.5566	0.5374	0.4138	0.5079	0.2562	0.0000	0.2904	0.3841	0.5717	0.5279	0.5603	0.6337	0.6516	0.7007	0.7217	0.6826	0.5301	0.7564	0.8849	0.8794	0.8711	0.7367	0.6684	0.7250	0.7483	0.6436	0.7074	0.7615	0.7365	0.7826	0.6762	0.8586	0.7545	0.7473	0.7199	0.9899	0.9812	0.9837	0.9815
peacemaker-11-392-3	0.5836	0.5573	0.6379	0.6133	0.5732	0.6548	0.6953	0.7393	0.5312	0.5628	0.5646	0.5341	0.5954	0.5743	0.4993	0.5496	0.3116	0.2904	0.0000	0.4850	0.4923	0.4882	0.4962	0.6131	0.6733	0.7223	0.7000	0.7142	0.5442	0.8050	0.8850	0.8808	0.8773	0.7777	0.7163	0.7734	0.7873	0.6852	0.7308	0.7669	0.7257	0.7813	0.6283	0.8312	0.7363	0.6961	0.7470	0.9864	0.9679	0.9725	0.9716
peacemaker-11-773-0	0.5775	0.5707	0.5164	0.6110	0.5611	0.6168	0.6507	0.5869	0.5072	0.5608	0.6233	0.5589	0.4537	0.4276	0.3455	0.3840	0.3027	0.3841	0.4850	0.0000	0.6209	0.5970	0.6385	0.7501	0.7231	0.7836	0.7356	0.7310	0.7037	0.7960	0.8661	0.8539	0.8554	0.6862	0.6551	0.6986	0.7286	0.6650	0.7530	0.8186	0.7650	0.7792	0.7154	0.8535	0.7928	0.7382	0.7619	0.9872	0.9831	0.9841	0.9803
tigress-11-0-0	0.5803	0.5526	0.6268	0.5785	0.5866	0.5765	0.6347	0.7030	0.5434	0.6640	0.6789	0.6395	0.6714	0.6334	0.6025	0.6745	0.5948	0.5717	0.4923	0.6209	0.0000	0.1847	0.2176	0.4918	0.6409	0.6967	0.6428	0.6970	0.7585	0.8010	0.9085	0.9040	0.9004	0.7921	0.7331	0.7720	0.8135	0.6419	0.7502	0.7854	0.7417	0.7793	0.6204	0.8402	0.7770	0.6520	0.7720	0.9943	0.9905	0.9915	0.9899
tigress-11-7-0	0.5586	0.5263	0.5891	0.5788	0.5669	0.5770	0.6441	0.6761	0.5442	0.6715	0.6649	0.6529	0.6625	0.6201	0.5746	0.6581	0.5754	0.5279	0.4882	0.5970	0.1847	0.0000	0.1937	0.4345	0.6022	0.6493	0.6251	0.6498	0.7158	0.7435	0.8962	0.8906	0.8850	0.7558	0.6916	0.7410	0.7860	0.6420	0.7176	0.7534	0.7116	0.7462	0.6169	0.8102	0.7475	0.6752	0.7455	0.9945	0.9919	0.9927	0.9915
tigress-11-60-0	0.5896	0.5492	0.6418	0.6066	0.5942	0.6150	0.6549	0.7085	0.5515	0.6597	0.6698	0.6434	0.6725	0.6202	0.6091	0.6700	0.5939	0.5603	0.4962	0.6385	0.2176	0.1937	0.0000	0.4644	0.6689	0.7171	0.6846	0.6901	0.7363	0.7993	0.9217	0.9156	0.9157	0.8217	0.7397	0.7911	0.8150	0.6455	0.7492	0.7820	0.7358	0.7457	0.6141	0.8298	0.7647	0.6542	0.7849	0.9945	0.9913	0.9922	0.9900
tigress-11-2-0	0.6689	0.6513	0.7163	0.7461	0.6173	0.7569	0.8167	0.8135	0.6947	0.7196	0.6800	0.7293	0.8125	0.7957	0.7247	0.7959	0.6743	0.6337	0.6131	0.7501	0.4918	0.4345	0.4644	0.0000	0.6836	0.6518	0.7495	0.7109	0.5759	0.6478	0.9358	0.9324	0.9216	0.8409	0.8088	0.8207	0.8554	0.7348	0.7400	0.7567	0.7304	0.8289	0.7510	0.8370	0.7038	0.8301	0.7758	0.9944	0.9938	0.9945	0.9937
